Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,2.95388740998181e-002,0,96,A2780ip2,BI 2536,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,2.89074264107248e-002,0,32,A2780ip2,BI 2536,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,2.95389107451391e-002,0,32,A2780ip2,BI 2536,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.93137146339698e-002,0,32,A2780ip2,BI 2536,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.215589008241592,0,32,A2780ip2,BI 2536,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.632755452177162,0,32,A2780ip2,BI 2536,KPT-330,,,,
Sing,-10.52,-99,3.89525562615047e-002,3.89525562615047e-002,2,1.0199920177872,6.479578331788e-002,2,2.44407169158021e-002,0,2,A2780ip2,BI 2536,KPT-330,,,,
COMBI,-10.52,-8,5.28241751755885e-003,5.28241751755885e-003,2,1.01342620462586,1.93668592727171e-002,2,3.04203324707125e-002,0,2,A2780ip2,BI 2536,KPT-330,0.04,-0.03,0.05,-0.02
COMBI,-10.52,-7.7,3.07631450827653e-002,3.07631450827653e-002,2,1.01111635394645,4.67737456982741e-002,2,3.05843731648214e-002,0,2,A2780ip2,BI 2536,KPT-330,0.04,-0.01,0.05,-0.02
COMBI,-10.52,-7.52,2.38065869002097e-002,2.38065869002097e-002,2,1.00969709277762,3.7206995156763e-002,2,1.79269984915607e-002,0,2,A2780ip2,BI 2536,KPT-330,0.06,-0.04,0.05,-0.03
COMBI,-10.52,-7.26,0.163129096266009,5.71222415970175e-002,2,0.902090867417803,3.61160678209695e-002,2,0.193805573508185,0,2,A2780ip2,BI 2536,KPT-330,0.22,-0.06,0.23,-0.04
