Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,2.98070566820069e-002,0,96,A2780ip2,BORTEZOMIB,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,2.99447496270882e-002,0,32,A2780ip2,BORTEZOMIB,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,2.75160674634638e-002,0,32,A2780ip2,BORTEZOMIB,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.74606324886753e-002,0,32,A2780ip2,BORTEZOMIB,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.217362416337081,0,32,A2780ip2,BORTEZOMIB,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.628685277547495,0,32,A2780ip2,BORTEZOMIB,KPT-330,,,,
Sing,-11,-99,5.99726857074995e-002,5.99726857074995e-002,2,0.976469228514526,4.64950525033936e-002,2,2.81985284970091e-002,0,2,A2780ip2,BORTEZOMIB,KPT-330,,,,
COMBI,-11,-8,4.21708080033052e-002,4.21708080033052e-002,2,0.975792866301449,2.4438601302021e-002,2,3.41006320075552e-002,0,2,A2780ip2,BORTEZOMIB,KPT-330,0.06,-0.02,0.06,-0.03
COMBI,-11,-7.7,7.04113924050633e-002,2.30038948393379e-002,2,0.958955719148207,1.37025381125916e-002,2,3.22676043186819e-002,0,2,A2780ip2,BORTEZOMIB,KPT-330,0.06,0.01,0.05,-0.02
COMBI,-11,-7.52,0,0,2,1.00812252748136,4.34305953924508e-003,2,2.98666689920942e-002,0,2,A2780ip2,BORTEZOMIB,KPT-330,0.08,-0.08,0.05,-0.02
COMBI,-11,-7.26,0.241717274968432,3.950453971499e-002,2,0.851196859840103,2.6621964081338e-002,2,0.217142913464254,0,2,A2780ip2,BORTEZOMIB,KPT-330,0.24,0.00,0.24,-0.02
