Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,3.12622151063345e-002,0,96,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,3.12441774884773e-002,0,32,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,3.1493923497922e-002,0,32,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,3.00892649801353e-002,0,32,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.215063248821255,0,32,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.634268463308323,0,32,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
Sing,-10,-99,0,0,2,1.01999726627631,1.900023870704e-002,2,2.0532978477228e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
COMBI,-10,-8,7.09437525821875e-002,5.23520037773715e-002,2,0.95870002589116,3.0817542881265e-002,2,4.9853963454829e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.00,0.07,0.05,-0.00
COMBI,-10,-7.7,3.22541382667965e-002,5.47711781889003e-004,2,0.981493377987988,3.17690782309005e-004,2,5.73022637983456e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.00,0.03,0.05,0.01
COMBI,-10,-7.52,8.55433575922042e-002,1.16565930677192e-002,2,0.949893288566903,7.02881304720548e-003,2,4.05984922319789e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.02,0.07,0.05,-0.01
COMBI,-10,-7.26,0.216463231315014,1.605435632253e-002,2,0.868406249274804,1.05873663589431e-002,2,0.211745531754096,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.19,0.03,0.23,-0.02
COMBI,-10,-7,0.641118383281663,4.059019405213e-002,2,0.521584596806113,4.34055145342655e-002,2,0.631954191514353,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.64,0.00,0.64,-0.01
Sing,-9.52,-99,0,0,2,1.038196858267,8.07684930259001e-003,2,-1.03193451261976e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
COMBI,-9.52,-8,3.6032579826477e-002,3.6032579826477e-002,2,0.991964481296294,3.33499951565155e-002,2,2.5703275220736e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.00,0.04,0.02,0.01
COMBI,-9.52,-7.7,5.86051606621227e-002,6.6942551119766e-003,2,0.966060557370406,3.95415827735654e-003,2,3.40736911659871e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.00,0.06,0.02,0.01
COMBI,-9.52,-7.52,5.2670531639324e-002,5.2670531639324e-002,2,0.98057684406125,4.26772028246e-002,2,2.02931397646305e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.02,0.03,0.02,0.00
COMBI,-9.52,-7.26,9.61457519090854e-002,3.64379772713607e-002,2,0.943862427245663,2.18950677081655e-002,2,0.191142355241729,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.19,-0.09,0.21,-0.02
COMBI,-9.52,-7,0.614249626822827,1.3491790102193e-002,2,0.550977582758924,1.37829073913175e-002,2,0.596349231867327,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.64,-0.03,0.63,-0.03
Sing,-9,-99,0,0,2,1.06851953753215,3.859214347653e-002,2,-2.55517997666949e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
COMBI,-9,-8,0,0,2,1.07237686234964,1.91511958559998e-003,2,-4.66770722313026e-003,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.00,0.00,0.01,-0.01
COMBI,-9,-7.7,0,0,2,1.07583821972025,4.19335590082401e-002,2,-1.49137806341282e-003,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.00,0.00,0.01,-0.01
COMBI,-9,-7.52,6.5992352288146e-003,6.5992352288146e-003,2,0.997841246773576,5.37933932984355e-003,2,4.78280785478158e-003,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.02,-0.01,0.01,-0.01
COMBI,-9,-7.26,0.151043232517588,7.27556971919899e-003,2,0.910482557105873,4.55358645057802e-003,2,0.189747822225405,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.19,-0.04,0.20,-0.01
COMBI,-9,-7,0.560282466414054,1.15397864278335e-002,2,0.6039471269259,1.0872137808857e-002,2,0.569210998019127,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.64,-0.08,0.62,-0.05
Sing,-8.52,-99,1.52009975654652e-002,1.29445994893415e-002,2,0.99141197312265,7.32343550341252e-003,2,7.57671102991799e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
COMBI,-8.52,-8,9.46703653426194e-002,4.39709614590096e-002,2,0.9447736434997,2.6326394170707e-002,2,8.19977631533756e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.02,0.07,0.10,-0.02
COMBI,-8.52,-7.7,4.60686465433301e-002,3.14021421616358e-002,2,0.973243218752804,1.83911137508665e-002,2,7.73045759572834e-002,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.02,0.03,0.10,-0.02
COMBI,-8.52,-7.52,0.121499938324904,1.01147156778095e-002,2,0.927933677149825,6.26084599430052e-003,2,0.100220127035144,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.03,0.09,0.10,0.00
COMBI,-8.52,-7.26,0.234201190547772,1.88804040646985e-002,2,0.856591848542993,1.26378440563615e-002,2,0.283140243692974,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.20,0.03,0.27,0.01
COMBI,-8.52,-7,0.662762659317947,2.3079572855667e-002,2,0.499012110370202,2.55934789226375e-002,2,0.605057767550482,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.65,0.01,0.66,-0.05
Sing,-8,-99,0.240247016210439,5.03533044356035e-002,2,0.852395352230668,3.379877228384e-002,2,0.341842820470549,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
COMBI,-8,-8,0.313816915540341,5.3473410848138e-002,2,0.800989291314612,3.84035683192315e-002,2,0.352795576343682,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.24,0.07,0.36,-0.01
COMBI,-8,-7.7,0.267222492697177,2.23953261927945e-002,2,0.832468985606567,1.5580887826773e-002,2,0.341408399939738,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.24,0.03,0.36,-0.02
COMBI,-8,-7.52,0.257801899592945,2.40532872825955e-002,2,0.838762371935817,1.66101048704415e-002,2,0.359902473914411,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.25,0.01,0.36,-0.00
COMBI,-8,-7.26,0.480067344116409,1.2326378449883e-002,2,0.671305512133286,1.0561713326884e-002,2,0.499226256556069,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.38,0.10,0.48,0.02
COMBI,-8,-7,0.723045125732001,3.21506487541648e-003,2,0.42878842699222,4.00311551693704e-003,2,0.717699031135397,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.73,-0.01,0.76,-0.04
Sing,-7.52,-99,0.840092631078915,2.37515586960402e-003,2,0.255003393900866,4.00415520624801e-003,2,0.678011517192229,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
COMBI,-7.52,-8,0.840996281650239,7.67278522103498e-003,2,0.251180184715801,1.30691311667245e-002,2,0.707711145529143,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.84,0.00,0.69,0.02
COMBI,-7.52,-7.7,0.803736611489776,1.0467380720545e-002,2,0.304015870244521,1.6069535403005e-002,2,0.693855233966942,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.84,-0.04,0.69,0.00
COMBI,-7.52,-7.52,0.793696805230048,4.50228197853705e-003,2,0.320180577877074,6.68672101995349e-003,2,0.693613539911234,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.84,-0.05,0.69,0.00
COMBI,-7.52,-7.26,0.799771511033612,1.2145992423787e-002,2,0.317559408839966,1.819146735192e-002,2,0.762765428114607,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.87,-0.07,0.75,0.01
COMBI,-7.52,-7,0.853944195659662,5.74118727752895e-003,2,0.236497017743092,1.0128404265909e-002,2,0.857110271842607,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.94,-0.09,0.88,-0.02
Sing,-7,-99,0.949468558874176,5.58161629356901e-003,2,2.45209353275053e-002,1.52030361851592e-002,2,0.912430182211939,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
COMBI,-7,-8,0.95036298176238,3.600306911409e-003,2,1.76337923778943e-002,1.00075871750903e-002,2,0.953907948552783,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.95,0.00,0.92,0.03
COMBI,-7,-7.7,0.934822297955209,1.94741966893849e-003,2,5.04784227545049e-002,4.9442648289285e-003,2,0.943253584290457,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.95,-0.02,0.92,0.02
COMBI,-7,-7.52,0.942827186382139,7.58603675835701e-003,2,3.30562902363748e-002,1.98558861721817e-002,2,0.932628854676731,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.95,-0.01,0.92,0.01
COMBI,-7,-7.26,0.9276050748602,1.56334555949753e-003,2,8.0125589864702e-002,3.7342217959744e-003,2,0.946814348706986,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.96,-0.03,0.93,0.02
COMBI,-7,-7,0.940980594787002,9.1858996440497e-004,2,5.22179942157984e-002,2.3913969402668e-003,2,0.945711488972196,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.98,-0.04,0.97,-0.02
Sing,-6.52,-99,0.965382103200523,3.56273380440503e-004,2,-2.08963700065408e-002,1.0803737533685e-003,2,0.949760880235921,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,,,,
COMBI,-6.52,-8,0.962403352416927,1.3397863424423e-002,2,-1.90894323726216e-002,4.05959212370559e-002,2,0.984189713375754,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.97,-0.01,0.95,0.03
COMBI,-6.52,-7.7,0.951557935735151,2.12999026290203e-003,2,5.80972395259157e-003,5.98302504355892e-003,2,0.980907145130461,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.97,-0.02,0.95,0.03
COMBI,-6.52,-7.52,0.962871592450969,3.33045516220551e-003,2,-2.24445211921639e-002,9.905263557279e-003,2,0.979707584114387,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.97,-0.01,0.95,0.03
COMBI,-6.52,-7.26,0.970236305694186,3.66784919728247e-003,2,-3.56996571040202e-002,1.14345926233198e-002,2,0.978646490823984,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.97,0.00,0.96,0.02
COMBI,-6.52,-7,0.965782523825928,5.0522448042255e-003,2,-1.80788992114647e-002,1.55364577336218e-002,2,0.939419838614385,0,2,A2780ip2,Doxorubicin hydrochloride,KPT-330,0.99,-0.02,0.98,-0.04
