Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,2.86129200510272e-002,0,96,A2780ip2,ELESCLOMOL,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,2.85875950796963e-002,0,32,A2780ip2,ELESCLOMOL,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,2.87790306216782e-002,0,32,A2780ip2,ELESCLOMOL,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.8610564831661e-002,0,32,A2780ip2,ELESCLOMOL,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.21613656950496,0,32,A2780ip2,ELESCLOMOL,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.629867934612981,0,32,A2780ip2,ELESCLOMOL,KPT-330,,,,
Sing,-11.52,-99,5.02345466421235e-002,5.02345466421235e-002,2,0.977444048001567,3.56887119974025e-002,2,2.19878383391894e-002,0,2,A2780ip2,ELESCLOMOL,KPT-330,,,,
COMBI,-11.52,-8,1.28371598890397e-002,1.28371598890397e-002,2,1.00610765689371,2.06180485179686e-002,2,2.39582220555556e-002,0,2,A2780ip2,ELESCLOMOL,KPT-330,0.05,-0.04,0.05,-0.03
COMBI,-11.52,-7.7,4.21738072054528e-002,3.94352482960078e-002,2,0.975407722624277,2.30364021858085e-002,2,1.98159439260915e-002,0,2,A2780ip2,ELESCLOMOL,KPT-330,0.05,-0.01,0.05,-0.03
COMBI,-11.52,-7.52,8.07943752312815e-003,8.07943752312815e-003,2,1.00564002997137,1.48779894209245e-002,2,1.53847743789216e-002,0,2,A2780ip2,ELESCLOMOL,KPT-330,0.07,-0.06,0.05,-0.03
COMBI,-11.52,-7.26,0.174673801936143,9.38007335698399e-003,2,0.895547136116982,5.9799396971825e-003,2,0.204324677465944,0,2,A2780ip2,ELESCLOMOL,KPT-330,0.23,-0.06,0.23,-0.03
COMBI,-11.52,-7,0.603743254104949,8.42806292341256e-002,2,0.556159427828594,8.52682789325555e-002,2,0.619311782619098,0,2,A2780ip2,ELESCLOMOL,KPT-330,0.66,-0.06,0.64,-0.02
