Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,3.06416268405931e-002,0,96,A2780ip2,KX2-391,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,3.06285306548091e-002,0,32,A2780ip2,KX2-391,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,2.75515848150564e-002,0,32,A2780ip2,KX2-391,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.68674978124032e-002,0,32,A2780ip2,KX2-391,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.215764728636439,0,32,A2780ip2,KX2-391,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.631405954556396,0,32,A2780ip2,KX2-391,KPT-330,,,,
Sing,-10,-99,8.6099400273143e-003,8.6099400273143e-003,2,0.998462836592067,8.16194663100245e-003,2,1.59748772725188e-002,0,2,A2780ip2,KX2-391,KPT-330,,,,
COMBI,-10,-8,0,0,2,1.02515246899322,7.5769512358001e-003,2,3.07044784002145e-002,0,2,A2780ip2,KX2-391,KPT-330,0.01,-0.01,0.05,-0.02
COMBI,-10,-7.7,5.0815481986368e-003,5.0815481986368e-003,2,0.999121943629776,4.9102078076535e-003,2,3.47447420988702e-002,0,2,A2780ip2,KX2-391,KPT-330,0.01,-0.00,0.04,-0.01
COMBI,-10,-7.52,2.756876773159e-002,2.756876773159e-002,2,0.999905089700528,3.1844391052412e-002,2,3.06437688162213e-002,0,2,A2780ip2,KX2-391,KPT-330,0.03,-0.00,0.04,-0.01
COMBI,-10,-7.26,0.205519812398533,1.87000180386025e-002,2,0.875567030958002,1.22217421563521e-002,2,0.217294368838478,0,2,A2780ip2,KX2-391,KPT-330,0.19,0.02,0.23,-0.01
COMBI,-10,-7,0.634573429785279,2.15294522907335e-002,2,0.529615451878376,2.27400232411675e-002,2,0.638094117025032,0,2,A2780ip2,KX2-391,KPT-330,0.65,-0.02,0.64,-0.00
Sing,-9.52,-99,0,0,2,1.08018470665242,1.5150498711535e-002,2,-6.35790873797212e-003,0,2,A2780ip2,KX2-391,KPT-330,,,,
COMBI,-9.52,-8,0,0,2,1.00201473565978,5.93864971629998e-004,2,9.42652022435631e-003,0,2,A2780ip2,KX2-391,KPT-330,0.00,0.00,0.02,-0.01
COMBI,-9.52,-7.7,0,0,2,1.03588391396709,4.50753859826492e-003,2,1.4369310985788e-002,0,2,A2780ip2,KX2-391,KPT-330,0.00,0.00,0.02,-0.01
COMBI,-9.52,-7.52,8.37547798199089e-002,3.20710497101271e-002,2,0.950779314649199,1.931740876053e-002,2,1.04594571800166e-002,0,2,A2780ip2,KX2-391,KPT-330,0.02,0.06,0.02,-0.01
COMBI,-9.52,-7.26,0.223317900306656,6.13913775479525e-002,2,0.862897205879031,4.07579072963965e-002,2,0.189075808360446,0,2,A2780ip2,KX2-391,KPT-330,0.19,0.03,0.21,-0.02
COMBI,-9.52,-7,0.585601102307957,2.18165116546098e-003,2,0.579740955923809,2.13223720828296e-003,2,0.590860369624208,0,2,A2780ip2,KX2-391,KPT-330,0.64,-0.05,0.63,-0.04
Sing,-9,-99,0,0,2,1.09792577234809,6.89021349852004e-003,2,-3.06220103414207e-002,0,2,A2780ip2,KX2-391,KPT-330,,,,
COMBI,-9,-8,0,0,2,1.05839150353794,3.14735381956051e-002,2,-3.06164084721874e-002,0,2,A2780ip2,KX2-391,KPT-330,0.00,0.00,0.00,-0.03
COMBI,-9,-7.7,0,0,2,1.07759397584452,3.15492972039151e-002,2,-3.11760682563654e-002,0,2,A2780ip2,KX2-391,KPT-330,0.00,0.00,-0.00,-0.03
COMBI,-9,-7.52,0,0,2,1.04747968572355,1.2557059464885e-002,2,-2.64917334862118e-002,0,2,A2780ip2,KX2-391,KPT-330,0.02,-0.02,-0.00,-0.03
COMBI,-9,-7.26,7.02904215020143e-002,1.83993746617762e-002,2,0.959469596187537,1.0850772600465e-002,2,0.14985001813629,0,2,A2780ip2,KX2-391,KPT-330,0.19,-0.12,0.19,-0.04
COMBI,-9,-7,0.605810081524859,9.300723389597e-003,2,0.559620207708881,9.375191991702e-003,2,0.523412546315621,0,2,A2780ip2,KX2-391,KPT-330,0.64,-0.03,0.62,-0.10
Sing,-8.52,-99,0,0,2,1.09474675944008,6.28904982805994e-003,2,3.07131696251694e-002,0,2,A2780ip2,KX2-391,KPT-330,,,,
COMBI,-8.52,-8,0,0,2,1.06463707907347,2.0087530226045e-002,2,1.6587750932952e-002,0,2,A2780ip2,KX2-391,KPT-330,0.00,0.00,0.06,-0.04
COMBI,-8.52,-7.7,0,0,2,1.09420508089825,2.1568776602305e-002,2,1.22872195484556e-002,0,2,A2780ip2,KX2-391,KPT-330,0.00,0.00,0.06,-0.05
COMBI,-8.52,-7.52,0,0,2,1.04548155192627,3.142712586868e-002,2,3.074136067702e-002,0,2,A2780ip2,KX2-391,KPT-330,0.02,-0.02,0.06,-0.03
COMBI,-8.52,-7.26,9.44020203234923e-002,3.49347603872287e-002,2,0.944933477133312,2.09647851766885e-002,2,0.199644641069841,0,2,A2780ip2,KX2-391,KPT-330,0.19,-0.10,0.24,-0.04
COMBI,-8.52,-7,0.549890917441727,9.64519462624902e-003,2,0.613694153351343,8.95546885972798e-003,2,0.521567854018547,0,2,A2780ip2,KX2-391,KPT-330,0.64,-0.09,0.64,-0.12
Sing,-8,-99,0,0,2,1.06993654561228,5.39576089913502e-003,2,0.257695429178333,0,2,A2780ip2,KX2-391,KPT-330,,,,
COMBI,-8,-8,0,0,2,1.10666547068426,3.44385173010999e-002,2,0.252156240770008,0,2,A2780ip2,KX2-391,KPT-330,0.00,0.00,0.28,-0.03
COMBI,-8,-7.7,0,0,2,1.07041450725338,6.72493898225501e-003,2,0.251781191205441,0,2,A2780ip2,KX2-391,KPT-330,0.00,0.00,0.28,-0.03
COMBI,-8,-7.52,0,0,2,1.01579285390046,1.2432513552305e-002,2,0.277630012743244,0,2,A2780ip2,KX2-391,KPT-330,0.02,-0.02,0.28,-0.00
COMBI,-8,-7.26,0.10793097228068,2.23678672358846e-002,2,0.936930547933416,1.35543335889694e-002,2,0.413017217516397,0,2,A2780ip2,KX2-391,KPT-330,0.19,-0.08,0.42,-0.01
COMBI,-8,-7,0.590538523366632,1.8831094270295e-002,2,0.574637682545843,1.85472693042395e-002,2,0.639853348325695,0,2,A2780ip2,KX2-391,KPT-330,0.64,-0.05,0.73,-0.09
Sing,-7.52,-99,0.624369099222136,8.84745561427455e-003,2,0.536291538755762,9.24546735350951e-003,2,0.597536095091225,0,2,A2780ip2,KX2-391,KPT-330,,,,
COMBI,-7.52,-8,0.650061972496016,1.5758720415511e-002,2,0.507853580798161,1.72469708816805e-002,2,0.618729499169335,0,2,A2780ip2,KX2-391,KPT-330,0.62,0.03,0.61,0.01
COMBI,-7.52,-7.7,0.644839337877313,7.72882181110046e-003,2,0.50829227737903,8.457946525553e-003,2,0.624382299919045,0,2,A2780ip2,KX2-391,KPT-330,0.62,0.02,0.61,0.01
COMBI,-7.52,-7.52,0.684716911311212,9.37461453065247e-003,2,0.463197330099153,1.0977031465963e-002,2,0.643434074117994,0,2,A2780ip2,KX2-391,KPT-330,0.63,0.05,0.61,0.03
COMBI,-7.52,-7.26,0.75136792736456,1.02218748121005e-003,2,0.386073657693101,1.35926168726398e-003,2,0.719596383737062,0,2,A2780ip2,KX2-391,KPT-330,0.69,0.06,0.68,0.04
COMBI,-7.52,-7,0.877827534734183,1.5616029394879e-002,2,0.191699369793835,3.0102859235527e-002,2,0.823407354797924,0,2,A2780ip2,KX2-391,KPT-330,0.87,0.01,0.85,-0.03
