Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,2.98340248816232e-002,0,96,A2780ip2,LBH-589,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,2.99907476197822e-002,0,32,A2780ip2,LBH-589,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,2.9863071170012e-002,0,32,A2780ip2,LBH-589,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.90652140934049e-002,0,32,A2780ip2,LBH-589,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.216553953780265,0,32,A2780ip2,LBH-589,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.632308148239114,0,32,A2780ip2,LBH-589,KPT-330,,,,
Sing,-10.52,-99,5.26097025117275e-002,5.26097025117275e-002,2,1.00814963658944,6.9252166828492e-002,2,2.35769105402055e-002,0,2,A2780ip2,LBH-589,KPT-330,,,,
COMBI,-10.52,-8,1.50504633181845e-003,1.50504633181845e-003,2,1.03560362893411,3.72919556267476e-002,2,2.99927725161557e-002,0,2,A2780ip2,LBH-589,KPT-330,0.05,-0.05,0.05,-0.02
COMBI,-10.52,-7.7,1.23843719571567e-002,1.23843719571567e-002,2,1.01577059332762,2.99464034281225e-002,2,2.99126926065122e-002,0,2,A2780ip2,LBH-589,KPT-330,0.05,-0.04,0.05,-0.02
COMBI,-10.52,-7.52,4.39126680646355e-002,1.455532256075e-002,2,0.974617553554185,8.52478579665958e-003,2,2.51418357526756e-002,0,2,A2780ip2,LBH-589,KPT-330,0.07,-0.03,0.05,-0.02
COMBI,-10.52,-7.26,0.175695989417353,4.43148337442125e-002,2,0.894421524348966,2.82876399324511e-002,2,0.212155612084114,0,2,A2780ip2,LBH-589,KPT-330,0.23,-0.05,0.24,-0.03
COMBI,-10.52,-7,0.624067057067402,1.75680330692385e-002,2,0.540758568500544,1.8234798068044e-002,2,0.630195371789469,0,2,A2780ip2,LBH-589,KPT-330,0.66,-0.04,0.64,-0.01
Sing,-10,-99,0,0,2,1.03412492926559,3.39254297156451e-002,2,8.3018886658853e-003,0,2,A2780ip2,LBH-589,KPT-330,,,,
COMBI,-10,-8,1.94475594640855e-002,1.94475594640855e-002,2,1.03718714576009,5.92686498321515e-002,2,1.05599243562067e-002,0,2,A2780ip2,LBH-589,KPT-330,0.00,0.02,0.04,-0.03
COMBI,-10,-7.7,0,0,2,1.04679670121667,7.72518780237497e-003,2,9.86016197302939e-003,0,2,A2780ip2,LBH-589,KPT-330,0.00,0.00,0.04,-0.03
COMBI,-10,-7.52,3.08375477981991e-003,3.08375477981991e-003,2,1.00291714493261,6.43143150187148e-003,2,1.2873950394207e-002,0,2,A2780ip2,LBH-589,KPT-330,0.02,-0.02,0.04,-0.03
COMBI,-10,-7.26,0.209007275569719,1.9181047441525e-002,2,0.873279132571241,1.2572098304338e-002,2,0.200188446606542,0,2,A2780ip2,LBH-589,KPT-330,0.19,0.02,0.22,-0.02
COMBI,-10,-7,0.606728671489263,1.87162705247445e-002,2,0.558485426839979,1.8898074807196e-002,2,0.595644093435775,0,2,A2780ip2,LBH-589,KPT-330,0.64,-0.03,0.64,-0.04
Sing,-9.52,-99,0,0,2,1.11086126515057,7.815236440055e-003,2,-1.45859651746252e-002,0,2,A2780ip2,LBH-589,KPT-330,,,,
COMBI,-9.52,-8,0,0,2,1.05475279538315,7.75510630319998e-004,2,-2.75254838230508e-002,0,2,A2780ip2,LBH-589,KPT-330,0.00,0.00,0.02,-0.05
COMBI,-9.52,-7.7,0,0,2,1.08662829221595,4.58412450273999e-002,2,-2.99024261978637e-002,0,2,A2780ip2,LBH-589,KPT-330,0.00,0.00,0.02,-0.05
