Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,3.01471228825812e-002,0,96,A2780ip2,ML162,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,3.02237411504364e-002,0,32,A2780ip2,ML162,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,2.88793090989686e-002,0,32,A2780ip2,ML162,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.8725619010634e-002,0,32,A2780ip2,ML162,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.217456986107137,0,32,A2780ip2,ML162,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.632004639386802,0,32,A2780ip2,ML162,KPT-330,,,,
Sing,-10.52,-99,4.69093284246778e-002,4.69093284246778e-002,2,1.00674138956264,6.10016753190175e-002,2,2.84625579748595e-002,0,2,A2780ip2,ML162,KPT-330,,,,
COMBI,-10.52,-8,4.06657616714867e-002,1.38110133978634e-002,2,0.976861337260594,7.95505823170051e-003,2,4.18590642012624e-002,0,2,A2780ip2,ML162,KPT-330,0.05,-0.01,0.06,-0.02
COMBI,-10.52,-7.7,7.11416747809152e-002,6.08568646543328e-002,2,0.957849927421216,3.62922506979686e-002,2,4.48487378099829e-002,0,2,A2780ip2,ML162,KPT-330,0.05,0.02,0.06,-0.02
COMBI,-10.52,-7.52,7.77722955470581e-002,4.57012458369309e-002,2,0.954150967579134,2.74162911086065e-002,2,3.74160913054061e-002,0,2,A2780ip2,ML162,KPT-330,0.06,0.02,0.06,-0.02
COMBI,-10.52,-7.26,0.286813781492394,3.80614515062235e-002,2,0.820206516131576,2.6686764118657e-002,2,0.218559635252309,0,2,A2780ip2,ML162,KPT-330,0.22,0.07,0.24,-0.02
COMBI,-10.52,-7,0.625732001377885,4.99483293144998e-003,2,0.539267607022337,5.19689766700451e-003,2,0.63235163530116,0,2,A2780ip2,ML162,KPT-330,0.66,-0.03,0.64,-0.01
Sing,-10,-99,0,0,2,1.07454263790409,3.18044687218301e-002,2,1.18854240118464e-002,0,2,A2780ip2,ML162,KPT-330,,,,
COMBI,-10,-8,1.0771410021838e-002,1.0771410021838e-002,2,1.02637047373598,3.85288709655969e-002,2,2.37597821767435e-002,0,2,A2780ip2,ML162,KPT-330,0.00,0.01,0.04,-0.02
COMBI,-10,-7.7,0,0,2,1.03617370901495,1.22920296335299e-002,2,2.98939335362166e-002,0,2,A2780ip2,ML162,KPT-330,0.00,0.00,0.04,-0.01
COMBI,-10,-7.52,8.32613790551375e-003,8.32613790551375e-003,2,1.01622447690764,2.5746073868413e-002,2,2.83628511557573e-002,0,2,A2780ip2,ML162,KPT-330,0.02,-0.01,0.04,-0.01
COMBI,-10,-7.26,0.165293728579159,4.4495219770305e-003,2,0.901522179643012,2.81576044942652e-003,2,0.205805563316937,0,2,A2780ip2,ML162,KPT-330,0.19,-0.02,0.23,-0.02
COMBI,-10,-7,0.607819497071995,1.32047307383151e-003,2,0.557658248420193,1.33511814839549e-003,2,0.599729112248459,0,2,A2780ip2,ML162,KPT-330,0.64,-0.03,0.64,-0.04
Sing,-9.52,-99,3.44397601092571e-003,3.44397601092571e-003,2,1.05682441513641,6.06906911213179e-002,2,-1.53856026502594e-002,0,2,A2780ip2,ML162,KPT-330,,,,
COMBI,-9.52,-8,0,0,2,1.10128464359512,3.33246469317851e-002,2,-3.01866725405417e-002,0,2,A2780ip2,ML162,KPT-330,0.00,0.00,0.02,-0.05
COMBI,-9.52,-7.7,0,0,2,1.08401026383624,1.0484214151975e-002,2,-3.00366992043789e-002,0,2,A2780ip2,ML162,KPT-330,0.01,-0.01,0.01,-0.04
COMBI,-9.52,-7.52,0,0,2,1.07473478418528,9.472698387885e-003,2,-1.21889630026389e-002,0,2,A2780ip2,ML162,KPT-330,0.02,-0.02,0.01,-0.02
COMBI,-9.52,-7.26,0.150321688413204,1.78582165834885e-002,2,0.910870076010736,1.11714942624186e-002,2,0.178369264623372,0,2,A2780ip2,ML162,KPT-330,0.19,-0.04,0.21,-0.03
COMBI,-9.52,-7,0.561488115742335,3.72028935583875e-002,2,0.601970329585063,3.51461660239155e-002,2,0.554509437302037,0,2,A2780ip2,ML162,KPT-330,0.65,-0.09,0.63,-0.08
Sing,-9,-99,0,0,2,1.08187276656599,5.38337526254512e-003,2,3.02202075380832e-002,0,2,A2780ip2,ML162,KPT-330,,,,
COMBI,-9,-8,0,0,2,1.07425813709033,1.2861104386015e-002,2,-2.72553125655921e-002,0,2,A2780ip2,ML162,KPT-330,0.00,0.00,0.06,-0.09
COMBI,-9,-7.7,0,0,2,1.13173378226537,6.25368149995498e-003,2,-4.72199023925604e-002,0,2,A2780ip2,ML162,KPT-330,0.00,0.00,0.06,-0.11
COMBI,-9,-7.52,9.4362896262489e-003,9.4362896262489e-003,2,1.00324654135663,1.40456645900286e-002,2,-1.12856165410217e-002,0,2,A2780ip2,ML162,KPT-330,0.02,-0.01,0.06,-0.07
COMBI,-9,-7.26,0.189465456076003,7.5762130960255e-002,2,0.884592692688463,4.89442769184405e-002,2,0.193748402638692,0,2,A2780ip2,ML162,KPT-330,0.19,-0.00,0.24,-0.05
COMBI,-9,-7,0.61993340222758,2.41129865656245e-003,2,0.5452886691617,2.48535637708946e-003,2,0.544563771049081,0,2,A2780ip2,ML162,KPT-330,0.64,-0.02,0.64,-0.10
Sing,-8.52,-99,0.116501395404073,8.58618846861826e-002,2,0.930398219187148,5.22658151078495e-002,2,0.232478454522442,0,2,A2780ip2,ML162,KPT-330,,,,
COMBI,-8.52,-8,5.6985185622381e-002,5.6985185622381e-002,2,0.967326900698057,3.37637483186924e-002,2,0.144481800077412,0,2,A2780ip2,ML162,KPT-330,0.12,-0.06,0.26,-0.12
COMBI,-8.52,-7.7,8.4773612463486e-002,1.6066212268744e-002,2,0.95041354557308,9.66794284158548e-003,2,9.88802568407684e-002,0,2,A2780ip2,ML162,KPT-330,0.12,-0.04,0.25,-0.15
COMBI,-8.52,-7.52,4.1198963858394e-002,4.1198963858394e-002,2,0.984657757881588,3.28407074399021e-002,2,0.136198932182904,0,2,A2780ip2,ML162,KPT-330,0.13,-0.09,0.25,-0.11
COMBI,-8.52,-7.26,0.233479646443389,3.21087126450605e-002,2,0.856883818570179,2.14834562285075e-002,2,0.326990123663631,0,2,A2780ip2,ML162,KPT-330,0.28,-0.05,0.40,-0.07
COMBI,-8.52,-7,0.63577907911356,6.20048225973149e-003,2,0.528714863114504,6.55918568195402e-003,2,0.615733440839061,0,2,A2780ip2,ML162,KPT-330,0.69,-0.05,0.72,-0.10
Sing,-8,-99,0.774953981355026,1.54978920491655e-002,2,0.354641848069014,2.18056156855545e-002,2,0.561651165757122,0,2,A2780ip2,ML162,KPT-330,,,,
COMBI,-8,-8,0.424423065572803,6.72844242459998e-003,2,0.71805559283948,5.40486010496954e-003,2,0.479105938485086,0,2,A2780ip2,ML162,KPT-330,0.77,-0.35,0.57,-0.09
COMBI,-8,-7.7,0.391918208373904,8.90335929892895e-002,2,0.737350748830081,7.00645004894675e-002,2,0.421305696048833,0,2,A2780ip2,ML162,KPT-330,0.78,-0.39,0.57,-0.15
COMBI,-8,-7.52,0.32909831010238,4.92167262859255e-002,2,0.787255403763091,3.62874598729565e-002,2,0.444493567908459,0,2,A2780ip2,ML162,KPT-330,0.78,-0.45,0.57,-0.13
COMBI,-8,-7.26,0.538632673922193,7.31765979195475e-002,2,0.615998213417504,6.77954894848705e-002,2,0.581683326821096,0,2,A2780ip2,ML162,KPT-330,0.82,-0.28,0.66,-0.08
COMBI,-8,-7,0.749339763463084,1.6649443104834e-002,2,0.394698952123164,2.1970168952664e-002,2,0.762784532564561,0,2,A2780ip2,ML162,KPT-330,0.92,-0.17,0.84,-0.08
Sing,-7.52,-99,0.947271539694792,1.36571462502255e-003,2,3.07125566671625e-002,3.66767300958005e-003,2,0.868061834121679,0,2,A2780ip2,ML162,KPT-330,,,,
COMBI,-7.52,-8,0.95077613173582,2.36085699108801e-003,2,1.65502587440645e-002,6.57914011300932e-003,2,0.82264420520281,0,2,A2780ip2,ML162,KPT-330,0.95,0.00,0.87,-0.05
COMBI,-7.52,-7.7,0.945046251217137,8.1548198636805e-003,2,2.32163872764484e-002,2.20052314530048e-002,2,0.776796309246109,0,2,A2780ip2,ML162,KPT-330,0.95,-0.00,0.87,-0.09
COMBI,-7.52,-7.52,0.948994695941779,9.06623905267048e-003,2,1.63776476285755e-002,2.46372125731924e-002,2,0.785696687377399,0,2,A2780ip2,ML162,KPT-330,0.95,-0.00,0.87,-0.08
COMBI,-7.52,-7.26,0.949972942096086,1.20257350730513e-004,2,2.32821138537901e-002,3.261373440954e-004,2,0.852582410341801,0,2,A2780ip2,ML162,KPT-330,0.96,-0.01,0.90,-0.05
COMBI,-7.52,-7,0.949764611321621,9.81743024457449e-003,2,2.78753056087126e-002,2.70312784763789e-002,2,0.912438273899464,0,2,A2780ip2,ML162,KPT-330,0.98,-0.03,0.95,-0.04
Sing,-7,-99,0.984858381331275,4.51279615224751e-003,2,-8.50647152709258e-002,1.60613458490262e-002,2,1.00710696624795,0,2,A2780ip2,ML162,KPT-330,,,,
COMBI,-7,-8,0.969072773416751,3.54128548663149e-003,2,-3.78977470285117e-002,1.12436957786241e-002,2,1.00287222715341,0,2,A2780ip2,ML162,KPT-330,0.98,-0.01,1.01,-0.01
COMBI,-7,-7.7,0.969997565725414,1.59444985394349e-002,2,-5.26153085466636e-002,5.14007303430264e-002,2,0.984124079520888,0,2,A2780ip2,ML162,KPT-330,0.98,-0.01,1.01,-0.03
COMBI,-7,-7.52,0.979523868261996,6.04415936844704e-003,2,-7.55750179523113e-002,2.04506374177899e-002,2,0.989984688475527,0,2,A2780ip2,ML162,KPT-330,0.99,-0.01,1.01,-0.02
COMBI,-7,-7.26,0.982983584871625,9.44020203234899e-003,2,-7.87194156209027e-002,3.27402751928672e-002,2,1.00351022304427,0,2,A2780ip2,ML162,KPT-330,0.99,-0.01,1.01,-0.01
COMBI,-7,-7,0.984613618096222,7.69319095188895e-003,2,-8.1323845777509e-002,2.7766477007858e-002,2,0.975841871364846,0,2,A2780ip2,ML162,KPT-330,0.99,-0.01,1.00,-0.02
