Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,2.28302208755686e-002,0,96,A2780ip2,Olaparib,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,2.29790465668925e-002,0,32,A2780ip2,Olaparib,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,1.93860876700251e-002,0,32,A2780ip2,Olaparib,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.28400434479514e-002,0,32,A2780ip2,Olaparib,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.217843363580923,0,32,A2780ip2,Olaparib,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.628678114756291,0,32,A2780ip2,Olaparib,KPT-330,,,,
Sing,-9.52,-99,7.7786354729529e-002,7.7786354729529e-002,2,0.966922350914901,5.89501071922194e-002,2,1.06059263398429e-002,0,2,A2780ip2,Olaparib,KPT-330,,,,
COMBI,-9.52,-8,3.74786047335183e-003,3.74786047335183e-003,2,1.02013810676158,2.43486625250775e-002,2,1.60659780924479e-002,0,2,A2780ip2,Olaparib,KPT-330,0.08,-0.08,0.03,-0.01
COMBI,-9.52,-7.7,8.55647517039924e-002,5.61708860759496e-002,2,0.949309978548569,3.3840897160435e-002,2,1.50292798862914e-002,0,2,A2780ip2,Olaparib,KPT-330,0.08,0.01,0.03,-0.01
COMBI,-9.52,-7.52,2.80621684963612e-002,1.52337486123103e-002,2,0.983847683531721,8.82647173096998e-003,2,1.74571895049194e-002,0,2,A2780ip2,Olaparib,KPT-330,0.09,-0.06,0.03,-0.01
COMBI,-9.52,-7.26,0.210690878479947,1.65353857254525e-002,2,0.872200173829816,1.0852755994188e-002,2,0.213752355159032,0,2,A2780ip2,Olaparib,KPT-330,0.25,-0.04,0.23,-0.02
COMBI,-9.52,-7,0.648868986106327,9.64519462624899e-003,2,0.514661699852772,1.04327344209074e-002,2,0.629524894316406,0,2,A2780ip2,Olaparib,KPT-330,0.67,-0.02,0.63,-0.00
Sing,-9,-99,2.13764028264355e-003,2.13764028264355e-003,2,1.04602174609218,4.84194200083825e-002,2,1.81137865809916e-002,0,2,A2780ip2,Olaparib,KPT-330,,,,
COMBI,-9,-8,0,0,2,1.01570565484634,1.421875531985e-002,2,2.28372998946716e-002,0,2,A2780ip2,Olaparib,KPT-330,0.00,0.00,0.04,-0.02
COMBI,-9,-7.7,2.8511441090555e-002,2.8511441090555e-002,2,1.00224443035103,3.52405275562345e-002,2,1.91432918663532e-002,0,2,A2780ip2,Olaparib,KPT-330,0.00,0.03,0.04,-0.02
COMBI,-9,-7.52,1.83791784877267e-002,1.83791784877267e-002,2,1.01704078712005,3.8200957853119e-002,2,2.29896405879101e-002,0,2,A2780ip2,Olaparib,KPT-330,0.02,-0.00,0.04,-0.02
COMBI,-9,-7.26,0.179604353316096,7.4078528050027e-002,2,0.891021416186346,4.7476515691648e-002,2,0.214504653556118,0,2,A2780ip2,Olaparib,KPT-330,0.19,-0.01,0.23,-0.02
COMBI,-9,-7,0.587495694109541,5.22448042255153e-003,2,0.577870098365296,5.1207303530495e-003,2,0.609036758927132,0,2,A2780ip2,Olaparib,KPT-330,0.65,-0.06,0.64,-0.03
Sing,-8.52,-99,0,0,2,1.0386747943541,2.92387280528e-003,2,2.28776833816614e-002,0,2,A2780ip2,Olaparib,KPT-330,,,,
COMBI,-8.52,-8,0,0,2,1.07464471998463,1.3370831786935e-002,2,1.9947774813251e-002,0,2,A2780ip2,Olaparib,KPT-330,0.00,0.00,0.05,-0.03
COMBI,-8.52,-7.7,0,0,2,1.0379089929477,8.26672426728986e-003,2,1.01740833425081e-002,0,2,A2780ip2,Olaparib,KPT-330,0.00,0.00,0.04,-0.03
COMBI,-8.52,-7.52,0,0,2,1.04578778692052,1.228153486296e-002,2,2.28339589242739e-002,0,2,A2780ip2,Olaparib,KPT-330,0.02,-0.02,0.05,-0.03
COMBI,-8.52,-7.26,0.131381155673141,9.62058805844497e-004,2,0.922708949389497,5.93175109354971e-004,2,0.219473707306038,0,2,A2780ip2,Olaparib,KPT-330,0.19,-0.06,0.24,-0.02
