Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,2.42368108803588e-002,0,96,A2780ip2,Olaparib_PI,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,2.42864033747815e-002,0,32,A2780ip2,Olaparib_PI,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,2.06438897585342e-002,0,32,A2780ip2,Olaparib_PI,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.4164985115547e-002,0,32,A2780ip2,Olaparib_PI,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.218211038437339,0,32,A2780ip2,Olaparib_PI,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.630027137124927,0,32,A2780ip2,Olaparib_PI,KPT-330,,,,
Sing,-9.52,-99,3.51923650462273e-002,2.63048016701461e-002,2,0.979819777638171,1.51630586342605e-002,2,1.96584489496026e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,,,,
COMBI,-9.52,-8,7.48063723946855e-002,7.48063723946855e-002,2,0.977859925652138,6.8753470204172e-002,2,3.35398399694268e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.04,0.03,0.04,-0.01
COMBI,-9.52,-7.7,7.85568234285336e-002,3.51559923487895e-002,2,0.952063194276281,2.19168743364225e-002,2,4.1362057599121e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.04,0.04,0.04,0.00
COMBI,-9.52,-7.52,0.188723289639073,2.33435087089245e-002,2,0.887010310371292,1.49717194235095e-002,2,4.33425108243104e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.05,0.14,0.04,0.00
COMBI,-9.52,-7.26,0.181033935934031,1.26863304789099e-003,2,0.889779203651067,8.24984579667426e-004,2,0.223577357397007,0,2,A2780ip2,Olaparib_PI,KPT-330,0.22,-0.04,0.23,-0.01
COMBI,-9.52,-7,0.636820438309722,8.77830245792452e-003,2,0.522169432051142,9.35424980563501e-003,2,0.6213681469821,0,2,A2780ip2,Olaparib_PI,KPT-330,0.66,-0.02,0.64,-0.02
Sing,-9,-99,2.28153892036982e-002,2.28153892036982e-002,2,1.00787550455794,3.39569300403835e-002,2,2.67315979992007e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,,,,
COMBI,-9,-8,6.11422454505385e-002,6.11422454505385e-002,2,0.970748547534219,4.4301495309691e-002,2,4.31448294832993e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.02,0.04,0.05,-0.01
COMBI,-9,-7.7,2.17663742497197e-002,2.17663742497197e-002,2,1.01042577715288,3.65259558345275e-002,2,5.55280203574718e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.02,0.00,0.05,0.01
COMBI,-9,-7.52,0.102053031663375,5.98551505357035e-003,2,0.940893396884805,3.59240214515952e-003,2,6.32538173217232e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.04,0.06,0.05,0.01
COMBI,-9,-7.26,0.229115128449096,9.1341579448145e-003,2,0.85788136004791,6.17472610518047e-003,2,0.234103723948541,0,2,A2780ip2,Olaparib_PI,KPT-330,0.21,0.02,0.24,-0.01
COMBI,-9,-7,0.609214190579974,2.48214069499952e-003,2,0.551004917767827,2.53135164727702e-003,2,0.601194172451413,0,2,A2780ip2,Olaparib_PI,KPT-330,0.65,-0.04,0.64,-0.04
Sing,-8.52,-99,0,0,2,1.07391904292659,3.670333518202e-002,2,1.51804882182501e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,,,,
COMBI,-8.52,-8,0,0,2,1.06519893977448,2.48096508418549e-002,2,2.41545397571158e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.00,0.00,0.04,-0.02
COMBI,-8.52,-7.7,3.35070246025988e-002,3.35070246025988e-002,2,1.00522127534518,4.5721626519993e-002,2,3.51835305359463e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.00,0.03,0.04,-0.00
COMBI,-8.52,-7.52,0.117046746872568,0.117046746872568,2,0.929474290875143,7.19637172249565e-002,2,5.82007470010807e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.02,0.10,0.04,0.02
COMBI,-8.52,-7.26,0.13231842689502,1.77608626704748e-003,2,0.920871502615959,1.11283016442654e-003,2,0.240626092866289,0,2,A2780ip2,Olaparib_PI,KPT-330,0.19,-0.06,0.23,0.01
COMBI,-8.52,-7,0.608790410461315,6.17508172902304e-003,2,0.551411907484599,6.29359661498796e-003,2,0.590852548946249,0,2,A2780ip2,Olaparib_PI,KPT-330,0.64,-0.03,0.64,-0.05
Sing,-8,-99,0,0,2,1.08635829043596,4.52829366776014e-003,2,-1.57372136068714e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,,,,
COMBI,-8,-8,0,0,2,1.0929107895343,1.9811758382715e-002,2,-1.21875491377807e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.00,0.00,0.01,-0.02
COMBI,-8,-7.7,0,0,2,1.02533202936376,1.86521785756149e-002,2,7.8088493475231e-004,0,2,A2780ip2,Olaparib_PI,KPT-330,0.00,0.00,0.01,-0.01
COMBI,-8,-7.52,1.58616148919615e-002,1.53229185371401e-002,2,0.991039153887592,8.65955890144446e-003,2,4.64314470423422e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.02,-0.00,0.01,0.04
COMBI,-8,-7.26,0.271297177291469,4.67491278147795e-002,2,0.828207921247851,3.27782788919915e-002,2,0.255437335566631,0,2,A2780ip2,Olaparib_PI,KPT-330,0.19,0.08,0.21,0.05
COMBI,-8,-7,0.673931468700812,2.94224482382855e-002,2,0.480545026010296,3.34472036224905e-002,2,0.604858120312958,0,2,A2780ip2,Olaparib_PI,KPT-330,0.64,0.03,0.62,-0.02
Sing,-7.52,-99,0,0,2,1.05393539974146,4.05119469589149e-002,2,-2.42079916649817e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,,,,
COMBI,-7.52,-8,0,0,2,1.02333245426798,7.56870331591492e-003,2,-1.24493478259554e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.00,0.00,0.00,-0.01
COMBI,-7.52,-7.7,1.14768155134885e-002,1.14768155134885e-002,2,0.996119013844395,9.78662831389451e-003,2,1.23808476752271e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.00,0.01,-0.00,0.01
COMBI,-7.52,-7.52,0.110672173340516,2.22661159992819e-002,2,0.935601684744376,1.34497342801214e-002,2,7.99778756458894e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.02,0.09,0.00,0.08
COMBI,-7.52,-7.26,0.26476371709483,4.69394227719649e-003,2,0.833435247780936,3.27033853380398e-003,2,0.306803782824448,0,2,A2780ip2,Olaparib_PI,KPT-330,0.19,0.07,0.20,0.11
COMBI,-7.52,-7,0.669693667514227,3.87456108487697e-003,2,0.486207757480634,4.36652766594749e-003,2,0.646667166237361,0,2,A2780ip2,Olaparib_PI,KPT-330,0.64,0.03,0.62,0.03
Sing,-7,-99,0,0,2,1.08867607100474,9.39670010015048e-004,2,4.95006891442292e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,,,,
COMBI,-7,-8,0.147660726654493,5.11932497953531e-002,2,0.90971635305314,3.27922295396595e-002,2,8.44409032521848e-002,0,2,A2780ip2,Olaparib_PI,KPT-330,0.00,0.15,0.07,0.01
COMBI,-7,-7.7,0.362575028032451,0.211925334740452,2,0.735745826861549,0.170465721063571,2,0.126419137442818,0,2,A2780ip2,Olaparib_PI,KPT-330,0.00,0.36,0.07,0.06
COMBI,-7,-7.52,0.175914287424433,1.1252768300712e-002,2,0.89529089934901,7.14318119277446e-003,2,0.203380605171857,0,2,A2780ip2,Olaparib_PI,KPT-330,0.02,0.16,0.07,0.13
COMBI,-7,-7.26,0.385918173168411,2.4104027909927e-002,2,0.743954088024086,1.8820166569784e-002,2,0.416229558380001,0,2,A2780ip2,Olaparib_PI,KPT-330,0.19,0.20,0.26,0.16
COMBI,-7,-7,0.740525487347137,4.96428138999849e-003,2,0.400763782069957,6.42639703754749e-003,2,0.711242179112575,0,2,A2780ip2,Olaparib_PI,KPT-330,0.64,0.10,0.65,0.06
Sing,-6.52,-99,0.102952579779302,6.22129436325678e-002,2,0.939098722175561,3.76544714147965e-002,2,0.22686950883744,0,2,A2780ip2,Olaparib_PI,KPT-330,,,,
COMBI,-6.52,-8,0.181726591524463,4.0299729236194e-002,2,0.887836576216728,2.65016352354825e-002,2,0.290561709919553,0,2,A2780ip2,Olaparib_PI,KPT-330,0.10,0.08,0.25,0.04
COMBI,-6.52,-7.7,0.29681419431436,3.68049600949805e-002,2,0.80384446534323,2.73090450810105e-002,2,0.343369666352142,0,2,A2780ip2,Olaparib_PI,KPT-330,0.10,0.20,0.24,0.10
COMBI,-6.52,-7.52,0.368468306697791,3.2501346740887e-002,2,0.762056851916289,2.4498892027048e-002,2,0.409074031602651,0,2,A2780ip2,Olaparib_PI,KPT-330,0.12,0.25,0.25,0.16
COMBI,-6.52,-7.26,0.541896606406597,1.83317475420235e-002,2,0.611055830289524,1.71458193815505e-002,2,0.570879116384546,0,2,A2780ip2,Olaparib_PI,KPT-330,0.27,0.27,0.40,0.17
COMBI,-6.52,-7,0.805242765467975,7.87020220365503e-004,2,0.310388450403467,1.1909979419835e-003,2,0.781815771102895,0,2,A2780ip2,Olaparib_PI,KPT-330,0.68,0.13,0.71,0.07
Sing,-6,-99,0.560512973456606,1.2645392186102e-002,2,0.597627589015888,1.2080174765713e-002,2,0.453910305233229,0,2,A2780ip2,Olaparib_PI,KPT-330,,,,
COMBI,-6,-8,0.603425476985076,4.07405075247156e-002,2,0.544409944306226,4.2303782457694e-002,2,0.538467490495365,0,2,A2780ip2,Olaparib_PI,KPT-330,0.56,0.04,0.47,0.07
COMBI,-6,-7.7,0.645076182309874,4.44561704373061e-002,2,0.487842785583229,5.0423924923502e-002,2,0.588744542247881,0,2,A2780ip2,Olaparib_PI,KPT-330,0.56,0.09,0.47,0.12
COMBI,-6,-7.52,0.67079667205363,2.77727898485665e-002,2,0.486889302201902,3.12400195776675e-002,2,0.62643351143252,0,2,A2780ip2,Olaparib_PI,KPT-330,0.57,0.10,0.47,0.16
COMBI,-6,-7.26,0.731366952109103,9.7684744687595e-003,2,0.405752101201674,1.24638402116915e-002,2,0.716858970958187,0,2,A2780ip2,Olaparib_PI,KPT-330,0.64,0.09,0.57,0.15
COMBI,-6,-7,0.865056302215764,1.32582637123135e-002,2,0.210854617800929,2.4134593394617e-002,2,0.827556317218705,0,2,A2780ip2,Olaparib_PI,KPT-330,0.84,0.03,0.80,0.03
