Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,3.27962563774046e-002,0,96,A2780ip2,SB743921,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,3.2688640875996e-002,0,32,A2780ip2,SB743921,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,3.29046470886127e-002,0,32,A2780ip2,SB743921,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.61021559901606e-002,0,32,A2780ip2,SB743921,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.206485838227407,0,32,A2780ip2,SB743921,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.629304604610456,0,32,A2780ip2,SB743921,KPT-330,,,,
Sing,-11.52,-99,2.86609006859529e-002,2.86609006859529e-002,2,1.05484247752737,8.77384603621945e-002,2,2.44442353742162e-002,0,2,A2780ip2,SB743921,KPT-330,,,,
COMBI,-11.52,-8,0,0,2,1.03756083111512,4.90795939898492e-003,2,1.65870124681048e-002,0,2,A2780ip2,SB743921,KPT-330,0.03,-0.03,0.06,-0.04
COMBI,-11.52,-7.7,0,0,2,1.09015401228756,4.26099116829899e-002,2,7.20603960189584e-003,0,2,A2780ip2,SB743921,KPT-330,0.03,-0.03,0.06,-0.05
COMBI,-11.52,-7.52,0,0,2,1.03989305568638,1.453558634494e-002,2,-1.42717123637301e-002,0,2,A2780ip2,SB743921,KPT-330,0.05,-0.05,0.05,-0.06
