Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,2.93275275887853e-002,0,96,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,2.93891245906354e-002,0,32,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,2.94105202086303e-002,0,32,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.92944750888586e-002,0,32,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.216759546229413,0,32,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.632771405445788,0,32,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
Sing,-9.52,-99,0,0,2,1.05427950473363,2.7672672516615e-002,2,1.32626787495847e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
COMBI,-9.52,-8,0,0,2,1.05736883015457,5.44802317539894e-004,2,2.13054321900087e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.04,-0.02
COMBI,-9.52,-7.7,0,0,2,1.04192015993899,3.1610323355445e-002,2,1.74577136743052e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.04,-0.02
COMBI,-9.52,-7.52,2.31938708325851e-002,2.31938708325851e-002,2,0.991172391026983,1.7518764229537e-002,2,2.92402495888902e-003,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.02,0.00,0.04,-0.04
COMBI,-9.52,-7.26,0.196067237551538,3.69806533460195e-002,2,0.87958632360727,2.43444342743225e-002,2,0.184307126479145,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.19,0.01,0.23,-0.05
COMBI,-9.52,-7,0.601465068410219,4.87347136457199e-002,2,0.557046581696044,4.92249483254575e-002,2,0.612408335988553,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.64,-0.04,0.64,-0.03
Sing,-9,-99,0,0,2,1.07832496441579,5.27499901487999e-003,2,1.57857548413895e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
COMBI,-9,-8,0,0,2,1.06728804821425,1.7647374177775e-002,2,2.93046386189649e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.04,-0.01
COMBI,-9,-7.7,0,0,2,1.06786204899954,1.81069152680013e-004,2,2.0865895323802e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.04,-0.02
COMBI,-9,-7.52,8.11037289758785e-003,8.11037289758785e-003,2,1.01673963291303,2.58590442986844e-002,2,-5.05657567790921e-003,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.02,-0.01,0.04,-0.05
COMBI,-9,-7.26,8.49349825562956e-002,9.4513162067872e-003,2,0.950033627078664,5.72200792584851e-003,2,0.15923313306695,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.19,-0.11,0.23,-0.07
COMBI,-9,-7,0.5803971425112,1.37425838479235e-002,2,0.579635000230246,1.34270941562905e-002,2,0.566820968615454,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.64,-0.06,0.64,-0.07
Sing,-8.52,-99,0,0,2,1.11217040010365,3.3829669430125e-002,2,-5.76678415574497e-003,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
COMBI,-8.52,-8,0,0,2,1.07810122172584,2.92851595137099e-002,2,4.04484083614698e-003,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.02,-0.02
COMBI,-8.52,-7.7,0,0,2,1.08818826126179,4.45756627087601e-002,2,-4.05155055764389e-003,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.02,-0.02
COMBI,-8.52,-7.52,3.32196085473155e-003,3.32196085473155e-003,2,1.01592015937539,1.9643541702409e-002,2,-2.27573563485667e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.02,-0.02,0.02,-0.04
COMBI,-8.52,-7.26,5.52489692356486e-002,2.59435458293688e-002,2,0.967702363842238,1.5386884377175e-002,2,0.136343393906751,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.19,-0.13,0.21,-0.07
COMBI,-8.52,-7,0.568652379222666,2.36106066109698e-003,2,0.591141882327849,2.26807414216201e-003,2,0.515168191350811,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.64,-0.07,0.63,-0.11
Sing,-8,-99,0,0,2,1.08538137773976,2.79577647298599e-002,2,-2.92440224996708e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
COMBI,-8,-8,0,0,2,1.07145866640767,2.3399162611115e-002,2,-3.22027670770426e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.00,-0.03
COMBI,-8,-7.7,0,0,2,1.07277342072889,1.26086931151997e-003,2,-3.28587729189282e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.00,-0.03
COMBI,-8,-7.52,3.80080205901718e-003,3.80080205901718e-003,2,0.999556178536138,3.81761697892199e-003,2,-2.19191637841694e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.02,-0.02,0.00,-0.02
COMBI,-8,-7.26,0.155153821757056,2.15667618141449e-003,2,0.906440210750056,1.3747083126335e-003,2,0.150091367244743,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.19,-0.03,0.19,-0.04
COMBI,-8,-7,0.582576583121443,5.3820075069621e-002,2,0.575562244859878,5.28741373380891e-002,2,0.499320907557692,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.64,-0.06,0.62,-0.12
Sing,-7.52,-99,0,0,2,1.05276228776812,1.01042517124489e-003,2,4.22199993848762e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
COMBI,-7.52,-8,0,0,2,1.10916672023061,6.56395769680507e-003,2,2.9484923462103e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.07,-0.04
COMBI,-7.52,-7.7,0,0,2,1.09110934320562,2.01391220443004e-003,2,3.87382180809556e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.00,0.00,0.07,-0.03
COMBI,-7.52,-7.52,0.16035194828515,4.7405279224277e-002,2,0.90459355251603,2.9743425156375e-002,2,8.37187611732177e-002,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.02,0.14,0.07,0.01
COMBI,-7.52,-7.26,0.190865842055186,1.56676181414525e-002,2,0.883297423647102,1.0268469796033e-002,2,0.264831938464406,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.19,0.00,0.25,0.01
COMBI,-7.52,-7,0.562477297493644,1.72539048310935e-002,2,0.596853850058501,1.64350313837805e-002,2,0.566022433473567,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.64,-0.08,0.65,-0.08
Sing,-7,-99,0.11356993736952,3.8473009245452e-002,2,0.933178305886903,2.34570180901435e-002,2,0.28242583251184,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
COMBI,-7,-8,0.155846609155595,2.20389144260449e-003,2,0.905099066852027,1.41972235464197e-003,2,0.276851314516771,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.11,0.05,0.30,-0.02
COMBI,-7,-7.7,8.93080931336983e-002,7.14992414748367e-002,2,0.944462902285207,4.4950949185442e-002,2,0.290403170990987,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.11,-0.02,0.30,-0.01
COMBI,-7,-7.52,0.285748488657449,5.92565990303501e-003,2,0.822336268377696,4.12642484811199e-003,2,0.346694565266069,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.13,0.16,0.30,0.05
COMBI,-7,-7.26,0.346400253726609,3.30478908975575e-002,2,0.77403584680823,2.4816538329538e-002,2,0.503048502021035,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.28,0.07,0.44,0.06
COMBI,-7,-7,0.718065141058239,3.0451628526456e-002,2,0.428030693922767,3.7667541301259e-002,2,0.719115343979871,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.69,0.03,0.74,-0.02
Sing,-6.52,-99,0.947509692812407,2.02803459588399e-003,2,2.25485586314789e-002,5.54171447937735e-003,2,0.634331012794442,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
COMBI,-6.52,-8,0.949562370127826,1.48605251558465e-002,2,-2.8660230589839e-003,4.17538064740446e-002,2,0.651738603426064,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.95,-0.00,0.65,0.00
COMBI,-6.52,-7.7,0.935624299188708,6.92566453400201e-003,2,1.48435755505885e-002,1.82727319038629e-002,2,0.659154426207987,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.95,-0.01,0.65,0.01
COMBI,-6.52,-7.52,0.965044592087149,3.591309032142e-003,2,-1.14390722508591e-002,1.05800771398123e-002,2,0.693249270566103,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.95,0.02,0.65,0.04
COMBI,-6.52,-7.26,0.960418648905804,1.2242308912147e-002,2,-9.54338228274255e-003,3.46636372589913e-002,2,0.785820874125182,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.96,0.00,0.71,0.08
COMBI,-6.52,-7,0.9497517859305,2.42160067804797e-003,2,2.65433755155376e-002,6.48974647836075e-003,2,0.890151084016444,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.98,-0.03,0.87,0.02
Sing,-6,-99,0.963256784968685,3.57888458097005e-004,2,-2.27653863911858e-002,1.0881422559861e-003,2,0.933543025454158,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,,,,
COMBI,-6,-8,0.955544361186323,1.2278823751653e-002,2,-1.94453943506636e-002,3.58493881628583e-002,2,0.972682651733546,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.96,-0.00,0.94,0.03
COMBI,-6,-7.7,0.94644152760372,6.79374711430603e-003,2,-1.46563531970148e-002,1.91292581006585e-002,2,0.966198333828271,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.96,-0.01,0.94,0.03
COMBI,-6,-7.52,0.963608068474292,5.86580475249898e-003,2,-7.44368118337366e-003,1.71155239876564e-002,2,0.960226070196622,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.96,0.00,0.94,0.02
COMBI,-6,-7.26,0.95534411671424,7.04091341579449e-003,2,5.51743608570735e-003,1.92703637776269e-002,2,0.977720189994808,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.97,-0.01,0.95,0.03
COMBI,-6,-7,0.954110667150987,1.81620050853595e-003,2,1.47230311363309e-002,5.00112546144571e-003,2,0.981769269361825,0,2,A2780ip2,SCH 79797 dihydrochloride,KPT-330,0.99,-0.04,0.98,0.00
