Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,3.02535503743688e-002,0,96,A2780ip2,alisertib,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,3.01107231402248e-002,0,32,A2780ip2,alisertib,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,3.0150186763329e-002,0,32,A2780ip2,alisertib,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.94569023835301e-002,0,32,A2780ip2,alisertib,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.216296472963445,0,32,A2780ip2,alisertib,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.632048612290651,0,32,A2780ip2,alisertib,KPT-330,,,,
Sing,-10,-99,3.5627338044059e-004,3.5627338044059e-004,2,1.02987512072209,3.02742610643141e-002,2,2.63841648593762e-002,0,2,A2780ip2,alisertib,KPT-330,,,,
COMBI,-10,-8,4.08133152334298e-002,4.08133152334298e-002,2,0.986564194770979,3.35987888034915e-002,2,5.1525394146494e-002,0,2,A2780ip2,alisertib,KPT-330,0.00,0.04,0.06,-0.01
COMBI,-10,-7.7,0.100048685491724,7.7288218111004e-003,2,0.941213828227326,4.70235163535648e-003,2,6.3766836944588e-002,0,2,A2780ip2,alisertib,KPT-330,0.00,0.10,0.06,0.00
COMBI,-10,-7.52,8.59134081657824e-002,5.61860120883185e-002,2,0.949017884518034,3.39098413354165e-002,2,5.73458696194652e-002,0,2,A2780ip2,alisertib,KPT-330,0.02,0.07,0.06,-0.00
COMBI,-10,-7.26,0.200048102940292,2.0924779027118e-002,2,0.87911253434295,1.36151804230285e-002,2,0.233153258332566,0,2,A2780ip2,alisertib,KPT-330,0.19,0.01,0.24,-0.01
COMBI,-10,-7,0.651911815363417,8.78401653461902e-003,2,0.511375991917784,9.55115631684753e-003,2,0.641817309333603,0,2,A2780ip2,alisertib,KPT-330,0.64,0.01,0.64,0.00
