Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,2.64849921819229e-002,3.92521217769286e-002,96,1.00026736332805,3.94063394161306e-002,96,2.27971194362303e-002,0,96,A2780ip2,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-8,0,0,32,1.07166340606593,3.27993961187197e-002,32,2.28275314683766e-002,0,32,A2780ip2,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-7.7,1.60507848066906e-003,5.50232193015729e-003,32,1.0484176179206,3.35374658246029e-002,32,1.96348356064632e-002,0,32,A2780ip2,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-7.52,1.76879819038248e-002,2.89123802323054e-002,32,1.01232699333398,3.6751064346417e-002,32,2.2664504976373e-002,0,32,A2780ip2,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.186778871151534,5.97886443284837e-002,32,0.88604133154025,3.87674789729183e-002,32,0.216737883900492,0,32,A2780ip2,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-7,0.644795521974024,3.01701638997789e-002,32,0.515628550161914,3.13049379557396e-002,32,0.628477410127323,0,32,A2780ip2,rucaparib,KPT-330,,,,
Sing,-9.52,-99,0,0,2,1.05427669993552,1.05278649325249e-002,2,1.54864967492138e-002,0,2,A2780ip2,rucaparib,KPT-330,,,,
COMBI,-9.52,-8,0,0,2,1.01665507151848,1.06905447375016e-004,2,2.27531294775433e-002,0,2,A2780ip2,rucaparib,KPT-330,0.00,0.00,0.04,-0.02
COMBI,-9.52,-7.7,0.108304201569817,1.30598245498317e-002,2,0.933557125902575,8.31498735786049e-003,2,1.96016398123896e-002,0,2,A2780ip2,rucaparib,KPT-330,0.00,0.11,0.03,-0.01
COMBI,-9.52,-7.52,3.60328006224935e-002,7.78116956964154e-004,2,0.979606629885529,4.45760325477496e-004,2,1.24349187972289e-002,0,2,A2780ip2,rucaparib,KPT-330,0.02,0.02,0.04,-0.03
COMBI,-9.52,-7.26,0.127941642879797,4.53536314620998e-002,2,0.923134638776455,2.8337810175499e-002,2,0.199132600768312,0,2,A2780ip2,rucaparib,KPT-330,0.19,-0.06,0.23,-0.03
COMBI,-9.52,-7,0.631311296767163,8.95992250877797e-003,2,0.528011929987412,9.46253623712154e-003,2,0.61753066592243,0,2,A2780ip2,rucaparib,KPT-330,0.64,-0.01,0.63,-0.01
