Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.1191358315267e-002,0,180,OVCAR5,Bleomycin sulfate,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.60360347572387e-002,0,20,OVCAR5,Bleomycin sulfate,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.159400803073622,0,20,OVCAR5,Bleomycin sulfate,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.316007471360601,0,20,OVCAR5,Bleomycin sulfate,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.483193063295063,0,20,OVCAR5,Bleomycin sulfate,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.635967713067905,0,20,OVCAR5,Bleomycin sulfate,Selinexor,,,,
SING,-10,-99,0,0,1,1.18156851097734,0,1,-5.97776639014855e-003,0,1,OVCAR5,Bleomycin sulfate,Selinexor,,,,
COMBI,-10,-7.52,1.5159918654095e-002,0,1,0.986822730692977,0,1,8.67248593842904e-003,0,1,OVCAR5,Bleomycin sulfate,Selinexor,0.04,-0.02,0.03,-0.02
COMBI,-10,-7.26,2.36265847099501e-002,0,1,0.980588675574716,0,1,0.134257038610264,0,1,OVCAR5,Bleomycin sulfate,Selinexor,0.18,-0.16,0.15,-0.02
COMBI,-10,-7,0.315198107628622,0,1,0.709408442893316,0,1,0.296287411779005,0,1,OVCAR5,Bleomycin sulfate,Selinexor,0.30,0.02,0.31,-0.01
COMBI,-10,-6.7,0.495909000199561,0,1,0.53203808559678,0,1,0.474620008319989,0,1,OVCAR5,Bleomycin sulfate,Selinexor,0.48,0.02,0.48,-0.01
COMBI,-10,-6.52,0.671863260706236,0,1,0.310779750347134,0,1,0.641050822400395,0,1,OVCAR5,Bleomycin sulfate,Selinexor,0.64,0.03,0.63,0.01
SING,-9.52,-99,0,0,2,1.1470208834303,7.7480579402925e-002,2,-4.05594977035625e-003,0,2,OVCAR5,Bleomycin sulfate,Selinexor,,,,
COMBI,-9.52,-7.52,0,0,2,1.03974441307757,2.921516959069e-002,2,1.50821710556077e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.04,-0.04,0.03,-0.01
COMBI,-9.52,-7.26,0.119093353822512,4.32193622742987e-002,2,0.899159277135583,3.76403447826285e-002,2,0.134080959910832,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.18,-0.06,0.16,-0.03
COMBI,-9.52,-7,0.296077271831264,4.92805046323648e-003,2,0.728706208793142,4.94269674629799e-003,2,0.285980461137972,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.30,-0.00,0.31,-0.02
COMBI,-9.52,-6.7,0.410297345839154,4.051087607264e-002,2,0.62404642399171,4.23607755708091e-002,2,0.459636666415902,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.48,-0.07,0.48,-0.02
COMBI,-9.52,-6.52,0.612697220135237,6.94966190833954e-003,2,0.389606777136712,8.9307581372135e-003,2,0.626949972258319,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.64,-0.03,0.63,-0.00
SING,-9,-99,0,0,2,1.10868722136401,1.32389767280601e-002,2,1.03394929020499e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,,,,
COMBI,-9,-7.52,4.86226659271584e-002,4.86226659271584e-002,2,0.971358032166786,5.7829501420904e-002,2,3.65606504011975e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.04,0.01,0.05,-0.01
COMBI,-9,-7.26,0.149827122550902,1.24855935459085e-002,2,0.872585354007743,1.1066421654788e-002,2,0.145296589882356,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.18,-0.03,0.17,-0.02
COMBI,-9,-7,0.299034102109206,6.307904592943e-003,2,0.725732095718055,6.33967327885299e-003,2,0.280344083054164,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.30,-0.00,0.32,-0.04
COMBI,-9,-6.7,0.430852125324287,7.58331670325248e-003,2,0.603034852173318,8.05641024165249e-003,2,0.444420630730039,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.48,-0.05,0.49,-0.05
COMBI,-9,-6.52,0.637678437265214,1.16453794139746e-002,2,0.356944921631922,1.5425013652534e-002,2,0.610280580282861,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.64,-0.00,0.64,-0.03
SING,-8.52,-99,0,0,2,1.17271881667894,4.22206792004998e-004,2,2.11907333412565e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,,,,
COMBI,-8.52,-7.52,2.97652061379183e-002,2.97652061379183e-002,2,0.974452211788401,2.68276804951885e-002,2,5.15743209308097e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.04,-0.01,0.06,-0.01
COMBI,-8.52,-7.26,0.181713407606608,2.20898962735305e-002,2,0.84396031372085,1.9957880099777e-002,2,0.150075487466192,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.18,0.00,0.18,-0.03
COMBI,-8.52,-7,0.272816873644786,6.89927064853148e-003,2,0.751843063123014,6.81077680279252e-003,2,0.271279474016864,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.30,-0.03,0.33,-0.06
COMBI,-8.52,-6.7,0.463779684693674,1.217321891838e-002,2,0.567533687658841,1.32896902163795e-002,2,0.430645585008132,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.48,-0.02,0.49,-0.06
COMBI,-8.52,-6.52,0.629226145755072,2.87377911344855e-002,2,0.367531889795967,3.7688845808923e-002,2,0.599187409547935,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.64,-0.01,0.64,-0.04
SING,-8,-99,0,0,2,1.11950003063665,1.5336499719575e-002,2,2.11727374902933e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,,,,
COMBI,-8,-7.52,1.99667221297837e-002,1.99667221297837e-002,2,1.0011993680356,3.61440125172745e-002,2,4.92475094265573e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.04,-0.02,0.06,-0.01
COMBI,-8,-7.26,0.175758739915482,2.8044563964656e-002,2,0.849250021761142,2.5247588140069e-002,2,0.142052493301284,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.18,-0.00,0.18,-0.04
COMBI,-8,-7,0.216834220382417,2.3063276167948e-002,2,0.805958125845593,2.1955032424983e-002,2,0.261711396411811,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.30,-0.08,0.33,-0.07
COMBI,-8,-6.7,0.388345639592896,7.78287766912804e-003,2,0.647443861405433,7.99816389076055e-003,2,0.425735723579184,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.48,-0.09,0.49,-0.06
COMBI,-8,-6.52,0.615514650638618,3.75657400450755e-003,2,0.386006048564471,4.8434154097805e-003,2,0.598056417715581,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.64,-0.02,0.64,-0.04
SING,-7.52,-99,0,0,2,1.11089445024784,1.51775520131009e-003,2,1.34972126056451e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,,,,
COMBI,-7.52,-7.52,4.64041412460713e-002,2.20003697541135e-002,2,0.959201481296794,1.9533440605866e-002,2,3.36173107645836e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.04,0.01,0.05,-0.02
COMBI,-7.52,-7.26,0.137725701114099,2.8812908182866e-002,2,0.883101245502236,2.53603745744445e-002,2,0.128752798304898,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.18,-0.04,0.17,-0.04
COMBI,-7.52,-7,0.271831263552139,4.5338064261778e-002,2,0.752149364659486,4.4746088212451e-002,2,0.263414341959357,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.30,-0.03,0.33,-0.07
COMBI,-7.52,-6.7,0.468768708840551,4.9890241468769e-002,2,0.56097758620448,5.47414851758935e-002,2,0.440080831784012,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.48,-0.01,0.49,-0.05
COMBI,-7.52,-6.52,0.632043576258452,7.51314800901595e-003,2,0.364448002856192,9.88205581843099e-003,2,0.60961439469961,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.64,-0.01,0.64,-0.03
SING,-7,-99,0,0,2,1.22455278810868,5.2256178221745e-002,2,1.19116594666034e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,,,,
COMBI,-7,-7.52,0,0,2,1.07041586744868,1.62601444288251e-002,2,2.17604398585096e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.04,-0.04,0.05,-0.03
COMBI,-7,-7.26,0.143104110641567,1.57510564733e-002,2,0.878508936987118,1.39059453515325e-002,2,0.1236802234754,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.18,-0.04,0.17,-0.05
COMBI,-7,-7,0.31243839936921,8.43682239306135e-002,2,0.709645986673871,8.5738454153283e-002,2,0.281453184974869,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.30,0.01,0.32,-0.04
COMBI,-7,-6.7,0.458391538615047,2.2350828178008e-002,2,0.573242792251643,2.429292495129e-002,2,0.470242042981781,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.48,-0.02,0.49,-0.02
COMBI,-7,-6.52,0.630540946656649,2.81743050338089e-002,2,0.36583000816118,3.700852234602e-002,2,0.625607657679676,0,2,OVCAR5,Bleomycin sulfate,Selinexor,0.64,-0.01,0.64,-0.01
SING,-6.52,-99,9.00962861072903e-002,7.81751490142137e-002,2,0.906880312212493,8.12345446763465e-002,2,3.43197967982096e-002,0,2,OVCAR5,Bleomycin sulfate,Selinexor,,,,
