Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.15702301953044e-002,0,180,OVCAR5,CISPLATIN,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,4.09091117123006e-002,0,20,OVCAR5,CISPLATIN,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.163076673382343,0,20,OVCAR5,CISPLATIN,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.315472296190565,0,20,OVCAR5,CISPLATIN,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.4820035608413,0,20,OVCAR5,CISPLATIN,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.635041845195564,0,20,OVCAR5,CISPLATIN,Selinexor,,,,
SING,-9.52,-99,1.14626318202659e-002,0,1,0.988573193831157,0,1,8.96462872237774e-003,0,1,OVCAR5,CISPLATIN,Selinexor,,,,
COMBI,-9.52,-7.52,3.43871325568497e-002,0,1,0.969954293630922,0,1,2.27947225979476e-002,0,1,OVCAR5,CISPLATIN,Selinexor,0.05,-0.02,0.05,-0.03
COMBI,-9.52,-7.26,0.204571648098348,0,1,0.823298609369249,0,1,0.137522656676156,0,1,OVCAR5,CISPLATIN,Selinexor,0.19,0.01,0.17,-0.03
COMBI,-9.52,-7,0.299822590183323,0,1,0.724953332315971,0,1,0.290039450350269,0,1,OVCAR5,CISPLATIN,Selinexor,0.31,-0.01,0.32,-0.03
COMBI,-9.52,-6.7,0.461185392137298,0,1,0.570431178478481,0,1,0.467412795145486,0,1,OVCAR5,CISPLATIN,Selinexor,0.49,-0.03,0.49,-0.02
COMBI,-9.52,-6.52,0.642937640871525,0,1,0.350068166489421,0,1,0.631490001322302,0,1,OVCAR5,CISPLATIN,Selinexor,0.65,-0.01,0.64,-0.01
SING,-9,-99,3.48464007336085e-002,1.0087116001834e-002,2,0.965047397162901,1.01940575261325e-002,2,2.6508916714692e-002,0,2,OVCAR5,CISPLATIN,Selinexor,,,,
COMBI,-9,-7.52,3.01349602514328e-002,2.0336476243298e-003,2,0.973699054504289,1.7893645107715e-003,2,3.99341004708446e-002,0,2,OVCAR5,CISPLATIN,Selinexor,0.07,-0.04,0.07,-0.03
COMBI,-9,-7.26,0.14022281982328,2.82366500192085e-002,2,0.880909619746683,2.48892139053845e-002,2,0.149075214820298,0,2,OVCAR5,CISPLATIN,Selinexor,0.21,-0.07,0.19,-0.04
COMBI,-9,-7,0.266903213088902,4.92805046323698e-003,2,0.75767707454267,4.8455654605685e-003,2,0.301813444327223,0,2,OVCAR5,CISPLATIN,Selinexor,0.33,-0.06,0.33,-0.03
COMBI,-9,-6.7,0.45380163639992,5.38814607862699e-003,2,0.578436072849521,5.83296378412049e-003,2,0.480617728973546,0,2,OVCAR5,CISPLATIN,Selinexor,0.50,-0.05,0.50,-0.02
COMBI,-9,-6.52,0.604432757325319,8.82794891059355e-003,2,0.400154756607098,1.12357812703785e-002,2,0.634851216325522,0,2,OVCAR5,CISPLATIN,Selinexor,0.66,-0.06,0.64,-0.01
SING,-8.52,-99,3.32416322787712e-002,3.32416322787712e-002,2,0.994330972246392,6.14756125639185e-002,2,4.86445488332233e-002,0,2,OVCAR5,CISPLATIN,Selinexor,,,,
COMBI,-8.52,-7.52,7.37659456461453e-002,1.49750415973378e-002,2,0.934783740637171,1.35020330119271e-002,2,6.71920649109751e-002,0,2,OVCAR5,CISPLATIN,Selinexor,0.07,0.00,0.09,-0.02
COMBI,-8.52,-7.26,0.201306185170956,3.24625432193625e-002,2,0.825987241229342,2.9688833392109e-002,2,0.178470638117451,0,2,OVCAR5,CISPLATIN,Selinexor,0.21,-0.01,0.20,-0.02
COMBI,-8.52,-7,0.34200670214863,2.6808594520008e-002,2,0.68161892493733,2.77895179559855e-002,2,0.336661080248833,0,2,OVCAR5,CISPLATIN,Selinexor,0.33,0.01,0.35,-0.01
COMBI,-8.52,-6.7,0.539413290760328,1.79604869287565e-002,2,0.482038611360636,2.0991631191655e-002,2,0.514005405064877,0,2,OVCAR5,CISPLATIN,Selinexor,0.50,0.04,0.51,0.00
COMBI,-8.52,-6.52,0.68106686701728,9.39143501127004e-004,2,0.297959175025151,1.31636723446099e-003,2,0.648567317813539,0,2,OVCAR5,CISPLATIN,Selinexor,0.66,0.02,0.65,-0.00
SING,-8,-99,0.10430994956442,3.78266850068778e-002,2,0.893287715996818,3.95676436856545e-002,2,5.5430885306989e-002,0,2,OVCAR5,CISPLATIN,Selinexor,,,,
COMBI,-8,-7.52,0,0,2,1.0507127166934,3.3834901346815e-002,2,7.90189162457614e-002,0,2,OVCAR5,CISPLATIN,Selinexor,0.14,-0.14,0.09,-0.01
COMBI,-8,-7.26,0.242796772954283,2.86208221283135e-002,2,0.787595372776989,2.687674710686e-002,2,0.193302365351435,0,2,OVCAR5,CISPLATIN,Selinexor,0.27,-0.03,0.21,-0.02
COMBI,-8,-7,0.339444115907747,2.0697811945594e-002,2,0.684383933722375,2.1413182521742e-002,2,0.356627919022249,0,2,OVCAR5,CISPLATIN,Selinexor,0.38,-0.04,0.35,0.01
COMBI,-8,-6.7,0.569946118539214,2.19517062462601e-003,2,0.445998489748233,2.64364001366647e-003,2,0.534137962582922,0,2,OVCAR5,CISPLATIN,Selinexor,0.54,0.03,0.51,0.02
COMBI,-8,-6.52,0.666040570999249,2.0661157024795e-003,2,0.318804541931028,2.8378629305255e-003,2,0.655464677118745,0,2,OVCAR5,CISPLATIN,Selinexor,0.68,-0.01,0.66,-0.00
SING,-7.52,-99,5.82301696469509e-002,1.19211370930765e-002,2,0.941271983585212,1.21840845161725e-002,2,4.86453179697435e-002,0,2,OVCAR5,CISPLATIN,Selinexor,,,,
COMBI,-7.52,-7.52,0,0,2,1.05251920616883,1.70543866784101e-002,2,7.1954704888709e-002,0,2,OVCAR5,CISPLATIN,Selinexor,0.09,-0.09,0.09,-0.02
COMBI,-7.52,-7.26,0.26296580868229,3.4575489819439e-002,2,0.76840258476921,3.2907412645575e-002,2,0.181396765753503,0,2,OVCAR5,CISPLATIN,Selinexor,0.23,0.03,0.20,-0.02
COMBI,-7.52,-7,0.32347723240686,9.06761285235551e-003,2,0.700937584876475,9.2721385962875e-003,2,0.343861105399592,0,2,OVCAR5,CISPLATIN,Selinexor,0.34,-0.02,0.35,-0.01
COMBI,-7.52,-6.7,0.489722610257433,2.05547794851325e-002,2,0.53875547342012,2.2951216402232e-002,2,0.525543504991174,0,2,OVCAR5,CISPLATIN,Selinexor,0.51,-0.02,0.51,0.02
COMBI,-7.52,-6.52,0.620773854244929,6.01051840721248e-003,2,0.379186800402584,7.79826455064948e-003,2,0.64824269169288,0,2,OVCAR5,CISPLATIN,Selinexor,0.66,-0.04,0.65,-0.00
SING,-7,-99,3.25538743695553e-002,3.25538743695553e-002,2,0.974176119785776,3.99097142457635e-002,2,4.79890817554914e-002,0,2,OVCAR5,CISPLATIN,Selinexor,,,,
COMBI,-7,-7.52,7.48752079866888e-002,3.12442225919762e-002,2,0.933589008238918,2.8192047816219e-002,2,6.51907803319756e-002,0,2,OVCAR5,CISPLATIN,Selinexor,0.07,0.00,0.09,-0.02
COMBI,-7,-7.26,0.209181713407606,6.91509796388785e-002,2,0.817684760938339,6.3599033584529e-002,2,0.161462272151282,0,2,OVCAR5,CISPLATIN,Selinexor,0.21,-0.00,0.20,-0.04
COMBI,-7,-7,0.309284447072738,2.0106445890006e-002,2,0.715262935537329,2.03549844940134e-002,2,0.318356266186076,0,2,OVCAR5,CISPLATIN,Selinexor,0.33,-0.02,0.35,-0.03
