Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,2.40885248578179e-002,0,96,OVCAR5,Cucurbitacin I,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.42109227929974e-002,0,32,OVCAR5,Cucurbitacin I,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,8.13679155467885e-002,0,32,OVCAR5,Cucurbitacin I,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.15090545916733,0,32,OVCAR5,Cucurbitacin I,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.230971340321137,0,32,OVCAR5,Cucurbitacin I,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.321143236169842,0,32,OVCAR5,Cucurbitacin I,KPT-330,,,,
Sing,-10,-99,1.81223056043429e-002,1.81223056043429e-002,2,0.991116545311717,1.85311883743431e-002,2,1.6493953944017e-002,0,2,OVCAR5,Cucurbitacin I,KPT-330,,,,
COMBI,-10,-8,4.1152099434308e-002,4.1152099434308e-002,2,0.969235615581373,3.24975684828075e-002,2,4.1492973545196e-002,0,2,OVCAR5,Cucurbitacin I,KPT-330,0.05,-0.01,0.04,0.00
COMBI,-10,-7.7,0.13263141353029,3.1664964249234e-002,2,0.900099633728741,2.47648600541305e-002,2,0.125052468910125,0,2,OVCAR5,Cucurbitacin I,KPT-330,0.11,0.02,0.10,0.03
COMBI,-10,-7.52,0.246351040972068,3.2155293768986e-002,2,0.807224204979593,2.7302182507413e-002,2,0.204891411439746,0,2,OVCAR5,Cucurbitacin I,KPT-330,0.16,0.09,0.16,0.04
COMBI,-10,-7.26,0.248035741796333,5.02233862270835e-002,2,0.803297475658842,4.30909601657255e-002,2,0.274121121438242,0,2,OVCAR5,Cucurbitacin I,KPT-330,0.25,-0.00,0.24,0.03
COMBI,-10,-7,0.356346899224806,1.0497416020672e-002,2,0.70067080381142,9.99781916602058e-003,2,0.34437379844949,0,2,OVCAR5,Cucurbitacin I,KPT-330,0.34,0.02,0.33,0.01
