Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.30201079148429e-002,0,180,OVCAR5,Dactinomycin,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.7982968324496e-002,0,20,OVCAR5,Dactinomycin,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.159091393382228,0,20,OVCAR5,Dactinomycin,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.314117483505744,0,20,OVCAR5,Dactinomycin,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.482001744195591,0,20,OVCAR5,Dactinomycin,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.634059892814717,0,20,OVCAR5,Dactinomycin,Selinexor,,,,
SING,-10.52,-99,0,0,1,1.08845177555702,0,1,-2.23849374947387e-002,0,1,OVCAR5,Dactinomycin,Selinexor,,,,
COMBI,-10.52,-7.52,0,0,1,1.12572966563968,0,1,-1.07623262421579e-002,0,1,OVCAR5,Dactinomycin,Selinexor,0.04,-0.04,0.02,-0.03
COMBI,-10.52,-7.26,6.97272378025355e-002,0,1,0.942015133120039,0,1,0.11407088458628,0,1,OVCAR5,Dactinomycin,Selinexor,0.18,-0.11,0.14,-0.03
COMBI,-10.52,-7,0.250936329588015,0,1,0.773301707661564,0,1,0.283461657128274,0,1,OVCAR5,Dactinomycin,Selinexor,0.30,-0.05,0.30,-0.02
COMBI,-10.52,-6.7,0.460387148273798,0,1,0.571300388833729,0,1,0.471015307233373,0,1,OVCAR5,Dactinomycin,Selinexor,0.48,-0.02,0.47,0.00
COMBI,-10.52,-6.52,0.613636363636364,0,1,0.388435819189215,0,1,0.636844551421272,0,1,OVCAR5,Dactinomycin,Selinexor,0.64,-0.03,0.63,0.01
SING,-10,-99,0,0,2,1.15023316285642,2.13146681704507e-003,2,-2.31527172688013e-002,0,2,OVCAR5,Dactinomycin,Selinexor,,,,
COMBI,-10,-7.52,0,0,2,1.04963104838466,9.47380363983003e-003,2,-2.61974851697747e-003,0,2,OVCAR5,Dactinomycin,Selinexor,0.04,-0.04,0.02,-0.02
COMBI,-10,-7.26,0.155589704187476,5.5512869765655e-002,2,0.866696951580503,4.9394550495497e-002,2,0.123260148604046,0,2,OVCAR5,Dactinomycin,Selinexor,0.18,-0.02,0.14,-0.02
COMBI,-10,-7,0.286024048886261,1.10388330376505e-002,2,0.738721288411125,1.09955131046415e-002,2,0.293288787444622,0,2,OVCAR5,Dactinomycin,Selinexor,0.30,-0.01,0.30,-0.01
COMBI,-10,-6.7,0.4667730991818,4.0311315106765e-002,2,0.563572706736658,4.41426961323721e-002,2,0.48010641329854,0,2,OVCAR5,Dactinomycin,Selinexor,0.48,-0.01,0.47,0.01
COMBI,-10,-6.52,0.634109691960932,1.1457550713749e-002,2,0.361665940082966,1.5109279511581e-002,2,0.638266698285065,0,2,OVCAR5,Dactinomycin,Selinexor,0.64,-0.01,0.63,0.01
SING,-9.52,-99,6.64832645575425e-003,6.64832645575425e-003,2,1.04262083283123,5.58815741825955e-002,2,1.63798061124171e-002,0,2,OVCAR5,Dactinomycin,Selinexor,,,,
COMBI,-9.52,-7.52,5.49084858569052e-002,2.27398779811425e-002,2,0.951623461326869,2.0286228666648e-002,2,5.51793720596345e-002,0,2,OVCAR5,Dactinomycin,Selinexor,0.04,0.01,0.05,0.01
