Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,2.38220000197233e-002,0,96,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.38407481845751e-002,0,32,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.78221825951317e-002,0,32,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.146601767455703,0,32,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.230291359903172,0,32,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.320983765752583,0,32,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
Sing,-10,-99,4.4627175475012e-002,2.19543349832348e-002,2,0.966055572561416,1.68614637673885e-002,2,5.07696917514589e-002,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
COMBI,-10,-8,0.16548482192654,1.57756354075375e-002,2,0.869436977786429,1.3095710128453e-002,2,6.59188642486131e-002,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.07,0.10,0.07,-0.00
COMBI,-10,-7.7,4.29009193054136e-002,2.34933605720122e-002,2,0.968495114842252,1.74007745951185e-002,2,0.126507582308469,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.13,-0.09,0.12,0.01
COMBI,-10,-7.52,0.174779580647551,1.1261761873009e-002,2,0.866716487103377,9.0812340066565e-003,2,0.187390718862646,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.18,-0.01,0.19,-0.00
COMBI,-10,-7.26,0.225080881220151,4.4677245416731e-002,2,0.823010371764656,3.7693883810413e-002,2,0.251655727003749,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.27,-0.04,0.27,-0.02
COMBI,-10,-7,0.299337855297158,1.08204134366925e-002,2,0.753734995944235,9.84687842373946e-003,2,0.322872182294838,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.36,-0.06,0.36,-0.04
Sing,-9.52,-99,9.23678748203737e-002,3.31310873383363e-002,2,0.928711740473433,2.61838729313505e-002,2,8.31545463977651e-002,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
COMBI,-9.52,-8,8.83594932674685e-002,3.90407138873394e-002,2,0.931593129344056,3.08644016709194e-002,2,0.103537147093981,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.12,-0.03,0.11,-0.01
COMBI,-9.52,-7.7,0.196825646263848,2.26290563369215e-002,2,0.848950702462227,1.8457319770128e-002,2,0.163479415802606,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.18,0.02,0.15,0.01
COMBI,-9.52,-7.52,0.204489886641475,2.59316885233751e-003,2,0.842543110266194,2.1349783336915e-003,2,0.215770353116764,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.22,-0.02,0.22,-0.00
COMBI,-9.52,-7.26,0.317670620859652,2.8963179787398e-002,2,0.742477416104724,2.62058260784439e-002,2,0.264857195703027,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.31,0.01,0.29,-0.03
COMBI,-9.52,-7,0.316537467700258,2.10755813953485e-002,2,0.737858541499135,1.94392983102175e-002,2,0.323017122210954,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.39,-0.07,0.38,-0.06
Sing,-9,-99,9.02123582947472e-002,8.30273032093248e-002,2,0.929015833673644,6.55941720696165e-002,2,0.109137131140196,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
COMBI,-9,-8,0.111146522189467,7.96749263007001e-004,2,0.913823793464156,6.38650243742461e-004,2,0.119392732989212,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.12,-0.01,0.13,-0.01
COMBI,-9,-7.7,0.194861318456824,3.0879233126424e-002,2,0.850430309693295,2.51552631044995e-002,2,0.168222214717287,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.17,0.02,0.18,-0.01
COMBI,-9,-7.52,0.25953915684967,3.20071126917095e-002,2,0.795968030375353,2.74483325738335e-002,2,0.213796613017834,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.22,0.04,0.24,-0.03
COMBI,-9,-7.26,0.290556154675705,2.55738715144045e-002,2,0.766822960810986,2.2648006496123e-002,2,0.261339721166546,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.31,-0.02,0.31,-0.05
COMBI,-9,-7,0.382025193798449,2.19638242894055e-002,2,0.675791384183953,2.13799193990235e-002,2,0.323439784896478,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.39,-0.01,0.40,-0.08
Sing,-8.52,-99,0.17363883123104,2.91393900686575e-002,2,0.862853881759279,2.42547619083715e-002,2,0.178957498050893,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
COMBI,-8.52,-8,0.169468568241574,4.95578041590315e-002,2,0.865513500944997,4.1265970018532e-002,2,0.176230009429032,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.20,-0.03,0.20,-0.02
COMBI,-8.52,-7.7,0.195804195804196,5.6179775280899e-002,2,0.84905192523161,4.581573956008e-002,2,0.208023529130317,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.25,-0.05,0.24,-0.03
COMBI,-8.52,-7.52,0.245387863969771,2.2597614284656e-002,2,0.808208204577493,1.9170728260911e-002,2,0.246574660663596,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.29,-0.04,0.30,-0.05
COMBI,-8.52,-7.26,0.271298721306424,3.08118933908501e-003,2,0.783970005011715,2.688270651934e-003,2,0.298330165154337,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.37,-0.10,0.37,-0.07
COMBI,-8.52,-7,0.360061369509044,2.5516795865633e-002,2,0.69691183785957,2.43816892016295e-002,2,0.367251619158515,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.44,-0.08,0.44,-0.07
Sing,-8,-99,0.214114641545585,2.23535047102e-003,2,0.828937113376344,1.91240658150801e-003,2,0.348374362609666,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
COMBI,-8,-8,0.289219982471516,1.8245558122859e-002,2,0.762132728131133,1.6542294550909e-002,2,0.348482223399377,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.24,0.05,0.36,-0.01
COMBI,-8,-7.7,0.254498310678086,4.5100966449281e-002,2,0.800475338154621,3.8320072236907e-002,2,0.366645773360323,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.29,-0.04,0.40,-0.03
COMBI,-8,-7.52,0.296954878861969,2.11158035118915e-002,2,0.763598752474637,1.8641265241004e-002,2,0.394922723266259,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.32,-0.02,0.44,-0.05
COMBI,-8,-7.26,0.383145894315206,2.80388229856725e-002,2,0.681590582387048,2.68043755480055e-002,2,0.44118769978529,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.40,-0.02,0.50,-0.06
COMBI,-8,-7,0.477390180878553,3.3672480620155e-002,2,0.578463231725377,3.5813910424282e-002,2,0.496162889284796,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.47,0.01,0.56,-0.06
Sing,-7.52,-99,0.616797062110809,1.42104422800575e-002,2,0.418059283592041,1.77724224198195e-002,2,0.590629439012938,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
COMBI,-7.52,-8,0.638833559078958,1.7130109154649e-002,2,0.387934249599478,2.21741543163905e-002,2,0.611460885123272,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.63,0.01,0.60,0.01
COMBI,-7.52,-7.7,0.687671878683114,3.04077944527385e-002,2,0.349568025281625,4.026196835403e-002,2,0.623174104831901,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.65,0.04,0.62,0.00
COMBI,-7.52,-7.52,0.676372527228273,2.6820774987034e-002,2,0.357127223474934,3.59461022661905e-002,2,0.638068437614846,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.67,0.01,0.65,-0.01
COMBI,-7.52,-7.26,0.693190571560622,4.39069480819598e-003,2,0.331240066166523,6.02498439825899e-003,2,0.664897444707781,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.71,-0.02,0.68,-0.02
COMBI,-7.52,-7,0.748465762273901,7.91343669250646e-003,2,0.23830830340621,1.2059207328636e-002,2,0.681891572124594,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.74,0.01,0.72,-0.04
Sing,-7,-99,0.859093086380329,5.02953855979604e-003,2,4.52986979010618e-002,9.9160849221648e-003,2,0.794840622438077,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
COMBI,-7,-8,0.853955860090829,1.35447374711151e-003,2,5.1330496322568e-002,2.65356170052655e-003,2,0.836245731838186,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.86,-0.01,0.80,0.04
COMBI,-7,-7.7,0.855818338964407,1.20216861789895e-002,2,9.07188838621411e-002,2.2092878268515e-002,2,0.844011128128437,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.87,-0.01,0.81,0.03
COMBI,-7,-7.52,0.849966659257613,2.11158035118915e-002,2,8.16107019582041e-002,4.06273082376009e-002,2,0.846087616790917,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.88,-0.03,0.82,0.03
COMBI,-7,-7.26,0.869819750423664,4.77584347558149e-003,2,4.2303638903607e-002,9.5687251538065e-003,2,0.851198889144149,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.89,-0.02,0.84,0.01
COMBI,-7,-7,0.842538759689923,8.07493540054827e-005,2,8.04386318062283e-002,1.50606276239199e-004,2,0.829118847435321,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,0.91,-0.07,0.86,-0.03
Sing,-6.52,-99,0.879770078237266,2.7143541433815e-003,2,3.33069255780782e-003,5.6890565262977e-003,2,0.863622659372332,0,2,OVCAR5,Daunorubicin hydrochloride,KPT-330,,,,
