Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.24737091676928e-002,0,180,OVCAR5,Doxorubicin hydrochloride,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.80475764179818e-002,0,20,OVCAR5,Doxorubicin hydrochloride,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.160896615739018,0,20,OVCAR5,Doxorubicin hydrochloride,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.314778836419502,0,20,OVCAR5,Doxorubicin hydrochloride,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.481321096035282,0,20,OVCAR5,Doxorubicin hydrochloride,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.634799689539324,0,20,OVCAR5,Doxorubicin hydrochloride,Selinexor,,,,
SING,-10.52,-99,0,0,1,1.25202149111035,0,1,5.47345416909678e-003,0,1,OVCAR5,Doxorubicin hydrochloride,Selinexor,,,,
COMBI,-10.52,-7.52,3.73451654649658e-002,0,1,0.967343388884677,0,1,1.48136621413454e-002,0,1,OVCAR5,Doxorubicin hydrochloride,Selinexor,0.04,-0.00,0.04,-0.03
COMBI,-10.52,-7.26,2.97733384556281e-002,0,1,0.975499623061967,0,1,0.131840576927806,0,1,OVCAR5,Doxorubicin hydrochloride,Selinexor,0.18,-0.15,0.17,-0.04
COMBI,-10.52,-7,0.132663118470333,0,1,0.884214068884702,0,1,0.289407961132315,0,1,OVCAR5,Doxorubicin hydrochloride,Selinexor,0.30,-0.17,0.32,-0.03
COMBI,-10.52,-6.7,0.436838954300539,0,1,0.596683845523553,0,1,0.468380986744956,0,1,OVCAR5,Doxorubicin hydrochloride,Selinexor,0.48,-0.04,0.48,-0.01
COMBI,-10.52,-6.52,0.677498121712998,0,1,0.302950001811676,0,1,0.631608999822693,0,1,OVCAR5,Doxorubicin hydrochloride,Selinexor,0.64,0.04,0.64,-0.01
SING,-10,-99,0,0,2,1.09401859063793,5.9197687938255e-002,2,1.78581423145157e-002,0,2,OVCAR5,Doxorubicin hydrochloride,Selinexor,,,,
COMBI,-10,-7.52,3.90090589757811e-002,1.20170086892217e-002,2,0.965837661184521,1.06253955853549e-002,2,2.84010766980146e-002,0,2,OVCAR5,Doxorubicin hydrochloride,Selinexor,0.04,-0.00,0.06,-0.03
