Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,1.71420081385323e-002,0,96,OVCAR5,Etoposide,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.26846596227005e-002,0,32,OVCAR5,Etoposide,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.98404839198027e-002,0,32,OVCAR5,Etoposide,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.152009595476044,0,32,OVCAR5,Etoposide,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.236722117330177,0,32,OVCAR5,Etoposide,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.32442033058687,0,32,OVCAR5,Etoposide,KPT-330,,,,
Sing,-9.52,-99,4.67028580552451e-002,6.1472137953058e-003,2,0.964559962983022,4.72661398733606e-003,2,3.56582927188654e-002,0,2,OVCAR5,Etoposide,KPT-330,,,,
COMBI,-9.52,-8,0.163413273842722,5.7365946936499e-002,2,0.870321116394284,4.7583704181944e-002,2,6.80246516854986e-002,0,2,OVCAR5,Etoposide,KPT-330,0.08,0.08,0.06,0.01
COMBI,-9.52,-7.7,0.210968806474424,3.4886461852754e-002,2,0.837156154698065,2.87361272790281e-002,2,0.142695357355558,0,2,OVCAR5,Etoposide,KPT-330,0.13,0.08,0.11,0.03
COMBI,-9.52,-7.52,0.251315107060828,3.8749351707787e-002,2,0.802849130088042,3.3027810930009e-002,2,0.214276354442821,0,2,OVCAR5,Etoposide,KPT-330,0.18,0.07,0.18,0.03
COMBI,-9.52,-7.26,0.325065475273456,8.47327068248351e-003,2,0.736046514306912,7.71080071269747e-003,2,0.287048711880006,0,2,OVCAR5,Etoposide,KPT-330,0.27,0.06,0.26,0.03
COMBI,-9.52,-7,0.320171188630491,4.6511627906977e-002,2,0.733872340401037,4.3044203641358e-002,2,0.362701781703108,0,2,OVCAR5,Etoposide,KPT-330,0.36,-0.04,0.35,0.01
Sing,-9,-99,8.30273032093245e-003,8.30273032093245e-003,2,1.00378075165037,1.62707304174785e-002,2,6.42463664281302e-002,0,2,OVCAR5,Etoposide,KPT-330,,,,
COMBI,-9,-8,0.11154489682097,3.59333917616126e-002,2,0.91318087031361,2.88167678916259e-002,2,0.110766188248654,0,2,OVCAR5,Etoposide,KPT-330,0.04,0.07,0.09,0.02
