Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.30750552880449e-002,0,180,OVCAR5,Etoposide,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.63895123501732e-002,0,20,OVCAR5,Etoposide,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.161901583004035,0,20,OVCAR5,Etoposide,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.317214541393799,0,20,OVCAR5,Etoposide,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.481809477266229,0,20,OVCAR5,Etoposide,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.635222745013898,0,20,OVCAR5,Etoposide,Selinexor,,,,
SING,-9.52,-99,0,0,1,1.05758344650772,0,1,1.74941128238917e-003,0,1,OVCAR5,Etoposide,Selinexor,,,,
COMBI,-9.52,-7.52,0,0,1,1.05725064009885,0,1,1.79817187063221e-002,0,1,OVCAR5,Etoposide,Selinexor,0.04,-0.04,0.04,-0.02
COMBI,-9.52,-7.26,0.156934306569343,0,1,0.866313618539039,0,1,0.146067893118533,0,1,OVCAR5,Etoposide,Selinexor,0.18,-0.02,0.16,-0.01
COMBI,-9.52,-7,0.353834023260398,0,1,0.669581493017708,0,1,0.304477309311156,0,1,OVCAR5,Etoposide,Selinexor,0.30,0.05,0.32,-0.02
