Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.63674400766742e-002,0,180,OVCAR5,LBH-589,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.82320413847123e-002,0,20,OVCAR5,LBH-589,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.161161009070642,0,20,OVCAR5,LBH-589,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.313508442103698,0,20,OVCAR5,LBH-589,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.48116688433138,0,20,OVCAR5,LBH-589,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.640217605010631,0,20,OVCAR5,LBH-589,Selinexor,,,,
SING,-9.7,-99,0,0,1,1.09501159919573,0,1,-2.63663821774886e-002,0,1,OVCAR5,LBH-589,Selinexor,,,,
COMBI,-9.7,-7.52,0,0,1,1.07753548041194,0,1,-8.8185236461391e-004,0,1,OVCAR5,LBH-589,Selinexor,0.04,-0.04,0.01,-0.01
COMBI,-9.7,-7.26,0.201882443334614,0,1,0.825760517488824,0,1,0.130407692857024,0,1,OVCAR5,LBH-589,Selinexor,0.18,0.02,0.14,-0.01
COMBI,-9.7,-7,0.220973782771536,0,1,0.802172086114754,0,1,0.277993945448053,0,1,OVCAR5,LBH-589,Selinexor,0.30,-0.08,0.30,-0.02
COMBI,-9.7,-6.7,0.463580123727799,0,1,0.567820030215546,0,1,0.449803991675517,0,1,OVCAR5,LBH-589,Selinexor,0.48,-0.02,0.47,-0.02
