Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.21740661020336e-002,0,180,OVCAR5,Olaparib_PI,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.6906940553209e-002,0,20,OVCAR5,Olaparib_PI,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.160711953295492,0,20,OVCAR5,Olaparib_PI,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.315257805048325,0,20,OVCAR5,Olaparib_PI,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.480793581475516,0,20,OVCAR5,Olaparib_PI,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.635169651956886,0,20,OVCAR5,Olaparib_PI,Selinexor,,,,
SING,-9.52,-99,4.72260430994956e-002,0,1,0.952524039397972,0,1,1.12123141189313e-002,0,1,OVCAR5,Olaparib_PI,Selinexor,,,,
COMBI,-9.52,-7.52,0.133111480865225,0,1,0.880397698619501,0,1,1.77929618508912e-002,0,1,OVCAR5,Olaparib_PI,Selinexor,0.08,0.05,0.05,-0.03
COMBI,-9.52,-7.26,7.85631963119477e-002,0,1,0.934512331670849,0,1,0.138035768120717,0,1,OVCAR5,Olaparib_PI,Selinexor,0.22,-0.14,0.17,-0.03
COMBI,-9.52,-7,0.300216834220382,0,1,0.724556834479736,0,1,0.297169197836794,0,1,OVCAR5,Olaparib_PI,Selinexor,0.34,-0.04,0.32,-0.02
COMBI,-9.52,-6.7,0.459588904410297,0,1,0.572169014843706,0,1,0.472450868613733,0,1,OVCAR5,Olaparib_PI,Selinexor,0.51,-0.05,0.49,-0.02
COMBI,-9.52,-6.52,0.657963936889557,0,1,0.329843043987044,0,1,0.635831698387361,0,1,OVCAR5,Olaparib_PI,Selinexor,0.66,-0.00,0.64,-0.00
SING,-9,-99,0,0,2,1.06659887589975,6.52317193723049e-002,2,1.86926591691549e-002,0,2,OVCAR5,Olaparib_PI,Selinexor,,,,
COMBI,-9,-7.52,3.031983730819e-002,3.031983730819e-002,2,0.993082252101166,4.64501010147145e-002,2,2.83031538697323e-002,0,2,OVCAR5,Olaparib_PI,Selinexor,0.04,-0.01,0.05,-0.02
COMBI,-9,-7.26,0.164425662696888,8.58624663849407e-002,2,0.857654046966372,7.68582847044765e-002,2,0.150648803291875,0,2,OVCAR5,Olaparib_PI,Selinexor,0.18,-0.02,0.18,-0.03
COMBI,-9,-7,0.270845653459492,6.24876798738415e-002,2,0.75250893628788,6.16552766523665e-002,2,0.311244281559721,0,2,OVCAR5,Olaparib_PI,Selinexor,0.30,-0.03,0.33,-0.02
COMBI,-9,-6.7,0.481939732588306,3.192975454001e-003,2,0.547617967381142,3.54045800956804e-003,2,0.481271649717352,0,2,OVCAR5,Olaparib_PI,Selinexor,0.48,0.00,0.49,-0.01
COMBI,-9,-6.52,0.629977460555973,3.19308790383199e-003,2,0.367199407910974,4.18912794096049e-003,2,0.632872965240838,0,2,OVCAR5,Olaparib_PI,Selinexor,0.64,-0.01,0.64,-0.01
SING,-8.52,-99,0,0,2,1.05208866116933,4.11755129412401e-002,2,2.20799012755489e-002,0,2,OVCAR5,Olaparib_PI,Selinexor,,,,
COMBI,-8.52,-7.52,1.4420410427066e-002,1.4420410427066e-002,2,0.992365682833063,1.7527350154187e-002,2,4.55326588680184e-002,0,2,OVCAR5,Olaparib_PI,Selinexor,0.04,-0.03,0.06,-0.01
COMBI,-8.52,-7.26,0.151363810987322,5.78179024202845e-002,2,0.870387658804417,5.13191137249295e-002,2,0.179605058372983,0,2,OVCAR5,Olaparib_PI,Selinexor,0.18,-0.03,0.18,-0.00
COMBI,-8.52,-7,0.318154937906564,1.1630199093239e-002,2,0.70635052246913,1.18474793499835e-002,2,0.344170704529486,0,2,OVCAR5,Olaparib_PI,Selinexor,0.30,0.02,0.33,0.01
COMBI,-8.52,-6.7,0.47974456196368,3.2927559369387e-002,2,0.54953322910044,3.64552241165455e-002,2,0.50289535625733,0,2,OVCAR5,Olaparib_PI,Selinexor,0.48,-0.00,0.49,0.01
COMBI,-8.52,-6.52,0.643313298271976,1.87828700225401e-003,2,0.349564274699104,2.50525688313352e-003,2,0.633297191802158,0,2,OVCAR5,Olaparib_PI,Selinexor,0.64,0.00,0.64,-0.01
SING,-8,-99,2.15497478221e-002,2.15497478221e-002,2,1.0380251630488,8.1310231935612e-002,2,1.6244557734915e-002,0,2,OVCAR5,Olaparib_PI,Selinexor,,,,
