Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.49177985242793e-002,0,180,OVCAR5,PF-3758309,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.9638679660157e-002,0,20,OVCAR5,PF-3758309,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.159699134723869,0,20,OVCAR5,PF-3758309,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.312486385908232,0,20,OVCAR5,PF-3758309,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.48008701761656,0,20,OVCAR5,PF-3758309,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.633554027667729,0,20,OVCAR5,PF-3758309,Selinexor,,,,
SING,-10.52,-99,0,0,1,1.10764030031222,0,1,-3.28094825125691e-003,0,1,OVCAR5,PF-3758309,Selinexor,,,,
COMBI,-10.52,-7.52,0,0,1,1.06650130356389,0,1,1.71402063320703e-002,0,1,OVCAR5,PF-3758309,Selinexor,0.04,-0.04,0.04,-0.02
COMBI,-10.52,-7.26,3.89934690741452e-002,0,1,0.967835313150417,0,1,0.130048442218118,0,1,OVCAR5,PF-3758309,Selinexor,0.18,-0.14,0.16,-0.03
COMBI,-10.52,-7,0.278139168145082,0,1,0.746595458600746,0,1,0.274815188324472,0,1,OVCAR5,PF-3758309,Selinexor,0.30,-0.02,0.31,-0.04
COMBI,-10.52,-6.7,0.428856515665536,0,1,0.605177839952086,0,1,0.453819964874767,0,1,OVCAR5,PF-3758309,Selinexor,0.48,-0.05,0.48,-0.03
COMBI,-10.52,-6.52,0.628287002253944,0,1,0.369423050176731,0,1,0.633691453491848,0,1,OVCAR5,PF-3758309,Selinexor,0.64,-0.01,0.63,0.00
SING,-10,-99,0,0,2,1.19962218488899,4.257733952699e-002,2,-9.04320541661377e-003,0,2,OVCAR5,PF-3758309,Selinexor,,,,
COMBI,-10,-7.52,4.60343871325569e-002,4.60343871325569e-002,2,0.993145290756446,7.48928573043344e-002,2,2.12122795952346e-002,0,2,OVCAR5,PF-3758309,Selinexor,0.04,0.01,0.03,-0.01
COMBI,-10,-7.26,0.200537840952747,2.7084133691894e-002,2,0.826781203022765,2.47566795682315e-002,2,0.128086732646634,0,2,OVCAR5,PF-3758309,Selinexor,0.18,0.02,0.15,-0.02
COMBI,-10,-7,0.225507589197713,1.43899073526515e-002,2,0.797776063687172,1.37729702665625e-002,2,0.264698329328244,0,2,OVCAR5,PF-3758309,Selinexor,0.30,-0.07,0.31,-0.05
