Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,1.9117979185596e-002,0,96,OVCAR5,Pralatrexate,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,1.99448739822068e-002,0,32,OVCAR5,Pralatrexate,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.70814881652503e-002,0,32,OVCAR5,Pralatrexate,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.146679855935822,0,32,OVCAR5,Pralatrexate,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.230919593282668,0,32,OVCAR5,Pralatrexate,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.322822854946113,0,32,OVCAR5,Pralatrexate,KPT-330,,,,
Sing,-11.52,-99,7.84182305630027e-002,7.372654155496e-003,2,0.94260114663028,5.52348539625247e-003,2,4.34819501549293e-002,0,2,OVCAR5,Pralatrexate,KPT-330,,,,
COMBI,-11.52,-8,3.26691941598774e-002,2.73453254819714e-002,2,0.975116652147314,2.0885838132348e-002,2,4.43078271887029e-002,0,2,OVCAR5,Pralatrexate,KPT-330,0.11,-0.08,0.06,-0.02
COMBI,-11.52,-7.7,0.102933209503908,1.82648401826485e-002,2,0.922203206236666,1.4223590171566e-002,2,0.102033873464356,0,2,OVCAR5,Pralatrexate,KPT-330,0.16,-0.06,0.12,-0.02
COMBI,-11.52,-7.52,7.597282273008e-002,3.4743668931439e-002,2,0.943085735398948,2.6492293325073e-002,2,0.171226253337475,0,2,OVCAR5,Pralatrexate,KPT-330,0.21,-0.13,0.18,-0.01
COMBI,-11.52,-7.26,0.281369117075068,1.3613380007779e-002,2,0.777301267175716,1.1838934543989e-002,2,0.250819840911337,0,2,OVCAR5,Pralatrexate,KPT-330,0.30,-0.02,0.26,-0.01
COMBI,-11.52,-7,0.333999200958849,9.34878146224549e-003,2,0.727944190575414,8.54385111491751e-003,2,0.335306531447173,0,2,OVCAR5,Pralatrexate,KPT-330,0.38,-0.05,0.35,-0.01
Sing,-11,-99,0.107387548406315,6.49389335716411e-002,2,0.919690645409539,4.95775995037161e-002,2,6.15708732418155e-002,0,2,OVCAR5,Pralatrexate,KPT-330,,,,
COMBI,-11,-8,4.68661773009599e-002,4.68661773009599e-002,2,0.965955375217689,3.8150927276081e-002,2,6.64257425851856e-002,0,2,OVCAR5,Pralatrexate,KPT-330,0.14,-0.09,0.08,-0.01
COMBI,-11,-7.7,0.147124835539045,7.39106880272423e-002,2,0.885952149875159,5.92630914178395e-002,2,0.129392542673409,0,2,OVCAR5,Pralatrexate,KPT-330,0.19,-0.04,0.13,-0.00
COMBI,-11,-7.52,0.203597899938234,5.19610870907965e-002,2,0.841241040154522,4.30601179764535e-002,2,0.198883512276087,0,2,OVCAR5,Pralatrexate,KPT-330,0.23,-0.03,0.20,-0.00
COMBI,-11,-7.26,0.259354336833917,1.12018669778295e-002,2,0.796309950413456,9.58284517819905e-003,2,0.267328719954243,0,2,OVCAR5,Pralatrexate,KPT-330,0.32,-0.06,0.28,-0.01
COMBI,-11,-7,0.296124650419496,2.21334398721535e-002,2,0.761913106516425,1.96410473618305e-002,2,0.336126516168153,0,2,OVCAR5,Pralatrexate,KPT-330,0.40,-0.10,0.36,-0.02
Sing,-10.52,-99,4.28209711051534e-002,3.82037533512064e-002,2,0.968676604488014,2.80172056192145e-002,2,5.16773968707508e-002,0,2,OVCAR5,Pralatrexate,KPT-330,,,,
COMBI,-10.52,-8,1.96015164959264e-002,1.96015164959264e-002,2,0.986167858262738,1.5886852753932e-002,2,5.74102161591944e-002,0,2,OVCAR5,Pralatrexate,KPT-330,0.07,-0.05,0.07,-0.01
COMBI,-10.52,-7.7,0.16306787400356,3.1963470319635e-002,2,0.874273262987045,2.5878293025532e-002,2,0.124790337883889,0,2,OVCAR5,Pralatrexate,KPT-330,0.13,0.03,0.12,0.00
COMBI,-10.52,-7.52,0.159589252625077,5.7056825200741e-002,2,0.877057616020458,4.58940345408755e-002,2,0.194774510238015,0,2,OVCAR5,Pralatrexate,KPT-330,0.18,-0.02,0.19,0.00
COMBI,-10.52,-7.26,0.256709451575262,1.78918708673665e-002,2,0.798509506128407,1.52769066455405e-002,2,0.25335349755452,0,2,OVCAR5,Pralatrexate,KPT-330,0.27,-0.01,0.27,-0.02
COMBI,-10.52,-7,0.345825009988014,5.0339592489015e-003,2,0.717107772610962,4.644493022152e-003,2,0.310889658982781,0,2,OVCAR5,Pralatrexate,KPT-330,0.36,-0.01,0.36,-0.05
Sing,-10,-99,3.62675007447125e-002,3.62675007447125e-002,2,0.974836626778954,2.78233051642766e-002,2,5.33878524449797e-002,0,2,OVCAR5,Pralatrexate,KPT-330,,,,
COMBI,-10,-8,6.22731305961119e-002,2.79099782205373e-002,2,0.952298701235212,2.16872492603695e-002,2,5.3517642566508e-002,0,2,OVCAR5,Pralatrexate,KPT-330,0.07,-0.01,0.07,-0.02
COMBI,-10,-7.7,0.13466449965173,1.54786781209004e-004,2,0.897326170205492,1.22983557528572e-004,2,0.115347598731245,0,2,OVCAR5,Pralatrexate,KPT-330,0.13,0.00,0.13,-0.01
COMBI,-10,-7.52,0.204756022235948,7.566399011736e-003,2,0.8410437064906,6.27178335078052e-003,2,0.180272849176954,0,2,OVCAR5,Pralatrexate,KPT-330,0.17,0.03,0.19,-0.01
COMBI,-10,-7.26,0.263166083236094,6.32438739789965e-002,2,0.791812449459165,5.43064551592865e-002,2,0.231988941969674,0,2,OVCAR5,Pralatrexate,KPT-330,0.27,-0.01,0.27,-0.04
COMBI,-10,-7,0.270395525369556,1.74990011985615e-002,2,0.784589583213193,1.5231354735313e-002,2,0.285470640837678,0,2,OVCAR5,Pralatrexate,KPT-330,0.35,-0.08,0.36,-0.07
Sing,-9.52,-99,0.110813226094727,4.06613047363717e-002,2,0.917694399736971,3.1096532377292e-002,2,0.138915730598049,0,2,OVCAR5,Pralatrexate,KPT-330,,,,
COMBI,-9.52,-8,9.92982173106396e-002,2.99265951439864e-002,2,0.923172558952592,2.37778464303825e-002,2,0.134633680769742,0,2,OVCAR5,Pralatrexate,KPT-330,0.14,-0.04,0.16,-0.03
COMBI,-9.52,-7.7,0.133580992183268,8.048912622862e-003,2,0.898170184870479,6.39075419799504e-003,2,0.179765485361088,0,2,OVCAR5,Pralatrexate,KPT-330,0.19,-0.06,0.21,-0.03
COMBI,-9.52,-7.52,0.153026559604694,7.47374922791847e-002,2,0.881716089279777,5.98819861587939e-002,2,0.230375589729411,0,2,OVCAR5,Pralatrexate,KPT-330,0.24,-0.09,0.27,-0.04
COMBI,-9.52,-7.26,0.247530143912875,2.98716452742125e-002,2,0.806145915029036,2.53388049485655e-002,2,0.273244527003778,0,2,OVCAR5,Pralatrexate,KPT-330,0.32,-0.07,0.34,-0.07
COMBI,-9.52,-7,0.32073511785857,4.6104674390731e-002,2,0.739278350248251,4.17178365498225e-002,2,0.318905951978539,0,2,OVCAR5,Pralatrexate,KPT-330,0.40,-0.08,0.42,-0.10
Sing,-9,-99,0.301534107834376,1.9139112302651e-002,2,0.762210596491965,1.67558956892435e-002,2,0.331466544765484,0,2,OVCAR5,Pralatrexate,KPT-330,,,,
COMBI,-9,-8,0.263450834879407,8.87311446317651e-003,2,0.785749123708189,7.86867746882847e-003,2,0.333670078710854,0,2,OVCAR5,Pralatrexate,KPT-330,0.32,-0.06,0.34,-0.01
COMBI,-9,-7.7,0.346103242783066,6.34625802956447e-003,2,0.71623325351146,5.88510677715201e-003,2,0.358863405866401,0,2,OVCAR5,Pralatrexate,KPT-330,0.37,-0.02,0.38,-0.02
COMBI,-9,-7.52,0.307056825200741,7.9756022235948e-002,2,0.750784335819181,7.14399723001175e-002,2,0.38919918300827,0,2,OVCAR5,Pralatrexate,KPT-330,0.40,-0.09,0.43,-0.04
COMBI,-9,-7.26,0.298794243485025,4.58965383119402e-003,2,0.762100874681172,4.04479534800703e-003,2,0.417477178272635,0,2,OVCAR5,Pralatrexate,KPT-330,0.47,-0.17,0.49,-0.07
COMBI,-9,-7,0.408389932081502,1.3743507790651e-002,2,0.65777552340651,1.3372194139604e-002,2,0.441285717533119,0,2,OVCAR5,Pralatrexate,KPT-330,0.53,-0.12,0.55,-0.11
Sing,-8.52,-99,0.717753946976467,3.72356270479601e-003,2,0.310092481760323,5.23647707493202e-003,2,0.561028816173415,0,2,OVCAR5,Pralatrexate,KPT-330,,,,
COMBI,-8.52,-8,0.770428329434541,9.3167701863354e-002,2,0.189058282567768,0.150638409274446,2,0.578449789537987,0,2,OVCAR5,Pralatrexate,KPT-330,0.73,0.04,0.57,0.01
COMBI,-8.52,-7.7,0.695224827799706,1.16090085906703e-003,2,0.327514614037526,1.59913020854947e-003,2,0.588034052998652,0,2,OVCAR5,Pralatrexate,KPT-330,0.74,-0.04,0.59,-0.00
COMBI,-8.52,-7.52,0.700046324891908,3.86040765904455e-004,2,0.324226153270671,5.32771411257515e-004,2,0.599595342652359,0,2,OVCAR5,Pralatrexate,KPT-330,0.76,-0.06,0.63,-0.03
