Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,2.79531572719696e-002,0,96,OVCAR5,SB743921,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.79292382289326e-002,0,32,OVCAR5,SB743921,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.87787372434692e-002,0,32,OVCAR5,SB743921,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.146628207682709,0,32,OVCAR5,SB743921,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.230013462352535,0,32,OVCAR5,SB743921,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.320398982207245,0,32,OVCAR5,SB743921,KPT-330,,,,
Sing,-11.52,-99,3.28117515567619e-002,4.07153121507265e-003,2,0.97520264395243,3.10547564170102e-003,2,1.20123015290496e-002,0,2,OVCAR5,SB743921,KPT-330,,,,
COMBI,-11.52,-8,0.126603457891801,1.30666879133135e-002,2,0.901329904289945,1.05766649976665e-002,2,2.82274652944783e-002,0,2,OVCAR5,SB743921,KPT-330,0.06,0.07,0.04,-0.01
COMBI,-11.52,-7.7,0.140803017207511,3.05649406773005e-002,2,0.893706979352618,2.40288909925765e-002,2,8.23529913791987e-002,0,2,OVCAR5,SB743921,KPT-330,0.12,0.02,0.09,-0.01
COMBI,-11.52,-7.52,0.170185967251982,6.22360524561e-003,2,0.87043928018164,5.00267822187697e-003,2,0.13946372924819,0,2,OVCAR5,SB743921,KPT-330,0.17,0.00,0.16,-0.02
COMBI,-11.52,-7.26,0.241257125250347,3.697427206902e-003,2,0.80988742661162,3.15474233101853e-003,2,0.217207959359329,0,2,OVCAR5,SB743921,KPT-330,0.26,-0.02,0.24,-0.02
COMBI,-11.52,-7,0.328003875968992,3.86789405684755e-002,2,0.726840506874774,3.60123701150945e-002,2,0.318118333753223,0,2,OVCAR5,SB743921,KPT-330,0.35,-0.02,0.33,-0.01
Sing,-11,-99,6.28293150247485e-002,5.59635957209005e-002,2,0.951387834751763,4.34621879917505e-002,2,3.46888852909594e-002,0,2,OVCAR5,SB743921,KPT-330,,,,
COMBI,-11,-8,4.91594295275277e-002,5.8959445462513e-003,2,0.96257268684224,4.5519565680725e-003,2,5.83180059600179e-002,0,2,OVCAR5,SB743921,KPT-330,0.09,-0.04,0.06,-0.00
COMBI,-11,-7.7,0.125481260312721,7.13443859511277e-002,2,0.904678661650883,5.55861677994265e-002,2,0.108678721633586,0,2,OVCAR5,SB743921,KPT-330,0.15,-0.02,0.11,-0.00
COMBI,-11,-7.52,0.196562199007187,3.4674372082685e-002,2,0.848706146649035,2.8395118523416e-002,2,0.157801697354329,0,2,OVCAR5,SB743921,KPT-330,0.19,0.01,0.18,-0.02
COMBI,-11,-7.26,0.262132183022647,5.1070713295332e-002,2,0.791096728130877,4.4280309906972e-002,2,0.238688562037394,0,2,OVCAR5,SB743921,KPT-330,0.29,-0.03,0.26,-0.02
COMBI,-11,-7,0.369347545219638,1.534237726098e-003,2,0.688264467057388,1.47716160994649e-003,2,0.355620548632538,0,2,OVCAR5,SB743921,KPT-330,0.37,-0.00,0.34,0.02
Sing,-10.52,-99,3.72026185534089e-002,1.22944275906115e-002,2,0.97181955997596,9.40131579070949e-003,2,0.14412577293414,0,2,OVCAR5,SB743921,KPT-330,,,,
COMBI,-10.52,-8,0.181021432555174,7.54521552067565e-002,2,0.85492861955715,6.33581186809425e-002,2,0.172870745236407,0,2,OVCAR5,SB743921,KPT-330,0.07,0.11,0.17,0.00
COMBI,-10.52,-7.7,0.194939891569105,1.0371650821089e-002,2,0.850599780147734,8.44809670270205e-003,2,0.216233146855554,0,2,OVCAR5,SB743921,KPT-330,0.13,0.06,0.21,0.01
COMBI,-10.52,-7.52,0.198562643550418,4.66770393420751e-003,2,0.847408445186519,3.82684022477753e-003,2,0.260291027142909,0,2,OVCAR5,SB743921,KPT-330,0.17,0.03,0.27,-0.01
COMBI,-10.52,-7.26,0.303574179633339,9.93683561854851e-003,2,0.755427342630957,8.88868227333697e-003,2,0.344384435337267,0,2,OVCAR5,SB743921,KPT-330,0.27,0.03,0.34,0.00
COMBI,-10.52,-7,0.449289405684755,1.25161498708015e-002,2,0.608452137252645,1.29467741712455e-002,2,0.464555687057224,0,2,OVCAR5,SB743921,KPT-330,0.35,0.10,0.42,0.04
Sing,-10,-99,0.212677630528501,4.8858374580872e-002,2,0.829455660463221,4.1779400904659e-002,2,0.363535045990855,0,2,OVCAR5,SB743921,KPT-330,,,,
COMBI,-10,-8,0.33455501553661,3.85626643295355e-002,2,0.719841426484687,3.62514845211915e-002,2,0.401000516812326,0,2,OVCAR5,SB743921,KPT-330,0.24,0.09,0.38,0.02
