Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.56406664049421e-002,0,180,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.72110797193974e-002,0,20,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.161960559855721,0,20,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.320905453739344,0,20,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.484479120112073,0,20,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.631622695644712,0,20,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
SING,-9.52,-99,0,0,1,1.01317982479942,0,1,-1.39995013486771e-002,0,1,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
COMBI,-9.52,-7.52,0,0,1,1.03703043461411,0,1,1.92903105154119e-003,0,1,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.04,-0.04,0.02,-0.02
COMBI,-9.52,-7.26,0.162312716096811,0,1,0.861518932352955,0,1,0.136557660999368,0,1,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.18,-0.02,0.15,-0.01
COMBI,-9.52,-7,0.365267100335107,0,1,0.657576324891701,0,1,0.306687101308163,0,1,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.30,0.07,0.31,-0.00
COMBI,-9.52,-6.7,0.476352025543804,0,1,0.553803657605392,0,1,0.476376571251715,0,1,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.48,-0.00,0.48,-0.00
COMBI,-9.52,-6.52,0.589969947407964,0,1,0.418467146774167,0,1,0.623758204581651,0,1,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.64,-0.05,0.63,-0.01
SING,-9,-99,0,0,2,1.18153078642225,6.4356636299205e-002,2,-2.56257141081547e-002,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
COMBI,-9,-7.52,0,0,2,1.03605638500943,2.52091288630551e-002,2,-9.42270930214284e-003,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.04,-0.04,0.01,-0.02
COMBI,-9,-7.26,0.11890126776796,3.07337687283901e-003,2,0.899788229385851,2.67559712870202e-003,2,0.123487538770322,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.18,-0.06,0.14,-0.02
COMBI,-9,-7,0.281095998423024,2.562586240883e-003,2,0.74366092152006,2.54390066732155e-003,2,0.298005479741267,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.30,-0.02,0.30,-0.00
COMBI,-9,-6.7,0.439632807822789,2.03552185192575e-002,2,0.593516901224767,2.17821264121805e-002,2,0.472387997822444,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.48,-0.04,0.47,0.00
COMBI,-9,-6.52,0.6309166040571,1.1269722013524e-002,2,0.365872669889254,1.4803349110245e-002,2,0.616453404437092,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.64,-0.01,0.62,-0.00
SING,-8.52,-99,0,0,2,1.10390732555196,1.3266824571085e-002,2,-3.27085377532682e-003,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,,,,
COMBI,-8.52,-7.52,1.4420410427066e-002,1.4420410427066e-002,2,1.00295577556042,2.8117442881547e-002,2,1.1977732770454e-002,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.04,-0.03,0.03,-0.02
COMBI,-8.52,-7.26,9.45063388398001e-002,3.63042643104109e-002,2,0.920567372538925,3.11801507296215e-002,2,0.133582927040671,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.18,-0.09,0.16,-0.03
COMBI,-8.52,-7,0.314606741573034,2.2669032130889e-002,2,0.709824138680041,2.30364128559546e-002,2,0.302414265945677,0,2,OVCAR5,SCH 79797 dihydrochloride,Selinexor,0.30,0.01,0.32,-0.02
