Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,1.83712420591903e-002,0,96,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.07997981059504e-002,0,32,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.8571810233157e-002,0,32,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.145968002459815,0,32,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.23032748440421,0,32,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.327888750350014,0,32,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
Sing,-11,-99,1.63836759011022e-002,1.34048257372654e-002,2,0.988190893795982,9.67708171195003e-003,2,2.13898970575533e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
COMBI,-11,-8,4.33169315156893e-002,4.33169315156893e-002,2,0.969843806004716,3.6431383670174e-002,2,2.31905729889328e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.05,-0.01,0.04,-0.02
COMBI,-11,-7.7,0.114542218094574,3.2505224053865e-003,2,0.913208807547775,2.54969434734398e-003,2,8.28405159738025e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.11,0.00,0.10,-0.02
COMBI,-11,-7.52,9.3035824583076e-002,2.84898085237801e-002,2,0.930095935940356,2.19504752651735e-002,2,0.153544411385005,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.15,-0.06,0.16,-0.01
COMBI,-11,-7.26,0.274912485414236,1.75807078957605e-002,2,0.782862971704509,1.52153965570946e-002,2,0.24229036265573,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.25,0.02,0.25,-0.01
COMBI,-11,-7,0.366520175789053,1.7578905313624e-002,2,0.697739355784668,1.6499122518426e-002,2,0.344239579381801,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.34,0.03,0.34,0.00
Sing,-10.52,-99,8.996127494787e-002,8.996127494787e-002,2,0.937275096258269,7.3225323439551e-002,2,3.61523091935346e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
COMBI,-10.52,-8,2.51673792046463e-002,2.04888279422441e-002,2,0.98090631645938,1.5581352199432e-002,2,3.58559529475835e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.12,-0.09,0.06,-0.02
COMBI,-10.52,-7.7,0.132884451667828,2.96416686015015e-002,2,0.898515068505738,2.3528129550667e-002,2,9.67276707189897e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.17,-0.04,0.11,-0.01
COMBI,-10.52,-7.52,0.188079061148858,4.97220506485485e-002,2,0.854111024844858,4.07633191304075e-002,2,0.169997130736894,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.22,-0.03,0.18,-0.01
COMBI,-10.52,-7.26,0.185297549591598,1.10462854920265e-002,2,0.858018676631481,8.96892652669554e-003,2,0.255565418799239,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.31,-0.12,0.26,-0.00
COMBI,-10.52,-7,0.360926887734718,1.1666000799041e-002,2,0.703044820805905,1.0897983985088e-002,2,0.349810213355981,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.39,-0.03,0.35,-0.00
Sing,-10,-99,3.68632707774799e-002,2.21179624664879e-002,2,0.973249921213208,1.61607811640485e-002,2,3.3093116914988e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
COMBI,-10,-8,1.12930547713157e-003,1.12930547713157e-003,2,1.019234381612,2.09288479072765e-002,2,2.67781597706851e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.07,-0.07,0.05,-0.02
COMBI,-10,-7.7,8.51327296648866e-002,1.48595309960529e-002,2,0.936017090810239,1.1444796255107e-002,2,8.8400013856835e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.13,-0.04,0.11,-0.02
COMBI,-10,-7.52,0.11233786287832,9.187770228536e-003,2,0.915309190471184,7.16372979600099e-003,2,0.165818719192128,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.17,-0.06,0.17,-0.00
COMBI,-10,-7.26,0.270633994554648,2.8704784130688e-002,2,0.786394589337725,2.4766526378337e-002,2,0.247318777476913,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.27,0.00,0.26,-0.01
COMBI,-10,-7,0.322652816620056,1.1905713144227e-002,2,0.738248125898122,1.07832862679395e-002,2,0.331628358346973,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.35,-0.03,0.35,-0.02
Sing,-9.52,-99,4.75126601131963e-002,2.54691689008043e-002,2,0.965407885354513,1.87281546653939e-002,2,2.9419195612395e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
COMBI,-9.52,-8,4.29136081309995e-002,1.17770428329435e-002,2,0.967402720668378,9.04748067922853e-003,2,1.27897556921048e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.08,-0.04,0.05,-0.04
COMBI,-9.52,-7.7,0.171658540360653,2.2753656837706e-002,2,0.867433143162148,1.85261405230875e-002,2,6.94077926934799e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.14,0.03,0.11,-0.04
COMBI,-9.52,-7.52,0.198965410747375,2.4629400864731e-002,2,0.845677046052332,2.03357409407185e-002,2,0.148024077120098,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.18,0.02,0.17,-0.02
COMBI,-9.52,-7.26,0.266122131466355,1.82808245818745e-002,2,0.790438853049928,1.57179231100755e-002,2,0.227121618534454,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.27,-0.00,0.25,-0.02
COMBI,-9.52,-7,0.288933280063923,4.4986016779864e-002,2,0.76776779922724,3.9718667148909e-002,2,0.305693051398504,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.36,-0.07,0.35,-0.04
Sing,-9,-99,2.74798927613941e-002,1.48197795650879e-002,2,0.980145534491097,1.07681144729285e-002,2,9.13341156188418e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
COMBI,-9,-8,2.83133016052271e-002,2.83133016052271e-002,2,0.980361019524087,2.35040807680125e-002,2,6.6525665787543e-002,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.06,-0.03,0.11,-0.04
COMBI,-9,-7.7,5.57232412351984e-002,4.73647550499186e-002,2,0.958013040058474,3.5849292548978e-002,2,0.108489189626039,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.12,-0.06,0.16,-0.05
COMBI,-9,-7.52,0.183060531192094,1.3357010500309e-002,2,0.858859774719625,1.0907834145975e-002,2,0.178042840260778,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.16,0.02,0.22,-0.04
COMBI,-9,-7.26,0.174095682613769,1.68028004667445e-002,2,0.867037062219398,1.35410623505555e-002,2,0.250855353219975,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.26,-0.09,0.30,-0.05
COMBI,-9,-7,0.352377147423092,1.286456252497e-002,2,0.710993050236983,1.19333598350434e-002,2,0.321154254336355,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.35,0.00,0.39,-0.07
Sing,-8.52,-99,3.23205242776289e-002,1.71283884420613e-002,2,0.976607233422568,1.24811727329655e-002,2,0.266440967573932,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,,,,
COMBI,-8.52,-8,5.9288537549407e-002,5.9288537549407e-002,2,0.972309414652922,6.43259108886886e-002,2,0.245189485131846,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.06,-0.00,0.28,-0.03
COMBI,-8.52,-7.7,0.148750096741739,2.38371643061685e-002,2,0.885934148429293,1.9115751921942e-002,2,0.267036086036952,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.12,0.03,0.32,-0.05
COMBI,-8.52,-7.52,0.211550339715874,2.0074119827054e-002,2,0.835297286349192,1.67199326041685e-002,2,0.316334718283325,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.17,0.04,0.37,-0.05
COMBI,-8.52,-7.26,0.210501750291715,4.2629327110074e-002,2,0.836889252015767,3.52282858673515e-002,2,0.372500421709153,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.26,-0.05,0.44,-0.07
COMBI,-8.52,-7,0.273671594087096,3.83539752297248e-003,2,0.78182828993796,3.34623054609504e-003,2,0.419726788351651,0,2,OVCAR5,Topotecan hydrochloride,KPT-330,0.35,-0.08,0.51,-0.09
