Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.77356434916482e-002,0,180,OVCAR5,alisertib,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,4.00250588491926e-002,0,20,OVCAR5,alisertib,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.15991072408453,0,20,OVCAR5,alisertib,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.315541510820835,0,20,OVCAR5,alisertib,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.482735155860105,0,20,OVCAR5,alisertib,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.630615191168532,0,20,OVCAR5,alisertib,Selinexor,,,,
SING,-7.7,-99,0,0,1,1.12278914847081,0,1,-2.7570511112655e-002,0,1,OVCAR5,alisertib,Selinexor,,,,
COMBI,-7.7,-7.52,5.58328711406914e-002,0,1,0.950927994468701,0,1,7.51305807901054e-003,0,1,OVCAR5,alisertib,Selinexor,0.04,0.02,0.01,-0.00
COMBI,-7.7,-7.26,0.162312716096811,0,1,0.861518932352955,0,1,0.138714547639086,0,1,OVCAR5,alisertib,Selinexor,0.18,-0.02,0.14,-0.00
COMBI,-7.7,-7,0.306524738813325,0,1,0.718198001819113,0,1,0.293983342571448,0,1,OVCAR5,alisertib,Selinexor,0.30,0.01,0.30,-0.01
COMBI,-7.7,-6.7,0.585312312911594,0,1,0.427349841442416,0,1,0.467411111701959,0,1,OVCAR5,alisertib,Selinexor,0.48,0.11,0.47,-0.00
COMBI,-7.7,-6.52,0.614763335837716,0,1,0.386985064953234,0,1,0.630738948097732,0,1,OVCAR5,alisertib,Selinexor,0.64,-0.03,0.62,0.01
SING,-7.52,-99,0,0,2,1.04913047010728,8.91467245885069e-004,2,-9.04306467766319e-003,0,2,OVCAR5,alisertib,Selinexor,,,,
COMBI,-7.52,-7.52,7.48752079866888e-002,7.21020521353299e-003,2,0.933827677665498,6.50493292402399e-003,2,5.116768768546e-002,0,2,OVCAR5,alisertib,Selinexor,0.04,0.03,0.03,0.02
COMBI,-7.52,-7.26,0.158663081060315,4.41797925470602e-003,2,0.864768972806535,3.93625085400451e-003,2,0.181856208816557,0,2,OVCAR5,alisertib,Selinexor,0.18,-0.02,0.15,0.03
COMBI,-7.52,-7,0.338852749852159,9.06761285235548e-003,2,0.685126921626893,9.376121492253e-003,2,0.320161398680283,0,2,OVCAR5,alisertib,Selinexor,0.30,0.04,0.31,0.01
COMBI,-7.52,-6.7,0.446018758730792,2.0754340451008e-002,2,0.586656305113675,2.23260545383205e-002,2,0.482625756856593,0,2,OVCAR5,alisertib,Selinexor,0.48,-0.03,0.48,0.00
COMBI,-7.52,-6.52,0.627535687453042,1.72802404207365e-002,2,0.370168842183424,2.2607705493743e-002,2,0.645010901429352,0,2,OVCAR5,alisertib,Selinexor,0.64,-0.01,0.63,0.02
SING,-7.26,-99,0,0,2,1.0415045919075,1.2523708044955e-002,2,0.105241878538576,0,2,OVCAR5,alisertib,Selinexor,,,,
COMBI,-7.26,-7.52,0.126086152708449,4.73285265298579e-002,2,0.886313520069916,4.4021050668496e-002,2,0.184177026899532,0,2,OVCAR5,alisertib,Selinexor,0.04,0.09,0.14,0.04
COMBI,-7.26,-7.26,0.314060699193238,1.1525163273145e-003,2,0.719306307608612,1.13604467728001e-003,2,0.300718910557998,0,2,OVCAR5,alisertib,Selinexor,0.18,0.13,0.25,0.05
