Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,2.49894102225612e-002,0,96,OVCAR5,brefeldin A,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.50168631925429e-002,0,32,OVCAR5,brefeldin A,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,8.06362577469936e-002,0,32,OVCAR5,brefeldin A,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.148632872708134,0,32,OVCAR5,brefeldin A,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.230708275419196,0,32,OVCAR5,brefeldin A,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.32344299453761,0,32,OVCAR5,brefeldin A,KPT-330,,,,
Sing,-9.52,-99,0.105859811591889,3.01772313587739e-002,2,0.918046829669535,2.40476596728876e-002,2,3.39263947390017e-002,0,2,OVCAR5,brefeldin A,KPT-330,,,,
COMBI,-9.52,-8,0.115767667914907,1.0835789976894e-002,2,0.910084787568238,8.710997833656e-003,2,4.95138271527789e-002,0,2,OVCAR5,brefeldin A,KPT-330,0.13,-0.01,0.06,-0.01
COMBI,-9.52,-7.7,0.175532332835703,1.12359550561795e-002,2,0.866300915679497,9.03385799511394e-003,2,0.118036082684411,0,2,OVCAR5,brefeldin A,KPT-330,0.19,-0.01,0.11,0.01
COMBI,-9.52,-7.52,0.231236571089872,5.7049714751426e-002,2,0.819305398910066,4.79241454309505e-002,2,0.190736750397544,0,2,OVCAR5,brefeldin A,KPT-330,0.23,0.00,0.18,0.01
