Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.55805551584548e-002,0,180,OVCAR5,brefeldin A,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.74857324819233e-002,0,20,OVCAR5,brefeldin A,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.159440543819256,0,20,OVCAR5,brefeldin A,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.314243010330008,0,20,OVCAR5,brefeldin A,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.480844270543446,0,20,OVCAR5,brefeldin A,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.632956044858778,0,20,OVCAR5,brefeldin A,Selinexor,,,,
SING,-10.52,-99,0,0,1,1.11024439628535,0,1,1.05783379419923e-002,0,1,OVCAR5,brefeldin A,Selinexor,,,,
COMBI,-10.52,-7.52,0,0,1,1.03170130302807,0,1,2.04152694076694e-002,0,1,OVCAR5,brefeldin A,Selinexor,0.04,-0.04,0.05,-0.03
COMBI,-10.52,-7.26,0.145024971187092,0,1,0.876876247764199,0,1,0.135111166054494,0,1,OVCAR5,brefeldin A,Selinexor,0.18,-0.03,0.17,-0.03
COMBI,-10.52,-7,0.235166568105657,0,1,0.788566011784552,0,1,0.283162478859959,0,1,OVCAR5,brefeldin A,Selinexor,0.30,-0.06,0.32,-0.04
COMBI,-10.52,-6.7,0.416882857713031,0,1,0.617817301109473,0,1,0.455293735498675,0,1,OVCAR5,brefeldin A,Selinexor,0.48,-0.06,0.49,-0.03
COMBI,-10.52,-6.52,0.651202103681442,0,1,0.33899248122196,0,1,0.625623020550527,0,1,OVCAR5,brefeldin A,Selinexor,0.64,0.01,0.64,-0.01
SING,-10,-99,0,0,2,1.10568124912742,3.172868127295e-002,2,1.66295184439516e-002,0,2,OVCAR5,brefeldin A,Selinexor,,,,
COMBI,-10,-7.52,2.05213533000555e-002,9.05897578110555e-003,2,0.982117277169118,7.92929344076199e-003,2,3.39615264012176e-002,0,2,OVCAR5,brefeldin A,Selinexor,0.04,-0.02,0.05,-0.02
COMBI,-10,-7.26,0.137725701114099,1.76719170188245e-002,2,0.883233806542823,1.5553089894995e-002,2,0.145662828594286,0,2,OVCAR5,brefeldin A,Selinexor,0.18,-0.04,0.17,-0.02
COMBI,-10,-7,0.302976542479795,5.51941651882498e-003,2,0.721767565852482,5.56247149269504e-003,2,0.284748373494873,0,2,OVCAR5,brefeldin A,Selinexor,0.30,0.00,0.33,-0.05
COMBI,-10,-6.7,0.433446417880663,2.01556575533825e-002,2,0.600125496529125,2.1460301405919e-002,2,0.451457229011654,0,2,OVCAR5,brefeldin A,Selinexor,0.48,-0.05,0.49,-0.04
COMBI,-10,-6.52,0.610067618332081,7.70097670924097e-003,2,0.392972720762737,9.86580974446299e-003,2,0.623867719348354,0,2,OVCAR5,brefeldin A,Selinexor,0.64,-0.03,0.64,-0.02
SING,-9.52,-99,0,0,2,1.17892946674402,2.316011076653e-002,2,-2.517669690604e-004,0,2,OVCAR5,brefeldin A,Selinexor,,,,
COMBI,-9.52,-7.52,1.86725827324829e-002,1.86725827324829e-002,2,1.0318577356198,6.45143467351266e-002,2,2.55439906947795e-002,0,2,OVCAR5,brefeldin A,Selinexor,0.04,-0.02,0.04,-0.01
COMBI,-9.52,-7.26,0.152708413369189,0.125240107568191,2,0.865932484089003,0.111477443567175,2,0.140407967532421,0,2,OVCAR5,brefeldin A,Selinexor,0.18,-0.03,0.16,-0.02
COMBI,-9.52,-7,0.30120244431303,2.56258624088301e-003,2,0.72356280846558,2.57936485537047e-003,2,0.278084161702019,0,2,OVCAR5,brefeldin A,Selinexor,0.30,0.00,0.31,-0.03
COMBI,-9.52,-6.7,0.447016563560168,2.97345839153865e-002,2,0.585380542963353,3.20173770050679e-002,2,0.442856586646793,0,2,OVCAR5,brefeldin A,Selinexor,0.48,-0.03,0.48,-0.04
COMBI,-9.52,-6.52,0.623591284748309,5.44703230653654e-003,2,0.375530063597093,7.09110422558451e-003,2,0.615809036599332,0,2,OVCAR5,brefeldin A,Selinexor,0.64,-0.02,0.63,-0.01
SING,-9,-99,0,0,2,1.10606477878643,3.51998816398351e-002,2,-2.56774104268111e-002,0,2,OVCAR5,brefeldin A,Selinexor,,,,
COMBI,-9,-7.52,7.43205768164172e-002,6.39674616380108e-002,2,0.93328450870638,5.7727965475375e-002,2,-1.05638576643152e-003,0,2,OVCAR5,brefeldin A,Selinexor,0.04,0.03,0.01,-0.01
COMBI,-9,-7.26,0.187668075297733,1.8824433346139e-002,2,0.838606821308659,1.70692533127915e-002,2,0.111672901099401,0,2,OVCAR5,brefeldin A,Selinexor,0.18,0.01,0.14,-0.03
