Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,1.81379398827099e-002,0,96,OVCAR5,daporinad,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.17825328695271e-002,0,32,OVCAR5,daporinad,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.72109070178879e-002,0,32,OVCAR5,daporinad,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.146633888948515,0,32,OVCAR5,daporinad,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.233284729558401,0,32,OVCAR5,daporinad,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.326522388925823,0,32,OVCAR5,daporinad,KPT-330,,,,
Sing,-10.52,-99,4.51295799821269e-002,4.51295799821269e-002,2,0.979142557090258,4.5432417184262e-002,2,-3.48515142961889e-003,0,2,OVCAR5,daporinad,KPT-330,,,,
COMBI,-10.52,-8,3.12172299749939e-002,3.12172299749939e-002,2,1.00198850777753,4.96367030470151e-002,2,-4.2061362969422e-004,0,2,OVCAR5,daporinad,KPT-330,0.08,-0.05,0.02,-0.02
COMBI,-10.52,-7.7,6.87253308567451e-002,5.54136676727809e-002,2,0.947936124070051,4.22752939030575e-002,2,5.84361286030436e-002,0,2,OVCAR5,daporinad,KPT-330,0.13,-0.06,0.07,-0.01
COMBI,-10.52,-7.52,0.136504014823966,7.10315009264948e-003,2,0.896329525870184,5.62434678038251e-003,2,0.139135740965135,0,2,OVCAR5,daporinad,KPT-330,0.18,-0.04,0.14,-0.00
COMBI,-10.52,-7.26,0.239128743679502,2.3026059898872e-002,2,0.813363507526325,1.94121504382805e-002,2,0.238484464901671,0,2,OVCAR5,daporinad,KPT-330,0.27,-0.03,0.23,0.01
COMBI,-10.52,-7,0.341749900119857,2.10946863763485e-002,2,0.720705585674367,1.9400871343866e-002,2,0.335308016462336,0,2,OVCAR5,daporinad,KPT-330,0.36,-0.02,0.32,0.02
Sing,-10,-99,6.03217158176945e-002,6.03217158176945e-002,2,0.955545256912578,4.4987181847592e-002,2,2.30264634390996e-002,0,2,OVCAR5,daporinad,KPT-330,,,,
COMBI,-10,-8,2.47640558199564e-002,8.3084617246108e-003,2,0.981288851377403,6.31665386251401e-003,2,2.24879972826642e-002,0,2,OVCAR5,daporinad,KPT-330,0.09,-0.07,0.04,-0.02
COMBI,-10,-7.7,0.149291850475969,0.112297809767046,2,0.882316816702149,9.0294272381659e-002,2,7.39601905305658e-002,0,2,OVCAR5,daporinad,KPT-330,0.15,-0.00,0.10,-0.03
COMBI,-10,-7.52,0.14237183446572,1.2816553428042e-002,2,0.891644998746632,1.01871582742955e-002,2,0.153624151749535,0,2,OVCAR5,daporinad,KPT-330,0.19,-0.05,0.17,-0.02
COMBI,-10,-7.26,0.288914819136523,5.11863088292495e-002,2,0.769905312774096,4.4798567277722e-002,2,0.252581444129348,0,2,OVCAR5,daporinad,KPT-330,0.28,0.01,0.25,0.00
COMBI,-10,-7,0.344466640031962,1.5021973631642e-002,2,0.718285546367882,1.38452998467929e-002,2,0.341292450254682,0,2,OVCAR5,daporinad,KPT-330,0.37,-0.03,0.34,0.00
Sing,-9.52,-99,6.76943699731904e-002,1.55644921060471e-002,2,0.95056638971513,1.15846134566505e-002,2,0.11642393669594,0,2,OVCAR5,daporinad,KPT-330,,,,
COMBI,-9.52,-8,8.55852222311851e-002,4.18649673308059e-002,2,0.9338219461119,3.2991773602897e-002,2,0.109370995203578,0,2,OVCAR5,daporinad,KPT-330,0.10,-0.01,0.14,-0.03
COMBI,-9.52,-7.7,0.146350901633,5.59554214070117e-002,2,0.88718578999631,4.4823647870376e-002,2,0.141804611257916,0,2,OVCAR5,daporinad,KPT-330,0.15,-0.00,0.18,-0.04
COMBI,-9.52,-7.52,0.194873378628783,3.4743668931439e-002,2,0.848881407288699,2.86094187873315e-002,2,0.205946212493827,0,2,OVCAR5,daporinad,KPT-330,0.20,-0.01,0.25,-0.04
COMBI,-9.52,-7.26,0.297005056398288,1.46246596654995e-002,2,0.763611119308197,1.28713527775479e-002,2,0.290894193305143,0,2,OVCAR5,daporinad,KPT-330,0.29,0.01,0.32,-0.03
COMBI,-9.52,-7,0.323611666000799,4.39472632840598e-003,2,0.737423024885858,3.98328179542404e-003,2,0.362198967391588,0,2,OVCAR5,daporinad,KPT-330,0.37,-0.05,0.40,-0.04
Sing,-9,-99,0.27025618111409,1.660708966339e-002,2,0.789295595217751,1.4188996843367e-002,2,0.27178343521723,0,2,OVCAR5,daporinad,KPT-330,,,,
COMBI,-9,-8,0.213196741147052,6.88069694280875e-002,2,0.828135343266693,5.8926584712282e-002,2,0.257059367442032,0,2,OVCAR5,daporinad,KPT-330,0.29,-0.08,0.29,-0.03
COMBI,-9,-7.7,0.262208807367851,2.0431855119573e-002,2,0.791349961272117,1.77367798143715e-002,2,0.26444114325108,0,2,OVCAR5,daporinad,KPT-330,0.34,-0.08,0.33,-0.07
COMBI,-9,-7.52,0.242510809141445,4.37770228536135e-002,2,0.808749733053958,3.72918365246495e-002,2,0.304446446875523,0,2,OVCAR5,daporinad,KPT-330,0.37,-0.13,0.38,-0.08
COMBI,-9,-7.26,0.363593932322054,2.66044340723455e-002,2,0.703226619615199,2.47102253517115e-002,2,0.366729312344384,0,2,OVCAR5,daporinad,KPT-330,0.44,-0.08,0.44,-0.07
COMBI,-9,-7,0.384019176987615,4.88214143028365e-002,2,0.680342884004678,4.6537364355547e-002,2,0.414772947493358,0,2,OVCAR5,daporinad,KPT-330,0.51,-0.13,0.51,-0.10
Sing,-8.52,-99,0.455764075067024,2.025618111409e-002,2,0.617833917742403,2.03303612021001e-002,2,0.442933766824493,0,2,OVCAR5,daporinad,KPT-330,,,,
COMBI,-8.52,-8,0.466564491409212,3.71057513914651e-003,2,0.590042228581135,3.90801812084651e-003,2,0.421527739889588,0,2,OVCAR5,daporinad,KPT-330,0.47,-0.00,0.46,-0.04
COMBI,-8.52,-7.7,0.421484405231793,1.23829424967102e-003,2,0.644021596829311,1.22694539241652e-003,2,0.408090560774037,0,2,OVCAR5,daporinad,KPT-330,0.51,-0.09,0.49,-0.08
COMBI,-8.52,-7.52,0.447112415071031,1.19672637430515e-002,2,0.620047266848766,1.2089799497449e-002,2,0.426694292783758,0,2,OVCAR5,daporinad,KPT-330,0.53,-0.08,0.52,-0.09
COMBI,-8.52,-7.26,0.470167250097238,7.93465577596249e-003,2,0.599673598044867,8.12046391405052e-003,2,0.465982976318393,0,2,OVCAR5,daporinad,KPT-330,0.59,-0.12,0.57,-0.10
COMBI,-8.52,-7,0.517538953256093,2.157411106672e-002,2,0.545764211564502,2.33316081602725e-002,2,0.489711538508709,0,2,OVCAR5,daporinad,KPT-330,0.63,-0.11,0.62,-0.13
Sing,-8,-99,0.57246053023533,1.79475722371165e-002,2,0.49315262710296,2.0477176226793e-002,2,0.564990944314711,0,2,OVCAR5,daporinad,KPT-330,,,,
COMBI,-8,-8,0.506493506493507,2.0730821973058e-002,2,0.546894278459473,2.2741700729242e-002,2,0.538984025188526,0,2,OVCAR5,daporinad,KPT-330,0.59,-0.08,0.57,-0.03
COMBI,-8,-7.7,0.500657843820138,1.9425741041715e-002,2,0.562273605237468,2.0820766874816e-002,2,0.51639813650938,0,2,OVCAR5,daporinad,KPT-330,0.61,-0.11,0.60,-0.08
COMBI,-8,-7.52,0.521772699197035,6.79431747992601e-003,2,0.541765951095809,7.41055688265546e-003,2,0.524856687135029,0,2,OVCAR5,daporinad,KPT-330,0.63,-0.11,0.63,-0.11
COMBI,-8,-7.26,0.531933099961104,7.62349280435648e-003,2,0.534417718428082,8.32095056424301e-003,2,0.54837553352714,0,2,OVCAR5,daporinad,KPT-330,0.67,-0.14,0.67,-0.12
COMBI,-8,-7,0.576987614862166,5.59328805433454e-003,2,0.47959212115452,6.4625871769165e-003,2,0.553307099057738,0,2,OVCAR5,daporinad,KPT-330,0.71,-0.13,0.71,-0.16
Sing,-7.52,-99,0.607834375930891,1.08728030980041e-002,2,0.452027339617291,1.2971897020923e-002,2,0.600584657391264,0,2,OVCAR5,daporinad,KPT-330,,,,
COMBI,-7.52,-8,0.554327659917722,2.419940308139e-003,2,0.49329476397088,2.7971293594945e-003,2,0.572079199312969,0,2,OVCAR5,daporinad,KPT-330,0.62,-0.07,0.61,-0.04
COMBI,-7.52,-7.7,0.56009596780435,1.86518071356706e-002,2,0.496438402878312,2.1362296102404e-002,2,0.55129140217194,0,2,OVCAR5,daporinad,KPT-330,0.64,-0.08,0.63,-0.08
COMBI,-7.52,-7.52,0.592109326744904,3.31995058678203e-003,2,0.46189950026906,3.93168782624999e-003,2,0.560685787305289,0,2,OVCAR5,daporinad,KPT-330,0.66,-0.07,0.66,-0.10
COMBI,-7.52,-7.26,0.580630105017503,1.6180474523532e-002,2,0.479625085499675,1.8681809515157e-002,2,0.5786782966242,0,2,OVCAR5,daporinad,KPT-330,0.70,-0.12,0.69,-0.11
COMBI,-7.52,-7,0.548302037554934,8.86935677187398e-003,2,0.512162789996083,9.91605071928403e-003,2,0.575815357051614,0,2,OVCAR5,daporinad,KPT-330,0.74,-0.19,0.73,-0.15
Sing,-7,-99,0.562183497170093,1.77986297289245e-002,2,0.50481372037971,2.00562948168991e-002,2,0.561820542082403,0,2,OVCAR5,daporinad,KPT-330,,,,
COMBI,-7,-8,0.510446075663467,1.5164959264338e-002,2,0.542663865480509,1.67037835041175e-002,2,0.532995658168455,0,2,OVCAR5,daporinad,KPT-330,0.58,-0.07,0.57,-0.04
COMBI,-7,-7.7,0.508010215927559,7.58455227923549e-003,2,0.554544372613711,8.19175323343801e-003,2,0.518601845033087,0,2,OVCAR5,daporinad,KPT-330,0.60,-0.09,0.60,-0.08
COMBI,-7,-7.52,0.539144533662755,5.79061148857299e-003,2,0.522642251018302,6.43896981251049e-003,2,0.533257256193344,0,2,OVCAR5,daporinad,KPT-330,0.62,-0.08,0.63,-0.10
COMBI,-7,-7.26,0.527654609101517,7.39012057565147e-003,2,0.53907906103561,8.02848911706946e-003,2,0.553203341249984,0,2,OVCAR5,daporinad,KPT-330,0.67,-0.14,0.66,-0.11
COMBI,-7,-7,0.625169796244506,8.23012385137853e-003,2,0.422222014464821,1.00948329339865e-002,2,0.55343194130296,0,2,OVCAR5,daporinad,KPT-330,0.71,-0.08,0.70,-0.15
