Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,2.02784254707475e-002,0,96,OVCAR5,gemcitabine,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.03005012465468e-002,0,32,OVCAR5,gemcitabine,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.9326021476284e-002,0,32,OVCAR5,gemcitabine,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.147826299744046,0,32,OVCAR5,gemcitabine,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.228438013300584,0,32,OVCAR5,gemcitabine,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.324462923209496,0,32,OVCAR5,gemcitabine,KPT-330,,,,
Sing,-11.52,-99,2.5946032252914e-002,2.5946032252914e-002,2,0.999494540476999,3.8922130969301e-002,2,1.11851954391548e-002,0,2,OVCAR5,gemcitabine,KPT-330,,,,
COMBI,-11.52,-8,6.26244920723448e-002,3.4260218309298e-003,2,0.95214085166281,2.66617108429201e-003,2,3.88784637356613e-002,0,2,OVCAR5,gemcitabine,KPT-330,0.06,0.00,0.03,0.01
COMBI,-11.52,-7.7,9.89235483617504e-002,2.53005421544746e-002,2,0.926279783708532,1.93750748801015e-002,2,0.123727846079304,0,2,OVCAR5,gemcitabine,KPT-330,0.12,-0.02,0.09,0.03
COMBI,-11.52,-7.52,0.172038230717937,4.526931910795e-002,2,0.868393554338665,3.64499062579325e-002,2,0.195358928997774,0,2,OVCAR5,gemcitabine,KPT-330,0.16,0.01,0.16,0.04
COMBI,-11.52,-7.26,0.241488214450778,2.5188722847019e-002,2,0.809496944708668,2.14984383991255e-002,2,0.260947843625489,0,2,OVCAR5,gemcitabine,KPT-330,0.26,-0.02,0.24,0.02
COMBI,-11.52,-7,0.388888888888889,4.3846899224806e-002,2,0.668474522782531,4.2956265396439e-002,2,0.344007160605152,0,2,OVCAR5,gemcitabine,KPT-330,0.34,0.05,0.33,0.01
Sing,-11,-99,0,0,2,1.03945062281505,5.57291951448002e-003,2,2.53049859618123e-002,0,2,OVCAR5,gemcitabine,KPT-330,,,,
COMBI,-11,-8,2.95593976575572e-002,1.84845829017608e-002,2,0.977551420308659,1.41099636627955e-002,2,6.74802386124473e-002,0,2,OVCAR5,gemcitabine,KPT-330,0.03,-0.00,0.05,0.02
COMBI,-11,-7.7,0.222990492653414,3.4179303842225e-002,2,0.827221478424644,2.8389604883863e-002,2,0.167038775248596,0,2,OVCAR5,gemcitabine,KPT-330,0.09,0.13,0.10,0.07
COMBI,-11,-7.52,0.235682003408164,1.49662888049195e-002,2,0.81650374463901,1.26045133743594e-002,2,0.23897827347334,0,2,OVCAR5,gemcitabine,KPT-330,0.14,0.10,0.17,0.07
COMBI,-11,-7.26,0.28185179479279,1.2401787089817e-002,2,0.774676958081264,1.09080122098285e-002,2,0.286984416458486,0,2,OVCAR5,gemcitabine,KPT-330,0.24,0.04,0.25,0.04
