Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,1.97273266464048e-002,0,96,OVCAR5,methotrexate,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,1.97984930343789e-002,0,32,OVCAR5,methotrexate,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.88184241052505e-002,0,32,OVCAR5,methotrexate,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.15079123969631,0,32,OVCAR5,methotrexate,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.233927777543279,0,32,OVCAR5,methotrexate,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.323435442941782,0,32,OVCAR5,methotrexate,KPT-330,,,,
Sing,-10.52,-99,0,0,2,1.03302957908219,2.96867165258901e-002,2,2.5861650519953e-002,0,2,OVCAR5,methotrexate,KPT-330,,,,
COMBI,-10.52,-8,2.14723926380368e-002,2.14723926380368e-002,2,0.990083230809772,2.27134072402875e-002,2,3.84194628361209e-002,0,2,OVCAR5,methotrexate,KPT-330,0.03,-0.01,0.05,-0.01
COMBI,-10.52,-7.7,0.139231554961892,5.02082187475447e-002,2,0.894544380696512,3.9443285831621e-002,2,0.110649522375371,0,2,OVCAR5,methotrexate,KPT-330,0.09,0.05,0.10,0.01
COMBI,-10.52,-7.52,0.225457509076091,1.0965399718456e-002,2,0.825114991793301,9.16567018681846e-003,2,0.187211619262298,0,2,OVCAR5,methotrexate,KPT-330,0.14,0.09,0.17,0.02
