Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,2.49333267380424e-002,0,96,OVCAR5,narciclasine,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.5035068256503e-002,0,32,OVCAR5,narciclasine,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,8.13925033122991e-002,0,32,OVCAR5,narciclasine,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.148568601558053,0,32,OVCAR5,narciclasine,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.22931520939941,0,32,OVCAR5,narciclasine,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.32206429514192,0,32,OVCAR5,narciclasine,KPT-330,,,,
Sing,-10,-99,4.86188727446911e-002,4.86188727446911e-002,2,0.967741418157261,4.2618216290689e-002,2,6.91733273245142e-002,0,2,OVCAR5,narciclasine,KPT-330,,,,
COMBI,-10,-8,0.170185642578281,1.4261811807824e-002,2,0.865540853540517,1.1875968561433e-002,2,9.99628797647951e-002,0,2,OVCAR5,narciclasine,KPT-330,0.08,0.09,0.09,0.01
COMBI,-10,-7.7,0.234462167046437,5.42154474738751e-003,2,0.817987624548296,4.53857961585249e-003,2,0.174876383722524,0,2,OVCAR5,narciclasine,KPT-330,0.14,0.09,0.14,0.03
COMBI,-10,-7.52,0.276431799659184,2.62280506779285e-002,2,0.78149311062064,2.278463002316e-002,2,0.234437997769365,0,2,OVCAR5,narciclasine,KPT-330,0.18,0.10,0.21,0.02
COMBI,-10,-7.26,0.289092589739639,1.62532737636725e-002,2,0.768252254350935,1.4375967783971e-002,2,0.288517251631121,0,2,OVCAR5,narciclasine,KPT-330,0.28,0.01,0.28,0.01
COMBI,-10,-7,0.347868217054264,9.77067183462553e-003,2,0.708723988778824,9.24076863929402e-003,2,0.354204443829316,0,2,OVCAR5,narciclasine,KPT-330,0.36,-0.01,0.37,-0.02
Sing,-9.52,-99,0.10410346479323,1.10170844643141e-002,2,0.919640516164499,8.76857572276593e-003,2,9.0113158483347e-002,0,2,OVCAR5,narciclasine,KPT-330,,,,
COMBI,-9.52,-8,0.100071707433671,3.19496454465781e-002,2,0.922419598554949,2.5438688415856e-002,2,0.124315313075332,0,2,OVCAR5,narciclasine,KPT-330,0.13,-0.03,0.11,0.01
COMBI,-9.52,-7.7,0.226133417144653,4.6436709358058e-002,2,0.824317672603805,3.86641311531749e-002,2,0.200929949173291,0,2,OVCAR5,narciclasine,KPT-330,0.19,0.04,0.16,0.04
COMBI,-9.52,-7.52,0.232496110246722,4.86774838853075e-002,2,0.818519701276402,4.09204956255169e-002,2,0.256166284034165,0,2,OVCAR5,narciclasine,KPT-330,0.23,0.00,0.23,0.03
COMBI,-9.52,-7.26,0.290325065475273,2.30318903096595e-002,2,0.767070074212349,2.03925263804765e-002,2,0.299185212089208,0,2,OVCAR5,narciclasine,KPT-330,0.32,-0.03,0.30,-0.00
COMBI,-9.52,-7,0.376614987080103,4.01324289405685e-002,2,0.680580022182595,3.88989958822735e-002,2,0.354026799923435,0,2,OVCAR5,narciclasine,KPT-330,0.40,-0.02,0.38,-0.03
Sing,-9,-99,8.83761775506945e-002,4.12741497684815e-002,2,0.931718195631573,3.2543295853951e-002,2,9.96479266769099e-002,0,2,OVCAR5,narciclasine,KPT-330,,,,
COMBI,-9,-8,0.137678272647598,2.39024778902003e-004,2,0.892377958710458,1.9484328463204e-004,2,0.112784612277676,0,2,OVCAR5,narciclasine,KPT-330,0.12,0.02,0.12,-0.01
COMBI,-9,-7.7,0.197925669835782,2.4986249705351e-002,2,0.848021800314998,2.03956643070965e-002,2,0.174380112562364,0,2,OVCAR5,narciclasine,KPT-330,0.17,0.03,0.17,0.00
COMBI,-9,-7.52,0.242276061346966,5.3715640512707e-002,2,0.810095953728183,4.5490311320007e-002,2,0.228995522638753,0,2,OVCAR5,narciclasine,KPT-330,0.22,0.02,0.23,-0.00
COMBI,-9,-7.26,0.343629641041442,1.8718225234941e-002,2,0.71891620581812,1.7296983472708e-002,2,0.279824616160237,0,2,OVCAR5,narciclasine,KPT-330,0.31,0.03,0.31,-0.03
COMBI,-9,-7,0.340439276485789,1.55846253229975e-002,2,0.715672889899736,1.4650976893644e-002,2,0.343033025535306,0,2,OVCAR5,narciclasine,KPT-330,0.39,-0.05,0.39,-0.05
Sing,-8.52,-99,0.133881526425036,6.68210122944278e-002,2,0.894590582801102,5.4230823590979e-002,2,0.175610629141663,0,2,OVCAR5,narciclasine,KPT-330,,,,
COMBI,-8.52,-8,8.54115209943433e-002,3.59333917616128e-002,2,0.933978762270086,2.8355726286674e-002,2,0.17059546851327,0,2,OVCAR5,narciclasine,KPT-330,0.16,-0.07,0.20,-0.03
COMBI,-8.52,-7.7,0.174275163039208,5.4765459259841e-002,2,0.866546214693017,4.4020010528869e-002,2,0.211561831143303,0,2,OVCAR5,narciclasine,KPT-330,0.21,-0.04,0.24,-0.03
COMBI,-8.52,-7.52,0.236200637178632,9.63177002296985e-004,2,0.816136305545001,8.11449295539002e-004,2,0.262210615551917,0,2,OVCAR5,narciclasine,KPT-330,0.26,-0.02,0.30,-0.04
COMBI,-8.52,-7.26,0.304960714835927,8.08812201509751e-003,2,0.754198098734114,7.24282719483602e-003,2,0.322064417751868,0,2,OVCAR5,narciclasine,KPT-330,0.34,-0.04,0.36,-0.04
