Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,1.25580063249766e-002,0,96,OVCAR5,niraparib,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.38394919199991e-002,0,32,OVCAR5,niraparib,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,7.71927079557531e-002,0,32,OVCAR5,niraparib,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.147890673811852,0,32,OVCAR5,niraparib,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.235420817950201,0,32,OVCAR5,niraparib,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.318581639946742,0,32,OVCAR5,niraparib,KPT-330,,,,
Sing,-9.52,-99,3.59252754271116e-002,3.59252754271116e-002,2,0.973619228002764,2.85307111785255e-002,2,4.78371003110381e-002,0,2,OVCAR5,niraparib,KPT-330,,,,
COMBI,-9.52,-8,6.87594613974982e-002,5.5772448410485e-003,2,0.947353263588626,4.35620516731297e-003,2,6.18458679195468e-002,0,2,OVCAR5,niraparib,KPT-330,0.07,-0.00,0.07,-0.01
COMBI,-9.52,-7.7,0.12540268720044,5.46083130352792e-002,2,0.905257262022402,4.25288742313066e-002,2,0.115334858154855,0,2,OVCAR5,niraparib,KPT-330,0.13,-0.00,0.12,-0.00
COMBI,-9.52,-7.52,0.207749870341558,6.5940579388015e-003,2,0.839845164424655,5.4416331329965e-003,2,0.185041523934063,0,2,OVCAR5,niraparib,KPT-330,0.17,0.04,0.19,-0.00
COMBI,-9.52,-7.26,0.273455553843784,2.09520875057775e-002,2,0.781944266757006,1.8312131667338e-002,2,0.265154633709234,0,2,OVCAR5,niraparib,KPT-330,0.27,0.00,0.27,-0.00
COMBI,-9.52,-7,0.333494832041344,2.26905684754525e-002,2,0.722081652409401,2.1213515902771e-002,2,0.333169730188125,0,2,OVCAR5,niraparib,KPT-330,0.35,-0.02,0.35,-0.02
Sing,-9,-99,6.28293150247486e-002,4.60641864920964e-002,2,0.951620874591617,3.57684814932355e-002,2,9.63258753213352e-002,0,2,OVCAR5,niraparib,KPT-330,,,,
