Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,3.34811660012451e-002,5.13264675019107e-002,180,1.00367978255101,8.30928605931056e-002,180,2.36253609771536e-002,0,180,OVCAR5,pevonedistat,Selinexor,,,,
Sing_qHTS,-99,-7.52,3.73821408763173e-002,4.7356957281526e-002,20,0.977273647145664,5.27360464666876e-002,20,3.55290764893662e-002,0,20,OVCAR5,pevonedistat,Selinexor,,,,
Sing_qHTS,-99,-7.26,0.180023050326546,4.09214352848487e-002,20,0.845157256370309,3.7099783951999e-002,20,0.160901034728407,0,20,OVCAR5,pevonedistat,Selinexor,,,,
Sing_qHTS,-99,-7,0.302562586240883,4.57490393683018e-002,20,0.721477386196496,4.54708530535752e-002,20,0.317884618741939,0,20,OVCAR5,pevonedistat,Selinexor,,,,
Sing_qHTS,-99,-6.7,0.483177010576731,3.25674447462148e-002,20,0.545727498848867,3.64759798252068e-002,20,0.482395576703735,0,20,OVCAR5,pevonedistat,Selinexor,,,,
Sing_qHTS,-99,-6.52,0.643275732531931,1.89626631596852e-002,20,0.349321440274696,2.50288157956238e-002,20,0.633549013297301,0,20,OVCAR5,pevonedistat,Selinexor,,,,
SING,-10,-99,0,0,1,1.17735854257853,0,1,8.74913511577219e-003,0,1,OVCAR5,pevonedistat,Selinexor,,,,
COMBI,-10,-7.52,2.25550009243853e-002,0,1,0.980355725725027,0,1,1.52120559281319e-002,0,1,OVCAR5,pevonedistat,Selinexor,0.04,-0.02,0.04,-0.02
COMBI,-10,-7.26,0.160007683442182,0,1,0.863575677487039,0,1,0.138891582195404,0,1,OVCAR5,pevonedistat,Selinexor,0.18,-0.02,0.17,-0.03
COMBI,-10,-7,0.277350680070964,0,1,0.747376418588598,0,1,0.300815342010219,0,1,OVCAR5,pevonedistat,Selinexor,0.30,-0.02,0.32,-0.02
COMBI,-10,-6.7,0.471163440431052,0,1,0.559516287784166,0,1,0.472659168308391,0,1,OVCAR5,pevonedistat,Selinexor,0.48,-0.01,0.49,-0.02
COMBI,-10,-6.52,0.626408715251691,0,1,0.371879347281853,0,1,0.628733972450103,0,1,OVCAR5,pevonedistat,Selinexor,0.64,-0.01,0.64,-0.01
SING,-9.52,-99,0,0,2,1.19193222694832,3.99935387556499e-002,2,2.09203674458695e-002,0,2,OVCAR5,pevonedistat,Selinexor,,,,
COMBI,-9.52,-7.52,1.97818450730264e-002,1.97818450730264e-002,2,1.02860816556782,6.32257480789561e-002,2,2.69395671300195e-002,0,2,OVCAR5,pevonedistat,Selinexor,0.04,-0.02,0.06,-0.03
COMBI,-9.52,-7.26,0.130426431041106,8.45178640030749e-003,2,0.889705864869387,7.40676738776247e-003,2,0.145632999572383,0,2,OVCAR5,pevonedistat,Selinexor,0.18,-0.05,0.18,-0.03
COMBI,-9.52,-7,0.317366449832446,2.42460082791245e-002,2,0.70698942730934,2.46877895104705e-002,2,0.307402726057244,0,2,OVCAR5,pevonedistat,Selinexor,0.30,0.02,0.33,-0.02
COMBI,-9.52,-6.7,0.463779684693674,1.0177609259629e-002,2,0.56755430987855,1.11108852446561e-002,2,0.480432393994884,0,2,OVCAR5,pevonedistat,Selinexor,0.48,-0.02,0.49,-0.01
COMBI,-9.52,-6.52,0.607625845229151,7.51314800901987e-004,2,0.396140381193495,9.59741684540494e-004,2,0.632031685661584,0,2,OVCAR5,pevonedistat,Selinexor,0.64,-0.03,0.64,-0.01
SING,-9,-99,0,0,2,1.16518239174396,8.1114451374515e-002,2,1.48430505251742e-002,0,2,OVCAR5,pevonedistat,Selinexor,,,,
COMBI,-9,-7.52,5.26899611758181e-002,9.24385283786305e-004,2,0.953730339855735,8.23556820799959e-004,2,2.81783427204171e-002,0,2,OVCAR5,pevonedistat,Selinexor,0.04,0.01,0.05,-0.02
COMBI,-9,-7.26,0.126968882059163,4.91740299654245e-002,2,0.892142399977576,4.3023786470447e-002,2,0.148840933708907,0,2,OVCAR5,pevonedistat,Selinexor,0.18,-0.05,0.17,-0.02
COMBI,-9,-7,0.300216834220382,3.70589394835405e-002,2,0.72407539563595,3.7287669811864e-002,2,0.313592654578268,0,2,OVCAR5,pevonedistat,Selinexor,0.30,0.00,0.33,-0.02
COMBI,-9,-6.7,0.517661145479944,1.17740969866295e-002,2,0.507305727835782,1.34812309693345e-002,2,0.48933176571018,0,2,OVCAR5,pevonedistat,Selinexor,0.48,0.04,0.49,-0.00
COMBI,-9,-6.52,0.670172802404207,3.4748309541698e-002,2,0.311998155468271,4.80393915285465e-002,2,0.637948215193838,0,2,OVCAR5,pevonedistat,Selinexor,0.64,0.03,0.64,-0.00
SING,-8.52,-99,0,0,2,1.20107945999388,4.27598232191701e-002,2,-1.83824022230566e-002,0,2,OVCAR5,pevonedistat,Selinexor,,,,
COMBI,-8.52,-7.52,0,0,2,1.04794632176826,2.79837245408499e-003,2,1.06762138713271e-002,0,2,OVCAR5,pevonedistat,Selinexor,0.04,-0.04,0.02,-0.01
COMBI,-8.52,-7.26,0.157510564733001,2.8812908182865e-003,2,0.865798440897336,2.56535809489547e-003,2,0.141512782327848,0,2,OVCAR5,pevonedistat,Selinexor,0.18,-0.02,0.15,-0.01
COMBI,-8.52,-7,0.358564951705105,2.79913266311845e-002,2,0.664316817431914,2.93760630184795e-002,2,0.309341736584429,0,2,OVCAR5,pevonedistat,Selinexor,0.30,0.06,0.31,-0.00
COMBI,-8.52,-6.7,0.447615246457793,4.3105168629016e-002,2,0.584301146015054,4.6451992358152e-002,2,0.48499460285449,0,2,OVCAR5,pevonedistat,Selinexor,0.48,-0.03,0.47,0.01
COMBI,-8.52,-6.52,0.66679188580015,4.32006010518401e-003,2,0.317758927322988,5.93970218459e-003,2,0.632721369109912,0,2,OVCAR5,pevonedistat,Selinexor,0.64,0.03,0.63,0.00
SING,-8,-99,0,0,2,1.24647727583499,1.084792107081e-002,2,-2.36340342559957e-002,0,2,OVCAR5,pevonedistat,Selinexor,,,,
COMBI,-8,-7.52,1.33111480865225e-002,1.33111480865225e-002,2,1.00015267212888,2.33648670917459e-002,2,2.94890272154384e-002,0,2,OVCAR5,pevonedistat,Selinexor,0.04,-0.03,0.01,0.02
COMBI,-8,-7.26,0.170956588551671,4.6292739147138e-002,2,0.853200951765254,4.1564617140465e-002,2,0.169951613370682,0,2,OVCAR5,pevonedistat,Selinexor,0.18,-0.01,0.14,0.03
COMBI,-8,-7,0.273408239700374,7.45121230041395e-002,2,0.749423677860068,7.36728777254285e-002,2,0.328931482021955,0,2,OVCAR5,pevonedistat,Selinexor,0.30,-0.03,0.30,0.03
COMBI,-8,-6.7,0.486928756735182,5.98682897625491e-004,2,0.542078698533576,6.66737012295943e-004,2,0.489028448469816,0,2,OVCAR5,pevonedistat,Selinexor,0.48,0.01,0.47,0.02
COMBI,-8,-6.52,0.608564988730278,1.6341096919609e-002,2,0.394741134040512,2.09007724842165e-002,2,0.626342780767538,0,2,OVCAR5,pevonedistat,Selinexor,0.64,-0.03,0.62,0.01
SING,-7.52,-99,0,0,2,1.15112157046598,2.87638565735e-002,2,7.19340051000108e-002,0,2,OVCAR5,pevonedistat,Selinexor,,,,
COMBI,-7.52,-7.52,0.135699759659826,4.28914771676836e-002,2,0.877453147059859,4.01253170222575e-002,2,0.153885545020223,0,2,OVCAR5,pevonedistat,Selinexor,0.04,0.10,0.10,0.05
COMBI,-7.52,-7.26,0.295044179792547,1.9784863618901e-002,2,0.737793366458128,1.9244162378117e-002,2,0.291232082204395,0,2,OVCAR5,pevonedistat,Selinexor,0.18,0.12,0.22,0.07
COMBI,-7.52,-7,0.437610881135423,6.1107825744135e-003,2,0.579053081881237,6.82882829692255e-003,2,0.420217375716156,0,2,OVCAR5,pevonedistat,Selinexor,0.30,0.14,0.37,0.05
COMBI,-7.52,-6.7,0.503691877868689,3.1730193574137e-002,2,0.522756864762193,3.5882213847587e-002,2,0.542355307017636,0,2,OVCAR5,pevonedistat,Selinexor,0.48,0.02,0.52,0.02
COMBI,-7.52,-6.52,0.663223140495868,9.39143501126949e-003,2,0.32259153629381,1.28523111448435e-002,2,0.648978594659707,0,2,OVCAR5,pevonedistat,Selinexor,0.64,0.02,0.66,-0.01
SING,-7,-99,0.260660247592848,2.49885373681795e-002,2,0.72280107468592,2.8525165232326e-002,2,0.276814584155155,0,2,OVCAR5,pevonedistat,Selinexor,,,,
COMBI,-7,-7.52,0.381771122203735,2.42188944352005e-002,2,0.627312295416934,2.70010262034095e-002,2,0.382342863529252,0,2,OVCAR5,pevonedistat,Selinexor,0.29,0.09,0.30,0.08
COMBI,-7,-7.26,0.50153668843642,6.53092585478299e-003,2,0.520297032717278,7.50239193555755e-003,2,0.49738831885658,0,2,OVCAR5,pevonedistat,Selinexor,0.39,0.11,0.39,0.11
COMBI,-7,-7,0.59846244825547,2.7399960575596e-002,2,0.384675128662275,3.5819152002211e-002,2,0.578613935698291,0,2,OVCAR5,pevonedistat,Selinexor,0.48,0.12,0.51,0.07
COMBI,-7,-6.7,0.63819596886849,2.29495110756335e-002,2,0.360370621228195,2.97672068423205e-002,2,0.648276737075337,0,2,OVCAR5,pevonedistat,Selinexor,0.62,0.02,0.63,0.02
COMBI,-7,-6.52,0.706235912847483,2.0848985725019e-002,2,0.261587632614641,3.02990273674495e-002,2,0.707665094693724,0,2,OVCAR5,pevonedistat,Selinexor,0.74,-0.03,0.73,-0.02
SING,-6.52,-99,0.557083906464924,2.33837689133425e-002,2,0.345953377552496,3.354815592204e-002,2,0.510095102606789,0,2,OVCAR5,pevonedistat,Selinexor,,,,
COMBI,-6.52,-7.52,0.673137363653171,6.47069698650404e-003,2,0.250054035330898,9.96984004964e-003,2,0.622256794455177,0,2,OVCAR5,pevonedistat,Selinexor,0.57,0.10,0.53,0.09
COMBI,-6.52,-7.26,0.696311947752593,5.37840952746801e-003,2,0.271582184497659,7.71644746260049e-003,2,0.700751117635123,0,2,OVCAR5,pevonedistat,Selinexor,0.64,0.06,0.59,0.11
COMBI,-6.52,-7,0.73605361718904,1.91208357973589e-002,2,0.188547756446971,2.9997469784617e-002,2,0.731669834742367,0,2,OVCAR5,pevonedistat,Selinexor,0.69,0.05,0.67,0.06
COMBI,-6.52,-6.7,0.753741768110157,2.51446817002595e-002,2,0.198679573682777,3.80391431476755e-002,2,0.752145991716036,0,2,OVCAR5,pevonedistat,Selinexor,0.77,-0.02,0.75,0.00
COMBI,-6.52,-6.52,0.794327573253193,6.01051840721301e-003,2,0.124604926930942,1.01114145547395e-002,2,0.764809432696454,0,2,OVCAR5,pevonedistat,Selinexor,0.84,-0.05,0.82,-0.06
