Func,Conc1,Conc2,Count_Unit_Mean,Count_Unit_StdDev,Count_Unit_N,Count_GRI_Mean,Count_GRI_StdDev,Count_GRI_N,SVM_fit_Mean,SVM_fit_StdDev,SVM_fit_N,Cell_line,Compound1,Compound2,Count_Unit_Mean_P_Bliss,Count_Unit_Mean_Delta_Bliss,SVM_Fit_mean_P_Bliss,SVM_Fit_mean_Delta_Bliss
NEG,-99,-99,1.99168283382778e-002,2.85849642060613e-002,96,1.00364952674176,4.1713144559822e-002,96,1.24964969825995e-002,0,96,OVCAR5,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-8,3.1608119617303e-002,3.80616135070811e-002,32,0.985354926237583,4.05519189138657e-002,32,2.66321245173692e-002,0,32,OVCAR5,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-7.7,9.25152371240266e-002,4.76777419564058e-002,32,0.930379304794426,3.67894741753958e-002,32,8.12199948630213e-002,0,32,OVCAR5,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-7.52,0.140694477041154,5.36386848146016e-002,32,0.892809966071927,4.23462418126313e-002,32,0.14790784125551,0,32,OVCAR5,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-7.26,0.238355550613988,5.32419245146652e-002,32,0.812369808246905,4.5306307879463e-002,32,0.232372448694623,0,32,OVCAR5,rucaparib,KPT-330,,,,
Sing_qHTS,-99,-7,0.326996830224919,7.54346903659191e-002,32,0.728670656304201,7.88385547056162e-002,32,0.319627755606679,0,32,OVCAR5,rucaparib,KPT-330,,,,
Sing,-9.52,-99,1.66852945872585e-002,1.23742615360051e-002,2,0.987416855080464,9.35175417918607e-003,2,3.65830909869214e-002,0,2,OVCAR5,rucaparib,KPT-330,,,,
COMBI,-9.52,-8,7.71253286590709e-002,4.023583778185e-002,2,0.94042619448333,3.1593418643302e-002,2,6.09147644354776e-002,0,2,OVCAR5,rucaparib,KPT-330,0.05,0.03,0.06,0.00
COMBI,-9.52,-7.7,0.172310835232183,7.85731122809497e-004,2,0.868921707543091,6.30377313725033e-004,2,0.116552997529196,0,2,OVCAR5,rucaparib,KPT-330,0.11,0.06,0.11,0.01
COMBI,-9.52,-7.52,0.185226346595539,4.61584055716085e-002,2,0.857694031450967,3.750739242353e-002,2,0.175369893821161,0,2,OVCAR5,rucaparib,KPT-330,0.16,0.03,0.18,-0.00
COMBI,-9.52,-7.26,0.234170389770451,4.0979818209829e-002,2,0.815406857028184,3.4798957398533e-002,2,0.251174491335463,0,2,OVCAR5,rucaparib,KPT-330,0.25,-0.02,0.26,-0.01
COMBI,-9.52,-7,0.334060077519379,2.42248062015505e-002,2,0.721525822451089,2.2658657699058e-002,2,0.334676003720912,0,2,OVCAR5,rucaparib,KPT-330,0.34,-0.01,0.34,-0.01
Sing,-9,-99,5.34089094683059e-002,2.06769918569375e-002,2,0.959305007373422,1.59621699555305e-002,2,7.95226989055657e-002,0,2,OVCAR5,rucaparib,KPT-330,,,,
COMBI,-9,-8,6.80423870607919e-002,4.97968289379331e-002,2,0.947341206990985,3.8893174804996e-002,2,0.105345605025222,0,2,OVCAR5,rucaparib,KPT-330,0.08,-0.01,0.10,0.01
COMBI,-9,-7.7,0.165396401351458,3.92865561404851e-003,2,0.874452528077528,3.13758216386897e-003,2,0.152603765861808,0,2,OVCAR5,rucaparib,KPT-330,0.14,0.03,0.15,0.00
COMBI,-9,-7.52,0.214047566125805,1.34844780321555e-002,2,0.834594948668528,1.1178585719341e-002,2,0.202709906587993,0,2,OVCAR5,rucaparib,KPT-330,0.19,0.02,0.22,-0.02
COMBI,-9,-7.26,0.256817131412725,1.4481589893699e-002,2,0.7964721630129,1.2499024628069e-002,2,0.273839121451982,0,2,OVCAR5,rucaparib,KPT-330,0.28,-0.02,0.29,-0.02
COMBI,-9,-7,0.340681524547804,1.01744186046515e-002,2,0.715498304476804,9.56637615459546e-003,2,0.353874585818122,0,2,OVCAR5,rucaparib,KPT-330,0.36,-0.02,0.37,-0.02
Sing,-8.52,-99,0.152802171483315,1.069774868274e-002,2,0.880280834582468,8.78176466335048e-003,2,0.113469287981806,0,2,OVCAR5,rucaparib,KPT-330,,,,
COMBI,-8.52,-8,0.10580830212732,4.05545374870526e-002,2,0.917687326527397,3.24085118190975e-002,2,0.133816053011663,0,2,OVCAR5,rucaparib,KPT-330,0.18,-0.07,0.14,-0.01
COMBI,-8.52,-7.7,0.158953406144417,8.80018857546949e-003,2,0.879571303254377,6.99873415779351e-003,2,0.171077898789649,0,2,OVCAR5,rucaparib,KPT-330,0.23,-0.07,0.19,-0.02
COMBI,-8.52,-7.52,0.220567533525969,5.67533525968735e-002,2,0.82825669709869,4.7303860824955e-002,2,0.220026550314648,0,2,OVCAR5,rucaparib,KPT-330,0.27,-0.05,0.24,-0.02
COMBI,-8.52,-7.26,0.276613772916346,3.2275458326914e-002,2,0.778978826595599,2.82809502863455e-002,2,0.296390318429588,0,2,OVCAR5,rucaparib,KPT-330,0.35,-0.07,0.32,-0.02
