Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
Cabazitaxel,KPT-330,0,0,4.67511298807142,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0.822404978884196,nM
Cabazitaxel,KPT-330,0,0,8.97236422908795,nM
Cabazitaxel,KPT-330,0,0,5.83092539082759,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,2.14504596527068,nM
Cabazitaxel,KPT-330,0,0,3.27649878211676,nM
Cabazitaxel,KPT-330,0,0,3.65364972106545,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,4.83224640528011,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,1.18715640188033,nM
Cabazitaxel,KPT-330,0,0,7.38586566807426,nM
Cabazitaxel,KPT-330,0,0,3.24276950043821,nM
Cabazitaxel,KPT-330,0,0,7.4018006533344,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,2.45888551812231,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0.404511863088293,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0.809023726176585,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,4.03515781062725,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0.31162604874151,nM
Cabazitaxel,KPT-330,0,0,3.36396324410707,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,7.14119019836639,nM
Cabazitaxel,KPT-330,0,0,1.69583819525476,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,1.01914762198888,nM
Cabazitaxel,KPT-330,0,0,7.59728227300803,nM
Cabazitaxel,KPT-330,0,0,1.79122915379864,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,10.1451513279802,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,4.1949660407511,nM
Cabazitaxel,KPT-330,0,0,6.20694992647628,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0.975156721615974,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,2.04318551195728,nM
Cabazitaxel,KPT-330,0,0,0.773933906044424,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,3.33951762523191,nM
Cabazitaxel,KPT-330,0,0,4.38815842542551,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,9.48616600790514,nM
Cabazitaxel,KPT-330,0,0,4.4042913608131,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,4.75126601131963,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,3.06821566875186,nM
Cabazitaxel,KPT-330,0,0,2.14477211796247,nM
Cabazitaxel,KPT-330,0,0,11.1706881143878,nM
Cabazitaxel,KPT-330,0,0,0.750968992248062,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0.637919896640827,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,1.75226098191214,nM
Cabazitaxel,KPT-330,0,0,9.26195090439276,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,2.649822831613,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,8.24218148205207,nM
Cabazitaxel,KPT-330,0,0,2.649822831613,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,4.69423598914258,nM
Cabazitaxel,KPT-330,0,0,3.97573048060035,nM
Cabazitaxel,KPT-330,0,0,6.3867156314865e-002,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,5.37667539670313,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,0,0,nM
Cabazitaxel,KPT-330,0,10,3.98483504073566,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,7.2436879890296,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,1.66169234492216,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,0.85504557554247,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,11.7998565851327,nM
Cabazitaxel,KPT-330,0,10,8.87311446317657,nM
Cabazitaxel,KPT-330,0,10,7.78424029957772,nM
Cabazitaxel,KPT-330,0,10,3.91203888136403,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,9.77611345709505,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,2.78065492789419,nM
Cabazitaxel,KPT-330,0,10,1.48992112182296,nM
Cabazitaxel,KPT-330,0,10,7.5292805354155,nM
Cabazitaxel,KPT-330,0,10,4.18293363078639,nM
Cabazitaxel,KPT-330,0,10,0,nM
Cabazitaxel,KPT-330,0,10,0,nM
