Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
BORTEZOMIB,Selinexor,0,0,5.61607813673929,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,12.1149511645379,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,5.46581517655898,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,12.7535687453043,nM
BORTEZOMIB,Selinexor,0,0,1.59654395191585,nM
BORTEZOMIB,Selinexor,0,0,10.1239669421488,nM
BORTEZOMIB,Selinexor,0,0,2.0473328324568,nM
BORTEZOMIB,Selinexor,0,0,6.96844477836213,nM
BORTEZOMIB,Selinexor,0,0,13.0540946656649,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.07062359128475,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.59654395191585,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.01776092596288,nM
BORTEZOMIB,Selinexor,0,0,4.33047295948912,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,4.13091199361405,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,6.52564358411495,nM
BORTEZOMIB,Selinexor,0,0,4.13091199361405,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,5.84713630013969,nM
BORTEZOMIB,Selinexor,0,0,13.2308920375175,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,6.28617042506486,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,3.01337058471363,nM
BORTEZOMIB,Selinexor,0,0,3.37258032328876,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,10.9159848333666,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.16301990932387,nM
BORTEZOMIB,Selinexor,0,0,21.7425586438005,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,5.34200670214863,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,2.03035679085354,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,10.5854523950325,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,8.65365661344372,nM
BORTEZOMIB,Selinexor,0,0,13.5422826729746,nM
BORTEZOMIB,Selinexor,0,0,11.9653065247388,nM
BORTEZOMIB,Selinexor,0,0,1.12359550561798,nM
BORTEZOMIB,Selinexor,0,0,3.48905972797161,nM
BORTEZOMIB,Selinexor,0,0,5.57855312438399,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,5.81509954661936,nM
BORTEZOMIB,Selinexor,0,0,5.51286976565501,nM
BORTEZOMIB,Selinexor,0,0,12.6968882059163,nM
BORTEZOMIB,Selinexor,0,0,8.77833269304649,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,2.32424126008452,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,4.16826738378794,nM
BORTEZOMIB,Selinexor,0,0,1.90165194006915,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.9208605455244e-002,nM
BORTEZOMIB,Selinexor,0,0,0.941221667306954,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,10.2766039185555,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,13.0810603150211,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,3.89143883456396,nM
BORTEZOMIB,Selinexor,0,0,3.55359200922013,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,2.8840820854132,nM
BORTEZOMIB,Selinexor,0,0,1.4420410427066,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,5.17655758920318,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.22018857459789,nM
BORTEZOMIB,Selinexor,0,0,0.887409872434831,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,10.2791643557035,nM
BORTEZOMIB,Selinexor,0,0,1.33111480865225,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0.480680347568867,nM
BORTEZOMIB,Selinexor,0,0,9.39175448326863,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.66389351081531,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,6.72952486596413,nM
BORTEZOMIB,Selinexor,0,0,2.18154926973563,nM
BORTEZOMIB,Selinexor,0,0,1.69646950939936,nM
BORTEZOMIB,Selinexor,0,0,14.2595139844108,nM
BORTEZOMIB,Selinexor,0,0,24.9426868408987,nM
BORTEZOMIB,Selinexor,0,0,1.65061898211829,nM
BORTEZOMIB,Selinexor,0,0,22.4209078404402,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,5.08940852819807,nM
BORTEZOMIB,Selinexor,0,0,8.29894543787254,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0.36680421824851,nM
BORTEZOMIB,Selinexor,0,0,6.23567171022467,nM
BORTEZOMIB,Selinexor,0,0,12.242090784044,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.63273146369574,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,1.37551581843191,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,5.91471801925722,nM
BORTEZOMIB,Selinexor,0,0,12.0586886749198,nM
BORTEZOMIB,Selinexor,0,0,1.60476845483723,nM
BORTEZOMIB,Selinexor,0,0,12.1503897294819,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,5.1811095827602,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,10.9582760201742,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,9.53690967446126,nM
BORTEZOMIB,Selinexor,0,0,1.83402109124255,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,8.52819807427785,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,6.28152223750573,nM
BORTEZOMIB,Selinexor,0,0,5.50206327372765,nM
BORTEZOMIB,Selinexor,0,0,0.550206327372765,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,2.43007794589638,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,13.7678437265214,nM
BORTEZOMIB,Selinexor,0,0,14.2595139844108,nM
BORTEZOMIB,Selinexor,0,0,14.5346171480972,nM
BORTEZOMIB,Selinexor,0,0,22.8335625859697,nM
BORTEZOMIB,Selinexor,0,0,8.75745071068317,nM
BORTEZOMIB,Selinexor,0,0,5.41036221916552,nM
BORTEZOMIB,Selinexor,0,0,3.30123796423659,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,0,0,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,1.47901645405805,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,5.02865594379737,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,1.95969680162692,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,7.1362543908301,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,0,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,0,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,12.7565169162507,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,0,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,0,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,7.2841560362359,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,1.18321316324644,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,5.6942133481235,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,10.1682381216491,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,1.95969680162692,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,0,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,0,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,16.6389351081531,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,3.47568866703642,nM
BORTEZOMIB,Selinexor,0,30.1995172040202,0,nM
