Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
pevonedistat,Selinexor,0,0,5.61607813673929,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,12.1149511645379,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,5.46581517655898,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,12.7535687453043,nM
pevonedistat,Selinexor,0,0,1.59654395191585,nM
pevonedistat,Selinexor,0,0,10.1239669421488,nM
pevonedistat,Selinexor,0,0,2.0473328324568,nM
pevonedistat,Selinexor,0,0,6.96844477836213,nM
pevonedistat,Selinexor,0,0,13.0540946656649,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.07062359128475,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.59654395191585,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.01776092596288,nM
pevonedistat,Selinexor,0,0,4.33047295948912,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,4.13091199361405,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,6.52564358411495,nM
pevonedistat,Selinexor,0,0,4.13091199361405,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,5.84713630013969,nM
pevonedistat,Selinexor,0,0,13.2308920375175,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,6.28617042506486,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,3.01337058471363,nM
pevonedistat,Selinexor,0,0,3.37258032328876,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,10.9159848333666,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.16301990932387,nM
pevonedistat,Selinexor,0,0,21.7425586438005,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,5.34200670214863,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,2.03035679085354,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,10.5854523950325,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,8.65365661344372,nM
pevonedistat,Selinexor,0,0,13.5422826729746,nM
pevonedistat,Selinexor,0,0,11.9653065247388,nM
pevonedistat,Selinexor,0,0,1.12359550561798,nM
pevonedistat,Selinexor,0,0,3.48905972797161,nM
pevonedistat,Selinexor,0,0,5.57855312438399,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,5.81509954661936,nM
pevonedistat,Selinexor,0,0,5.51286976565501,nM
pevonedistat,Selinexor,0,0,12.6968882059163,nM
pevonedistat,Selinexor,0,0,8.77833269304649,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,2.32424126008452,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,4.16826738378794,nM
pevonedistat,Selinexor,0,0,1.90165194006915,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.9208605455244e-002,nM
pevonedistat,Selinexor,0,0,0.941221667306954,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,10.2766039185555,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,13.0810603150211,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,3.89143883456396,nM
pevonedistat,Selinexor,0,0,3.55359200922013,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,2.8840820854132,nM
pevonedistat,Selinexor,0,0,1.4420410427066,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,5.17655758920318,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.22018857459789,nM
pevonedistat,Selinexor,0,0,0.887409872434831,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,10.2791643557035,nM
pevonedistat,Selinexor,0,0,1.33111480865225,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0.480680347568867,nM
pevonedistat,Selinexor,0,0,9.39175448326863,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.66389351081531,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,6.72952486596413,nM
pevonedistat,Selinexor,0,0,2.18154926973563,nM
pevonedistat,Selinexor,0,0,1.69646950939936,nM
pevonedistat,Selinexor,0,0,14.2595139844108,nM
pevonedistat,Selinexor,0,0,24.9426868408987,nM
pevonedistat,Selinexor,0,0,1.65061898211829,nM
pevonedistat,Selinexor,0,0,22.4209078404402,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,5.08940852819807,nM
pevonedistat,Selinexor,0,0,8.29894543787254,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0.36680421824851,nM
pevonedistat,Selinexor,0,0,6.23567171022467,nM
pevonedistat,Selinexor,0,0,12.242090784044,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.63273146369574,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,1.37551581843191,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,5.91471801925722,nM
pevonedistat,Selinexor,0,0,12.0586886749198,nM
pevonedistat,Selinexor,0,0,1.60476845483723,nM
pevonedistat,Selinexor,0,0,12.1503897294819,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,0,nM
pevonedistat,Selinexor,0,0,5.1811095827602,nM
pevonedistat,Selinexor,0,0,0,nM
