Section,Target Set,Count,Column4,Row,Col,RawDataPath,File Name,Plate Barcode,IBT Barcode,Anchor_conc,Anchor_name,CELL LINE,RUN,SET,date,notes,CMPD1,DOSE1,CMPD2,DOSE2,Func,TimePoint,CellLine,Count_FA,Count_Z,Count_RobustZ
A - 1,Summary,655,,A,1,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""dmso""",0.0,"""DMSO""",0.0,"""NEG""",0.0,0.0,-9.60050198703195e-002,1.6247914856124,3.17142857142857
A - 2,Summary,629,,A,2,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""dmso""",0.0,"""DMSO""",0.0,"""NEG""",0.0,0.0,-5.24994770968412e-002,0.888502533526602,1.68571428571429
A - 3,Summary,628,,A,3,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,-5.08261869901689e-002,0.860183727677149,1.62857142857143
A - 4,Summary,620,,A,4,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,-3.74398661367912e-002,0.633633280881519,1.17142857142857
A - 5,Summary,65,,A,5,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,0.891236143066304,-15.0833039655653,-30.5428571428571
A - 6,Summary,580,,A,6,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,2.94917381300986e-002,-0.499118953096627,-1.11428571428571
A - 7,Summary,601,,A,7,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,-5.64735411001838e-003,9.55759697418997e-002,8.57142857142857e-002
A - 8,Summary,585,,A,8,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,2.11252875967375e-002,-0.357524923849359,-0.828571428571429
A - 9,Summary,613,,A,9,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,-2.57268353900855e-002,0.435401639935344,0.771428571428571
A - 10,Summary,595,,A,10,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,4.39238653001506e-003,-7.43368653548223e-002,-0.257142857142857
A - 11,Summary,619,,A,11,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",2.9971527049303163E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,-3.57665760301189e-002,0.605314475032066,1.11428571428571
A - 12,Summary,605,,A,12,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run3\4x_DAPI\4x_DAPI_032336_1\4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,4x_DAPI_032336_1.2020.11.10.10.15.18.CSV,32336,Day0,,,OVCAR5,3,1,20201109,,"""KPT-330""",2.9971527049303163E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,-1.23405145367075e-002,0.208851193139714,0.314285714285714
